parameter	value	unit	confidence	note	source
table_row_b_kind_of_vault	1/2 hard or 3/4 porous brick	—	stated-explicitly	RESOLVED. Rows a-f are 'kind of vault' = the WEB construction, a ladder of increasing dead weight from a half-brick porous web (a) to a brick vault carrying filling and a floor above (f). Explains why depth grows down the rows, and why rise classes I-III print only a/d/f (three representative weights) while class IV prints all six.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
table_row_c_kind_of_vault	3/4 hard or 1 porous brick	—	stated-explicitly	RESOLVED. Rows a-f are 'kind of vault' = the WEB construction, a ladder of increasing dead weight from a half-brick porous web (a) to a brick vault carrying filling and a floor above (f). Explains why depth grows down the rows, and why rise classes I-III print only a/d/f (three representative weights) while class IV prints all six.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
table_row_d_kind_of_vault	1 brick or 20 cm sandstone	—	stated-explicitly	RESOLVED. Rows a-f are 'kind of vault' = the WEB construction, a ladder of increasing dead weight from a half-brick porous web (a) to a brick vault carrying filling and a floor above (f). Explains why depth grows down the rows, and why rise classes I-III print only a/d/f (three representative weights) while class IV prints all six.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
table_row_e_kind_of_vault	30 cm rubble vault	—	stated-explicitly	RESOLVED. Rows a-f are 'kind of vault' = the WEB construction, a ladder of increasing dead weight from a half-brick porous web (a) to a brick vault carrying filling and a floor above (f). Explains why depth grows down the rows, and why rise classes I-III print only a/d/f (three representative weights) while class IV prints all six.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
table_row_f_kind_of_vault	brick vault with filling and floor above	—	stated-explicitly	RESOLVED. Rows a-f are 'kind of vault' = the WEB construction, a ladder of increasing dead weight from a half-brick porous web (a) to a brick vault carrying filling and a floor above (f). Explains why depth grows down the rows, and why rise classes I-III print only a/d/f (three representative weights) while class IV prints all six.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
table_columns_scheme	material x stability criterion	—	partly-verified	Columns A'/A"/B'/B" pair a MATERIAL with a CRITERION. Definitively readable: B" = brick, resultant at edge of KERN. The companion lines (cut stone / sandstone, resultant at edge of SECTION vs kern) are legible only in mirror show-through and are NOT confirmed — do not rely on the A'/A"/B' assignments.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
tables_II_III_IV_subjects	II continuous walls; III vertical buttresses; IV buttresses diminished upwards	—	stated-explicitly	From 'Explanations of Tables II, III and IV': the depths are given 'for continuous walls as well as for vertical buttresses and those diminished upwards'. Matches the titles read in cycles 4 and 9.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210
table_I_is_the_source	weights and thrusts, printed p.135	—	stated-explicitly	Tables II-IV are COMPUTED from the weights and thrusts of Table I (p.135 = leaf 275 by the leaf formula). Table I is the primary data; the rest is derived.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210
table_axes	rise, kind of vault, span, height of the resistance	—	stated-explicitly	The author states the tables exist to 'give a clear view of the great variation of depths according to rise, kind of vault, span and height of the resistance to the vault' — the four axes, confirmed in the author's own words.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210
tables_are_preliminary_only	preliminary value only	—	stated-explicitly	Author's own caveat: the tables 'afford a preliminary value only for the designer' and do not replace case-by-case work with the line of support. Use as plausible defaults, not as truth.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210
wind_load_excluded	tables exclude wind; add a little for high roofs	—	stated-explicitly	'They give only the depths required by the vaults... the perhaps existing wind pressure against high roofs may make advisable a relatively small addition to the depth of the abutment.' So a tall-roofed building gets a modest abutment bonus over the tabulated value.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210
pier_width_reduction_rule	reduce tabulated pier width by 10-20 percent	percent	ghost-read	If window openings do NOT run buttress-to-buttress but a solid pier of wall remains each side, the widths of pier in Tables III and IV reduce by 10-20 per cent. Complements the 'length half occupied by openings' assumption of Table II. Read from mirror show-through — treat as indicative.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
max_compression_ladder	0-4, 4-7, 7-11, 11-14, 14-21, 21-70	kg per sq cm	ghost-read	A six-step 'magnitude of maximum compression' ladder, apparently keyed to the small figures prefixed to cells in Tables IV/V (the Table V note refers to 'the prefixed figures'). Read from mirror show-through — the band edges need confirmation on a readable copy.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.211
solution_method	cubic solved by Cardan's formula or repeated trial	—	stated-explicitly	The abutment depth follows from an equation of moments that reduces to a cubic; solved by Cardan or, more simply, by iterating a guess for x. An alternative criterion is offered: assume the resultant crosses at x/2 from the middle, or about 0.30 m from the outer edge.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210
leaf_formula_caveat	valid only in odd-readable regions	—	CORRECTION	Cycle 9's `leaf = 2*printed + 5` is NOT globally valid. The readable/ghost PARITY FLIPS repeatedly through the volume — measured: leaves 160-239 odd-readable, 240-359 even-readable, 360-479 odd-readable, 480-519 even-readable (~every 120 leaves, consistent with binding gatherings). The formula held for every page verified in cycles 9-10 because all of those sat in odd-readable stretches. ALWAYS test parity locally before trusting an arithmetic jump.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan
table_I_content	thrust of a vault as components H and V	—	stated-explicitly	printed p.194: 'When by calculation, construction or by Table I the thrust of a vault has been found, or which is the same, both its components H and V'. Confirms Table I tabulates horizontal thrust and vertical weight per half-vault.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194
table_I_location	cited as p.135; NOT located	—	UNRESOLVED	Six separate cross-references all read 'Table I (p. 135)'. Volume 2 has essentially no Table I references, so it is in volume 1, but the leaf predicted by the formula (275) is prose - and that region is EVEN-readable, so the arithmetic was invalid there. Next step: read a page number off an even leaf in 240-359 to re-anchor, then jump.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.210/p.194/p.208 etc
sliding_criterion_soft_mortar	45-60	degrees	stated-explicitly	Sliding of the abutment may occur with SOFT mortar if the angle between the direction of the pressure and the bed is LESS than 45-60 deg.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194
sliding_criterion_hard_mortar	30-45	degrees	stated-explicitly	With HARDENED mortar sliding may occur if that angle is under 30-45 deg. So a harder mortar tolerates a shallower pressure-to-bed angle.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194
sliding_remedy	change the bed position; dowels are weaker	—	stated-explicitly	Slipping is prevented by re-orienting the bed (tilting the joint toward perpendicular to the thrust), 'or less effectively by dowels'.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194
damp_proof_course_hazard	soft pitchy isolating beds have slid whole masonry masses	—	stated-explicitly	Named construction hazard: do not form the damp-proof bed of soft pitchy material - 'this has already permitted the sliding of an entire mass of masonry'. Isolating beds only where compression acts almost perpendicular to the bed, and the isolating material must be neither too soft nor too smooth.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194
overturning_inequality	G1*a1 + G2*a2 + W2*n  >  W1*m	—	stated-explicitly	Safety against overturning: moments taken about the outer dangerous angle A; favourable rotation moments (force x lever arm) must exceed unfavourable. Overturning occurs most easily at the bottom of the foundation.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194
why_joints_are_radial	the radial joint plane satisfies the sliding criterion	—	derived-verified	CAUSAL LINK between two pages: p.158 requires the joint plane be perpendicular to the diagonal groin's vertical plane (radial in section); p.194 shows sliding occurs when the pressure-to-bed angle drops below 30-60 deg. The radial joint exists to keep that angle steep. Vault coursing geometry is a CONSEQUENCE of the sliding limit, not an aesthetic choice.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.158 + p.194
table_ghosts_ocr_digits_better	find tables via high-digit GHOST leaves, read leaf +/- 1	—	derived-verified	RECIPE INVERSION: the actual table leaves 431/433/435/437/439 contain ZERO digits in their OCR, while their ghost neighbours 438/440/442/444 carry 150-470 digits each. Mirror show-through of a numeric table OCRs its figures far better than the table itself. So numeric tables are located by scanning for DIGIT-RICH GHOSTS, then reading the adjacent leaf.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan
numeric_table_census_vol1	only two clusters: leaf ~395 and leaves ~431-449	—	derived-verified	Whole-volume scan for digit-rich leaves found table clusters ONLY at leaf 395 (materials strength, printed p.195) and leaves 431-449 (Tables II-V plus the edge-pressure table). No numeric table exists anywhere in leaves 240-360.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan
table_I_absent_from_translation	not present as a table in vol 1	—	NEGATIVE-RESULT	CLOSED. Six cross-references read 'Table I (p. 135)', but: (a) leaves 240-360 - where p.135 falls under either parity - are uniformly dense prose with no numeric table; (b) the volume-wide digit census finds no table cluster there; (c) volume 2 has essentially no Table I references. Most probable explanation: the 'p. 135' citations retain the GERMAN ORIGINAL's pagination, which the 1920 student typescript translation did not renumber. Its content is known from p.194 regardless (horizontal thrust H and vertical weight V per half-vault). Recorded as a deliberate negative result, not a gap to keep hunting.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) p.194/p.210 citations
page_numbers_not_always_present	some leaves have no page number in the top margin	—	derived-verified	Leaves 274 and 300 begin body text at the very top with no page number, so page-number anchoring is not reliably available in this scan. Both also show readable text OVERLAID with its own mirror in the same band.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) vol 1 scan
masonry_carries_no_tension	design in compression only	—	stated-explicitly	From the 'Vaults with only compressile stresses' passage: with the scarcely elastic properties of all stone and mortar it is 'always risky to count on their unbroken resistance'. Also notes that 'not without reason the practical Renaissance supported the heavy vaults by very powerful abutments', and warns against too trustful use of wide flat ceilings.	Ungewitter/Mohrmann Manual of Gothic Construction (Ricker tr. 1920) leaf 300
