family	building	place	element	value_original	unit_original	value_m	parse	source	confidence	quote
hall_manor	Browne's Hospital / The Bede House	Stamford, Lincolnshire	unassigned figure on the elevation/section (terminations not resolved)	15 ft 8 3/4 in	ft in	4.794	ft-in	dollman_v2 leaf 34 plate	printed	
hall_manor	Bede House audit room table	Stamford, Lincolnshire	length	15 ft 8 in	ft in	4.775	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room table	Stamford, Lincolnshire	height	2 ft 7 3/4 in	ft in	0.806	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room bench	Stamford, Lincolnshire	length	14 ft 2 in	ft in	4.318	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room bench	Stamford, Lincolnshire	seat height	1 ft 8 1/2 in	ft in	0.521	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room settle	Stamford, Lincolnshire	width	4 ft 6 in	ft in	1.372	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room settle	Stamford, Lincolnshire	overall height	4 ft 0 3/4 in	ft in	1.238	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room settle	Stamford, Lincolnshire	seat height above floor	1 ft 6 in	ft in	0.457	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Bede House audit room settle	Stamford, Lincolnshire	seat depth	1 ft 5 in	ft in	0.432	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Abbot's Hospital dining hall table	Guildford, Surrey	length	10 ft 11 in	ft in	3.327	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Abbot's Hospital dining hall table	Guildford, Surrey	height	2 ft 10 in	ft in	0.864	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Abbot's Hospital hall bench	Guildford, Surrey	length	8 ft 10 in	ft in	2.692	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Abbot's Hospital hall bench	Guildford, Surrey	seat height	1 ft 8 1/2 in	ft in	0.521	ft-in	dollman_v2 leaf 374 plate	printed	
hall_manor	Abbot's Hospital	Guildford, Surrey	quadrangle	66 ft by 63 ft	ft	20.117	first measure in prose (ft)	dollman_v2 leaf 367 text	text	
hall_manor	Bishop of Lincoln's manor house hall (later Jesus Hospital)	Lyddington, Rutland	hall, length by width by height	47 ft 1 in by 20 ft 3 in by 13 ft 9 in high	ft in	14.351	first measure in prose (ft in)	dollman_v1 leaf 15 text	text	
hall_manor	Hospital of St Cross	Winchester, Hampshire	refectory	32 ft 0 1/2 in by 26 ft 3 3/4 in	ft in	9.754	first measure in prose (ft)	dollman_v1 leaf 100 plate	printed	
hall_manor	The Guesten Hall	Worcester	internal length	65 ft 8 in	ft in	20.015	ft-in	dollman_v1 leaf 123 text	text	
hall_manor	The Guesten Hall	Worcester	internal width	34 ft 11 in	ft in	10.643	ft-in	dollman_v1 leaf 123 text	text	
hall_manor	The Guesten Hall	Worcester	floor to top of wall-plate	36 ft 8 in	ft in	11.176	ft-in	dollman_v1 leaf 123 text	text	
hall_manor	The Guesten Hall	Worcester	window mullion, across the face	10 1/2 in	in	0.267	in	dollman_v1 leaf 160 plate	printed	
hall_manor	The Guesten Hall	Worcester	window mullion, depth	6 3/4 in	in	0.171	in	dollman_v1 leaf 160 plate	printed	
hall_manor	Refectory of Great Malvern Priory	Great Malvern, Worcestershire	external length by width	75 ft 8 1/2 in by 31 ft 6 in	ft in	22.860	first measure in prose (ft)	dollman_v1 leaf 121 text	text	
hall_manor	Great Malvern Priory church	Great Malvern, Worcestershire	length by width	171 ft by 63 ft	ft	52.121	first measure in prose (ft)	dollman_v1 leaf 121 text	text	
hall_manor	Great Malvern Priory church	Great Malvern, Worcestershire	height of tower	124 ft	ft	37.795	ft	dollman_v1 leaf 121 text	text	
hall_manor	Parish church of St Thomas (demolished)	Great Malvern, Worcestershire	length by width	90 ft by 36 ft	ft	27.432	first measure in prose (ft)	dollman_v1 leaf 121 text	text	
hall_manor	Mayfield Palace hall	Mayfield, Sussex	length by width	69 ft 1 in by 39 ft 3 in	ft in	21.057	first measure in prose (ft in)	dollman_v1 leaf 128 text	text	
hall_manor	Half timbered house	Mayfield, Sussex	overall length of the front wall	65 ft 5 in	ft in	19.939	ft-in	dollman_v1 leaf 184 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	projection of the two gabled wings from the central portion	2 ft 3 in	ft in	0.686	ft-in	dollman_v1 leaf 128 text	text	
hall_manor	Half timbered house	Mayfield, Sussex	projection of the gable wall-face from the wall below	18 in	in	0.457	in	dollman_v1 leaf 128 text	text	
hall_manor	Half timbered house	Mayfield, Sussex	height above ground at which the porch is open at the sides	3 ft	ft	0.914	ft	dollman_v1 leaf 128 text	text	
hall_manor	Half timbered house	Mayfield, Sussex	barge board of Gable A, across the carved board	1 ft 8 in	ft in	0.508	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	barge board of Gable A, second figure	1 ft 9 in	ft in	0.533	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	barge board projection from the wall face, Plan at C.D	1 ft 3 in	ft in	0.381	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	barge board member thickness	2 in	in	0.051	in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	barge board moulded lip	1 in	in	0.025	in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	barge board Section	1 ft 4 3/4 in	ft in	0.425	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	octagonal porch post	2 ft 8 in	ft in	0.813	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	octagonal porch post, second figure	1 ft 0 in	ft in	0.305	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	octagonal member on the Head of Porch	1 ft 5 1/2 in	ft in	0.445	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	jamb of Window F on Plate 1	9 in	in	0.229	in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	cill and bracket H, figures	1 ft 1 in, 7 in, 5 3/8 in, 4 3/8 in	ft in	0.330	first measure in prose (ft in)	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house	Mayfield, Sussex	turned balusters	2 ft 4 3/4 in	ft in	0.730	ft-in	dollman_v1 leaf 188 plate	printed	
hall_manor	Half timbered house at Dinham	Ludlow, Shropshire	overall width of the front	27 ft 4 in	ft in	8.331	ft-in	dollman_v2 leaf 92 plate	printed	
hall_manor	Half timbered house at Dinham	Ludlow, Shropshire	ground line to wall plate, i.e. full height of the three storeys of wall	20 ft 0 in	ft in	6.096	ft-in	dollman_v2 leaf 92 plate	printed	
hall_manor	Half timbered house at Dinham	Ludlow, Shropshire	wall plate to ridge, i.e. gable rise	8 ft 3 in	ft in	2.515	ft-in	dollman_v2 leaf 92 plate	printed	
hall_manor	Half timbered house, Butcher Row	Shrewsbury, Shropshire	ground-storey height at one end of the elevation	10 ft 8 in	ft in	3.251	ft-in	dollman_v2 leaf 96 plate	printed	
hall_manor	Half timbered house, Butcher Row	Shrewsbury, Shropshire	ground-storey height at the other end (the street falls)	11 ft 1 in	ft in	3.378	ft-in	dollman_v2 leaf 96 plate	printed	
hall_manor	Half timbered house, Butcher Row	Shrewsbury, Shropshire	detail at E.F., across the arch springing	3 ft 8 3/4 in	ft in	1.137	ft-in	dollman_v2 leaf 96 plate	printed	
hall_manor	Half timbered house, Butcher Row	Shrewsbury, Shropshire	detail on Opening C / Doorway D	2 ft 2 1/2 in	ft in	0.673	ft-in	dollman_v2 leaf 96 plate	printed	
hall_manor	Half timbered house, Butcher Row	Shrewsbury, Shropshire	doorway detail	1 ft 5 3/8 in	ft in	0.441	ft-in	dollman_v2 leaf 96 plate	printed	
hall_manor	Half timbered house, Butcher Row	Shrewsbury, Shropshire	small member	5 3/8 in	in	0.137	in	dollman_v2 leaf 96 plate	printed	
hall_manor	Old House	Lavenham, Suffolk	height of the timber ground storey, plinth line to point A at the bressummer	9 ft 9 in	ft in	2.972	ft-in	dollman_v2 leaf 280 plate	printed	
hall_manor	Old House	Lavenham, Suffolk	overall width of the north front block, on the Plan	26 ft 3 in	ft in	8.001	ft-in	dollman_v2 leaf 280 plate	printed	
hall_manor	Old House	Lavenham, Suffolk	figure on the Plan	6 ft 3 in	ft in	1.905	ft-in	dollman_v2 leaf 280 plate	printed	
hall_manor	Old House	Lavenham, Suffolk	figure at the top right of the sheet	10 in	in	0.254	in	dollman_v2 leaf 280 plate	printed	
hall_manor	Old House	Lavenham, Suffolk	corner post at A, detail	6 3/4 in	in	0.171	in	dollman_v2 leaf 280 plate	printed	
hall_manor	Old House	Lavenham, Suffolk	head of buttress at D, detail	2 3/4 in	in	0.070	in	dollman_v2 leaf 280 plate	printed	
hall_manor	Old House porch	Lavenham, Suffolk	porch figure (leader assignment to be re-checked)	8 ft 10 in	ft in	2.692	ft-in	dollman_v2 leaf 284 plate	printed	
hall_manor	Old House porch	Lavenham, Suffolk	porch figure (leader assignment to be re-checked)	4 ft 10 in	ft in	1.473	ft-in	dollman_v2 leaf 284 plate	printed	
hall_manor	Old House porch	Lavenham, Suffolk	porch figure (leader assignment to be re-checked)	1 ft 10 in	ft in	0.559	ft-in	dollman_v2 leaf 284 plate	printed	
hall_manor	Old House porch	Lavenham, Suffolk	post plan width, Plan on the line D.D	1 ft 5 in	ft in	0.432	ft-in	dollman_v2 leaf 284 plate	printed	
hall_manor	Old House porch	Lavenham, Suffolk	post plan width, Plan on the line E.E	1 ft 5 in	ft in	0.432	ft-in	dollman_v2 leaf 284 plate	printed	
hall_manor	Old House porch	Lavenham, Suffolk	section dimension at A.A	10 in	in	0.254	in	dollman_v2 leaf 284 plate	printed	
hall_manor	Old House oriel, west front	Lavenham, Suffolk	overall HEIGHT of the oriel (vertical dimension, up-arrow at the cornice, down-arrow at the hatched base)	9 ft 10 in	ft in	2.997	ft-in	dollman_v2 leaf 288 plate	printed	
hall_manor	Old House oriel, west front	Lavenham, Suffolk	projection of the oriel, on the Plan	1 ft 5 in	ft in	0.432	ft-in	dollman_v2 leaf 288 plate	printed	
hall_manor	Old House oriel, west front	Lavenham, Suffolk	Mouldings at A, the cornice member	1 ft 4 in	ft in	0.406	ft-in	dollman_v2 leaf 288 plate	printed	
hall_manor	Old House oriel, west front	Lavenham, Suffolk	mullion width, on the plan section	8 3/8 in	in	0.213	in	dollman_v2 leaf 288 plate	printed	
hall_manor	Old House oriel, west front	Lavenham, Suffolk	Mouldings at C, the sill member	1 ft 1 3/4 in	ft in	0.349	ft-in	dollman_v2 leaf 288 plate	printed	
hall_manor	The Palace	Linlithgow, Scotland	whole pile, north-south	175 ft	ft	53.340	ft	dollman_v1 leaf 209 text	text	
hall_manor	The Palace	Linlithgow, Scotland	whole pile, east-west	166 ft	ft	50.597	ft	dollman_v1 leaf 209 text	text	
hall_manor	The Palace	Linlithgow, Scotland	east-west length of the pile, running dimension along the ground line of the south elevation	166 ft 2 in	ft in	50.648	ft-in	dollman_v1 leaf 214 plate	printed	
hall_manor	The Palace	Linlithgow, Scotland	ground line to the parapet of the south-west tower (the only figured height for Linlithgow in the work)	66 ft 0 in	ft in	20.117	ft-in	dollman_v1 leaf 214 plate	printed	
hall_manor	The Palace chapel	Linlithgow, Scotland	length by width, occupying the whole height of the building	50 ft by 26 ft	ft	15.240	first measure in prose (ft)	dollman_v1 leaf 210 text	text	
hall_manor	The Palace, Parliament Hall	Linlithgow, Scotland	length by width	98 ft by 30 ft	ft	29.870	first measure in prose (ft)	dollman_v1 leaf 210 text	text	
hall_manor	The Hospital, master's suite over the west range	Ewelme, Oxfordshire	Audit Room	19 ft 3 in by 13 ft 9 in	ft in	5.867	first measure in prose (ft in)	dollman_v2 leaf 100 plate	printed	
hall_manor	The Hospital, master's suite over the west range	Ewelme, Oxfordshire	Sitting Room	20 ft 2 in by 13 ft 9 in	ft in	6.147	first measure in prose (ft in)	dollman_v2 leaf 100 plate	printed	
hall_manor	The Hospital, master's suite over the west range	Ewelme, Oxfordshire	Bed Room	19 ft 2 in by 13 ft 11 in	ft in	5.842	first measure in prose (ft in)	dollman_v2 leaf 100 plate	printed	
hall_manor	The Hospital, brethren's dwelling	Ewelme, Oxfordshire	upper (bed) room, upper floor to the lettered Ceiling Line	8 ft 7 3/4 in	ft in	2.635	ft-in	dollman_v2 leaf 104 plate	printed	
hall_manor	The Hospital, brethren's dwelling	Ewelme, Oxfordshire	ground (sitting) room, greater of two adjacent figures	8 ft 4 3/4 in	ft in	2.559	ft-in	dollman_v2 leaf 104 plate	printed	
hall_manor	The Hospital, brethren's dwelling	Ewelme, Oxfordshire	ground (sitting) room, lesser of two adjacent figures	7 ft 8 1/2 in	ft in	2.349	ft-in	dollman_v2 leaf 104 plate	printed	
hall_manor	The Hospital, passage west of the quadrangle	Ewelme, Oxfordshire	vertical figure at the four-centred doorway	12 ft 6 in	ft in	3.810	ft-in	dollman_v2 leaf 104 plate	printed	
hall_manor	The Hospital, passage west of the quadrangle	Ewelme, Oxfordshire	second vertical figure at the four-centred doorway	13 ft 8 1/2 in	ft in	4.178	ft-in	dollman_v2 leaf 104 plate	printed	
hall_manor	The Hospital, west range	Ewelme, Oxfordshire	Ceiling Line of the upper room down to the lower ground level at the foot of the external stair, i.e. the fall of the site	17 ft 0 in	ft in	5.182	ft-in	dollman_v2 leaf 104 plate	printed	
hall_manor	The Grammar School	Ewelme, Oxfordshire	ground storey (boys' school), greater of two adjacent figures	10 ft 2 3/4 in	ft in	3.118	ft-in	dollman_v2 leaf 108 plate	printed	
hall_manor	The Grammar School	Ewelme, Oxfordshire	ground storey (boys' school), lesser of two adjacent figures	9 ft 7 1/2 in	ft in	2.934	ft-in	dollman_v2 leaf 108 plate	printed	
hall_manor	The Grammar School	Ewelme, Oxfordshire	upper storey (girls' school), upper floor to the wall plate	10 ft 3 in	ft in	3.124	ft-in	dollman_v2 leaf 108 plate	printed	
hall_manor	The Grammar School	Ewelme, Oxfordshire	upper storey (girls' school), upper floor to the apex of the four-centred arched truss	17 ft 5 in	ft in	5.309	ft-in	dollman_v2 leaf 108 plate	printed	
hall_manor	Holcombe Court hall	Holcombe Rogus, Devon	length by width, two storeys in height	44 ft 6 in by 23 ft	ft in	13.564	first measure in prose (ft in)	dollman_v2 leaf 146 text	text	
hall_manor	Colston's House dining hall	Small Street, Bristol	length by width, roof in six bays	48 ft 6 in by 18 ft 5 in	ft in	14.783	first measure in prose (ft in)	dollman_v2 leaf 291 text	text	
hall_manor	Colston's House, largest first-floor room	Small Street, Bristol	length by width	38 ft 6 in by 19 ft 10 in	ft in	11.735	first measure in prose (ft in)	dollman_v2 leaf 291 text	text	
hall_manor	Spicer's Hall	Bristol	hall, length by width, roof in ten bays	32 ft 3 in by 21 ft	ft in	9.830	first measure in prose (ft in)	dollman_v2 leaf 247 text	text	
hall_manor	Chapel of St Baldwin	Bristol	length by width	about 30 ft by 20 ft	ft	9.144	first measure in prose (ft)	dollman_v2 leaf 247 text	text	
hall_manor	Canynge's House hall	Redcliff Street, Bristol	length by width	22 ft 4 in by 22 ft 6 in	ft in	6.807	first measure in prose (ft in)	dollman_v2 leaf 272 text	text	
hall_manor	Canynge's House	Redcliff Street, Bristol	river front, north-south by east-west, from surviving accounts	60 ft by 48 ft	ft	18.288	first measure in prose (ft)	dollman_v2 leaf 272 text	text	
hall_manor	Blundell's School	Tiverton, Devon	larger schoolroom	55 ft by 24 ft	ft	16.764	first measure in prose (ft)	dollman_v2 leaf 197 text	text	
hall_manor	Blundell's School	Tiverton, Devon	smaller schoolroom	48 ft by 24 ft	ft	14.630	first measure in prose (ft)	dollman_v2 leaf 197 text	text	
hall_manor	Blundell's School	Tiverton, Devon	both schoolrooms, floor to the apex of the roof	36 ft	ft	10.973	ft	dollman_v2 leaf 197 text	text	
hall_manor	Blundell's School	Tiverton, Devon	inter-scholium passage width	7 ft	ft	2.134	ft	dollman_v2 leaf 197 text	text	
hall_manor	Blundell's School	Tiverton, Devon	dining hall	35 ft by 24 ft	ft	10.668	first measure in prose (ft)	dollman_v2 leaf 197 text	text	
hall_manor	Battle Abbey refectory	Battle, Sussex	length by width	106 ft by 35 ft	ft	32.309	first measure in prose (ft)	dollman_v1 leaf 261 text	text	
hall_manor	Stirling Castle, the Parliament House	Stirling, Scotland	length by width	125 ft by 36 ft	ft	38.100	first measure in prose (ft)	dollman_v1 leaf 359 text	text	
hall_manor	Bede House	Higham Ferrers, Northamptonshire	internal length by width	65 ft 8 in by 23 ft 10 1/2 in	ft in	20.015	first measure in prose (ft in)	dollman_v2 leaf 164 text	text	
