family	subject	element	value	unit	evidence_class	source_article	french_quote
monastic	hospital ward, worked example	circulation width left outside the cells	6	m	author-rule	Hôtel-Dieu	il restait six mètres pour la circulation
monastic	hospital great gallery (contract)	gallery length	20 toises (38.98 m)	m	measured	Hôtel-Dieu	la fasson de la grande gallery dudit hospital, contenant 20 toises de long et 2 de large
monastic	hospital great gallery (contract)	gallery width	2 toises (3.90 m)	m	measured	Hôtel-Dieu	et 2 de large
monastic	early stone ward (chronicle)	ward length	22.5 toises (43.85 m)	m	measured	Hôtel-Dieu	elle avait vingt-deux toises et demie de long et six toises de largeur
monastic	early stone ward (chronicle)	ward width	6 toises (11.69 m)	m	measured	Hôtel-Dieu	et six toises de largeur
monastic	Saint-Germain-des-Prés refectory (c.1240)	length	40	m	measured	Réfectoire	ce réfectoire avait cent quinze pieds de long sur trente-deux de largeur (40 mètres sur 10)
monastic	Saint-Germain-des-Prés refectory	width	10	m	measured	Réfectoire	(40 mètres sur 10)
monastic	Saint-Germain-des-Prés refectory	vault key height above the floor, NO central column line	16	m	measured	Réfectoire	Il n'avait pas d'épine de colonnes au milieu, et la clef des voûtes s'élevait à près de 16 mètres au-dessus du sol
monastic	Poissy abbey refectory	length in-works	47	m	measured	Réfectoire	il avait dans œuvre 47 mètres de longueur sur 12 de largeur, et les clefs de voûtes étaient posées à 20 mètres au-dessus du sol
monastic	Poissy abbey refectory	width in-works	12	m	measured	Réfectoire	sur 12 de largeur
monastic	Poissy abbey refectory	vault key height above the floor	20	m	measured	Réfectoire	à 20 mètres au-dessus du sol
town_house	shopfront (boutique)	ground-storey height of the period	3 to 4	m	author-rule	Boutique	limité par la hauteur des rez-de-chaussée, qui ne dépassait guère alors trois ou quatre mètres
town_house	Saint-Antonin shopfront (XVc)	shop opening width	7	m	measured	Boutique	son ouverture n'a pas moins de sept mètres ; sa construction remonte au XV e siècle
town_house	market stall counter	display surface of a let-down shutter	4 to 5	m2	measured	Boutique	Sur ces petits volets abattus, ne présentant qu'une surface de quatre ou cinq mètres, des fortunes solides se faisaient
workshop_mill	Paris cloth hall (1417, 20 bays)	hall width	6 toises (11.69 m)	m	measured	Halle	la halle aux draps en gros de Paris, qui, dès 1417, consistait en vingt travées, avait six toises de large, et était couverte d'une voûte de pierre de taille
defensive_misc	latrine shaft	roof set above the upper window head; NO FLOORS through the shaft	1.00	m	measured	Latrines	du sol D (rez-de-chaussée) au comble, posé à 1 m ,00 environ en contre-haut de la fenêtre supérieure E , il n'y avait pas de planchers
church_chapel	belfry frame (beffroi)	sway at the top when the great bell swings full	0.05	m	measured	Beffroi	l'oscillation de ce beffroi à son sommet est de cinq centimètres environ, à peine sensible au niveau B des galeries
