ia_id	source	building	place	element	value	unit	value_m	leaf	printed_page	confidence	quote
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Horham Hall great hall	Thaxted, Essex	height to ceiling	about 25 ft	ft	7.620	77		author-estimate	it measures about 46 feet long by 24 feet wide, and is ceiled at a height of about 25 feet with a flat curved ceiling divided into panels by moulded ribs
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Fawsley Manor House great hall	Fawsley, Northamptonshire	internal length	about 52 ft	ft	15.850	84	67	author-estimate	It measures about 52 feet long by 23 feet 6 inches wide with windows high up in the gable ends
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Fawsley Manor House great hall	Fawsley, Northamptonshire	internal width	23 ft 6 in	ft in	7.163	84	67	author-estimate	It measures about 52 feet long by 23 feet 6 inches wide with windows high up in the gable ends
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Brenchley Parsonage drawing-room	Brenchley, Kent	internal length	about 19 ft	ft	5.791	86		author-estimate	drawing-room measuring about 19 feet long by 16 feet 6 inches and 9 feet 3 inches high, oak panelled from floor to ceiling
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Brenchley Parsonage drawing-room	Brenchley, Kent	internal width	16 ft 6 in	ft in	5.029	86		author-estimate	drawing-room measuring about 19 feet long by 16 feet 6 inches and 9 feet 3 inches high, oak panelled from floor to ceiling
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Brenchley Parsonage drawing-room	Brenchley, Kent	height to ceiling	9 ft 3 in	ft in	2.819	86		author-estimate	drawing-room measuring about 19 feet long by 16 feet 6 inches and 9 feet 3 inches high, oak panelled from floor to ceiling
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Aston Bury long gallery (top storey)	Aston, Hertfordshire	internal length	110 ft	ft	33.528	95		measured	It measures internally 110 feet long by 17 feet 6 inches wide and receives its light from windows at each end
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Aston Bury long gallery (top storey)	Aston, Hertfordshire	internal width	17 ft 6 in	ft in	5.334	95		measured	It measures internally 110 feet long by 17 feet 6 inches wide and receives its light from windows at each end
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Little Leighs Priory gatehouse	Little Leighs, Essex	gate opening width (stone archway)	9 ft	ft	2.743	98		measured	the stone archway, 9 feet wide, with good mouldings and very finely carved spandrils in high relief
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Layer Marney Hall gatehouse tower	Layer Marney, Essex	height above external ground	about 70 ft	ft	21.336	100		author-estimate	The gatehouse, which rises to a height of about 70 feet above the ground, consists of a central block, three storeys in height
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Parnham Manor House great hall	Beaminster, Dorset	window sill height above floor (former west windows)	about 8 ft	ft	2.438	115		author-estimate	the sills of the three large mullion- ed windows are all brought quite near to the floor. Pre- vious to 1810 there were win- dows on the western side as well as on the eastern, but the former only reached to about 8 feet from the floor
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Guildhall of Corpus Christi, Lavenham — cellar (undercroft)	Lavenham, Suffolk	undercroft internal length	about 31 ft 9 in	ft in	9.677	125		author-estimate	The cellar, which is about 31 feet 9 inches by 16 feet 10 inches, and 7 feet 3 inches high, is reached by a brick stair beneath the staircase
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Guildhall of Corpus Christi, Lavenham — cellar (undercroft)	Lavenham, Suffolk	undercroft internal width	16 ft 10 in	ft in	5.131	125		author-estimate	The cellar, which is about 31 feet 9 inches by 16 feet 10 inches, and 7 feet 3 inches high, is reached by a brick stair beneath the staircase
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Guildhall of Corpus Christi, Lavenham — cellar (undercroft)	Lavenham, Suffolk	undercroft height	7 ft 3 in	ft in	2.210	125		author-estimate	The cellar, which is about 31 feet 9 inches by 16 feet 10 inches, and 7 feet 3 inches high, is reached by a brick stair beneath the staircase
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace great hall	Hampton Court, Middlesex	internal length	106 ft	ft	32.309	130	113	measured	the span is about 40 feet, g. the height from floor to hammer-beams about 41 feet, and to apex about 60 feet; the hall, 106 feet long, is divided into seven bays
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace great hall	Hampton Court, Middlesex	internal width (roof span)	about 40 ft	ft	12.192	130	113	author-estimate	the span is about 40 feet, g. the height from floor to hammer-beams about 41 feet, and to apex about 60 feet; the hall, 106 feet long, is divided into seven bays
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace great hall	Hampton Court, Middlesex	height from floor to hammer-beams	about 41 ft	ft	12.497	130	113	author-estimate	the span is about 40 feet, g. the height from floor to hammer-beams about 41 feet, and to apex about 60 feet; the hall, 106 feet long, is divided into seven bays
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace great hall	Hampton Court, Middlesex	height to ridge (apex)	about 60 ft	ft	18.288	130	113	author-estimate	the span is about 40 feet, g. the height from floor to hammer-beams about 41 feet, and to apex about 60 feet; the hall, 106 feet long, is divided into seven bays
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace — Great Watching Chamber (formerly Wolsey's hall)	Hampton Court, Middlesex	internal length	71 ft	ft	21.641	130	113	measured	it measures 71 feet long and 29 feet wide, and is now about 25 feet high, lighted by windows high in the wall
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace — Great Watching Chamber (formerly Wolsey's hall)	Hampton Court, Middlesex	internal width	29 ft	ft	8.839	130	113	measured	it measures 71 feet long and 29 feet wide, and is now about 25 feet high, lighted by windows high in the wall
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hampton Court Palace — Great Watching Chamber (formerly Wolsey's hall)	Hampton Court, Middlesex	height to ceiling	about 25 ft	ft	7.620	130	113	author-estimate	it measures 71 feet long and 29 feet wide, and is now about 25 feet high, lighted by windows high in the wall
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Commandery (Hospital of St Wulstan), Worcester — great hall	Worcester	internal length (before nineteenth-century truncation)	about 47 ft	ft	14.326	145		author-estimate	it presented an uninterrupted apartment about 47 feet long and 26 feet wide, spanned by oak principals
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	The Commandery (Hospital of St Wulstan), Worcester — great hall	Worcester	internal width	26 ft	ft	7.925	145		author-estimate	it presented an uninterrupted apartment about 47 feet long and 26 feet wide, spanned by oak principals
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Haddon Hall — private dining-parlour	Haddon, Derbyshire	internal length (exclusive of the oriel)	about 32 ft 6 in	ft in	9.906	151	136	author-estimate	in the whole house, measures about 32 feet 6 inches long and 15 feet wide, exclusive of
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Haddon Hall — private dining-parlour	Haddon, Derbyshire	internal width (exclusive of the oriel)	15 ft	ft	4.572	151	136	author-estimate	in the whole house, measures about 32 feet 6 inches long and 15 feet wide, exclusive of
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Haddon Hall — private dining-parlour	Haddon, Derbyshire	height to ceiling	10 ft 6 in	ft in	3.200	152	137	ocr-uncertain	the oriel: it is to feet 6 inches high, and five oak beams spanning from wall to wall
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Great Cressingham Manor House	Great Cressingham, Norfolk	height of first-floor level above external ground (string-course)	about 13 ft	ft	3.962	157		author-estimate	string-course, about 13 feet above the ground, which marks the first floor level
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hoghton Tower great hall	Hoghton, Lancashire	internal length (including the screens)	54 ft	ft	16.459	163		measured	measuring with the “screens” 54 feet long, and nearly 26 feet wide
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hoghton Tower great hall	Hoghton, Lancashire	internal width	nearly 26 ft	ft	7.925	163		author-estimate	measuring with the “screens” 54 feet long, and nearly 26 feet wide
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Hoghton Tower great hall	Hoghton, Lancashire	window sill height above floor (courtyard side)	7 ft	ft	2.134	163		measured	The south side, looking into the courtyard, is entirely occupied by windows to within 7 feet cf the floor: beneath the sills the walls are panelled in oak
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Borwick Hall — hall	Borwick, Lancashire	internal length	30 ft	ft	9.144	168		author-estimate	The hall measures about 23 feet 6 inches wide, 30 feet long, and 11 feet 6 inches high: it is lighted by three windows
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Borwick Hall — hall	Borwick, Lancashire	internal width	about 23 ft 6 in	ft in	7.163	168		author-estimate	The hall measures about 23 feet 6 inches wide, 30 feet long, and 11 feet 6 inches high: it is lighted by three windows
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Borwick Hall — hall	Borwick, Lancashire	height to ceiling	11 ft 6 in	ft in	3.505	168		author-estimate	The hall measures about 23 feet 6 inches wide, 30 feet long, and 11 feet 6 inches high: it is lighted by three windows
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Kingston Maurward Manor House — entrance porch	Kingston Maurward, Dorset	door opening height (threshold to soffit of arch)	6 ft 9 in	ft in	2.057	182		measured	The arch to the porch entrance is exceptionally low, being only 6 feet 9 inches from the threshold to the highest point of the soffit
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Wilderhope Manor House — hall	Rushbury, Shropshire	internal length	about 29 ft	ft	8.839	187		author-estimate	about 29 feet by 20 feet wide, exclusive of the oriel, and is 13 feet 9 inches high
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Wilderhope Manor House — hall	Rushbury, Shropshire	internal width (exclusive of the oriel)	20 ft	ft	6.096	187		author-estimate	about 29 feet by 20 feet wide, exclusive of the oriel, and is 13 feet 9 inches high
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Wilderhope Manor House — hall	Rushbury, Shropshire	height to ceiling	13 ft 9 in	ft in	4.191	187		measured	about 29 feet by 20 feet wide, exclusive of the oriel, and is 13 feet 9 inches high
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Wilderhope Manor House — newel staircase	Rushbury, Shropshire	stair width (tread length)	5 ft	ft	1.524	187		measured	the steps, 5 feet wide, are formed of solid balks of oak framed into a central octagonal newel post 7 inches in diameter
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Eltham Palace great hall	Eltham, Kent	internal length	about 101 ft	ft	30.785	234		ocr-uncertain	the hall being about tor feet long and 36 feet 3
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Eltham Palace great hall	Eltham, Kent	internal width	36 ft 3 in	ft in	11.049	234		ocr-uncertain	the hall being about tor feet long and 36 feet 3
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Eltham Palace great hall	Eltham, Kent	bay spacing (roof principals)	about 17 ft	ft	5.182	234		author-estimate	There are five principals, spaced about 17 feet
gri_33125010766489	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1	Upper Slaughter Manor House — vaulted basement	Upper Slaughter, Gloucestershire	level difference, forecourt down to vaulted basement	about 9 ft	ft	2.743	209		ocr-uncertain	There is a difference of about g feet between the level of the forecourt and that of the vaulted basement of earlier date, which is entered from the back
growthofenglishh00gotc	Gotch, The Growth of the English House	White Tower, Tower of London (keep)	London	external length x width	1 18 by 107 ft (=118 by 107 ft)	ft	32.614	21	5	ocr-uncertain	The White Tower of the Tower of London, begun by order of the Conqueror in the later years of the eleventh century, measures 1 18 by 107 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Rochester Castle keep	Kent	external plan side (square)	70 ft	ft	21.336	21	5	measured	The keep of Rochester Castle, built about 1 130, is 70 ft. square.
growthofenglishh00gotc	Gotch, The Growth of the English House	Castle Hedingham keep	Essex	external length x width	60 by 55 ft	ft	16.764	21	5	measured	Castle Heding- ham in Essex, built about the same time, is 60 by 55 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Dover Castle keep	Kent	external plan side (square)	90 ft	ft	27.432	21	5	measured	the keep of Dover Castle (about 1154) is 90 ft. square
growthofenglishh00gotc	Gotch, The Growth of the English House	Castle Rising keep	Norfolk	external length x width	75 by 60 ft	ft	18.288	21	5	measured	Castle Rising, Norfolk. The Keep. date, is 75 by 60 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Kenilworth Castle keep	Warwickshire	external length x width	87 by 54 ft	ft	16.459	21	5	measured	Kenilworth, dating from the third quarter of the century, is 87 by 54 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Peak Castle keep	Derbyshire	external length x width	40 by 36 ft	ft	10.973	21	5	author-estimate	while the Peak Castle in Derbyshire, erected about 1 176, measures some 40 by 36 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	unnamed (Norman keeps, general rule)	England	wall thickness (keep, external walls)	seldom less than 8 ft, and sometimes as much as 16 or 20 ft.	ft	2.438	21	5	author-estimate	These are all outside measurements, and as the walls were very thick, seldom less than 8 ft, and sometimes as much as 16 or 20 ft., the available space within them was much less than their total area.
growthofenglishh00gotc	Gotch, The Growth of the English House	Tower of London, White Tower - great room	London	internal length x width	90 ft. long by 37 ft. wide	ft	27.432	22	6	measured	Tower of London, 90 ft. long by 37 ft. wide
growthofenglishh00gotc	Gotch, The Growth of the English House	Castle Hedingham keep - main room	Essex	internal length x width	38 by 31 ft	ft	9.449	22	6	measured	in the medium-sized, such as Hedingham, rooms 38 by 31 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Peak Castle keep - main room	Derbyshire	internal length x width	22 by 19 ft	ft	5.791	22	6	measured	while in the smallest, such as the Peak Castle, the space was 22 by 19 ft., equal to the drawing-room of an ordinary house of the present day.
growthofenglishh00gotc	Gotch, The Growth of the English House	Castle Hedingham keep - one large room on each floor	Essex	internal length x width (repeated on every floor, walls honeycombed with mural chambers)	38 by 31 ft	ft	9.449	23		measured	con- sisting of a large room (38 by 31 ft.) on each floor, enclosed by thick walls which are honeycombed with mural chambers and recesses.
growthofenglishh00gotc	Gotch, The Growth of the English House	Castle Hedingham keep - circular staircase	Essex	stair well diameter	more than 1 1 ft. (=11 ft)	ft	0.305	24	8	ocr-uncertain	Access to these various floors was given by a commodious circular staircase more than 1 1 ft. in 2. Castle Hedingham, Essex. The Keep {cir. 1130). ... diameter.
growthofenglishh00gotc	Gotch, The Growth of the English House	Castle Hedingham keep - hall and entrance floor	Essex	span of transverse arch carrying floor above	nearly 30 ft.	ft	9.144	26		measured	Across the middle of the entrance floor and of the hall is thrown a fine bold semicircular arch, of nearly 30 ft. span, to carry the floor of the room over
growthofenglishh00gotc	Gotch, The Growth of the English House	Peak Castle - courtyard main entrance	Derbyshire	gate opening width	some 5 or 6 ft.	ft	1.829	31		author-estimate	The chief of these was adjacent to the dale, and from the remains of the arch stones would appear to have been some 5 or 6 ft. wide.
growthofenglishh00gotc	Gotch, The Growth of the English House	Peak Castle keep - entrance door	Derbyshire	door threshold height above ground (approached by ladder)	some 6 or 8 ft.	ft	2.438	34	"18 (head OCR'd as ""B T8 THE GROWTH OF THE ENGLISH HOUSE."")"	author-estimate	a door some 6 or 8 ft. from the ground, and doubtless approached by a wood ladder.
growthofenglishh00gotc	Gotch, The Growth of the English House	Peak Castle keep - circular staircase	Derbyshire	stair well diameter	about 5 ft.	ft	1.524	34	18	author-estimate	Near this door a circular staircase of about 5 ft. in diameter led up to the roof and down to the lower room
growthofenglishh00gotc	Gotch, The Growth of the English House	Peak Castle keep - upper room	Derbyshire	internal length x width (upper room, with garde-robe and mural chamber in wall)	about 22 by 19 ft.	ft	5.791	34	18	author-estimate	The upper room, about 22 by 19 ft. in size, was also lighted by two small windows ; in one wall was a garde-robe (g) with a shoot corbelled out from the wall ; in another was a small mural chamber (m) occupying one corner of the building
growthofenglishh00gotc	Gotch, The Growth of the English House	unnamed (typical medieval hall, screens passage)	England	height of screen / floor of minstrels' gallery above hall floor	some lo or 12 ft. (=10 or 12 ft)	ft	3.658	42	26	ocr-uncertain	The screen did not extend the full height of the hall, but stopped short some lo or 12 ft. high, and was connected to the end wall by a floor, which thus at once served as a ceiling to the entrance
growthofenglishh00gotc	Gotch, The Growth of the English House	unnamed (typical medieval hall, dais at upper end)	England	dais platform height above floor	some 6 inches	in	0.152	42	26	author-estimate	There was at this end a raised platform some 6 inches high, called the dal's, and it was on the da'is that the high table was placed.
growthofenglishh00gotc	Gotch, The Growth of the English House	Oakham Castle great hall	Rutland	internal length x width	65 ft. long by 43 ft. wide	ft	19.812	43	27	measured	It is of such a large size, 65 ft. long by 43 ft. wide, that it serves for the Law Courts of the county
growthofenglishh00gotc	Gotch, The Growth of the English House	Oakham Castle great hall - arcade	Rutland	bay spacing / arcade arch span (four arches dividing hall into nave and aisles)	about 15 ft.	ft	4.572	48	32	author-estimate	The four arches of the arcades are semicircular and of about 15 ft. span ; they rest on massive round pillars
growthofenglishh00gotc	Gotch, The Growth of the English House	Stokesay Castle great hall	Shropshire	internal length x width	52 by 31 ft.	ft	9.449	53	37	measured	The chief apartment, as usual, is the hall, not so large as that at Oakham, but still of fair size, 52 by 31 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Abingdon Abbey guest-house (rooms adjoining the Prior's Room)	Berkshire	internal length	30 ft. long	ft	9.144	58	42	measured	They, too, lighted rooms of some importance, 30 ft. long, warmed by a large fire, handsomely roofed, and deco- rated in places with elaborate ornament.
growthofenglishh00gotc	Gotch, The Growth of the English House	Haddon Hall - licensed enclosure wall	Derbyshire	perimeter wall height (unbattlemented)	12 ft. high	ft	3.658	65	48	measured	the licence granted to Richard de Vernon ^o fortify his house of Haddon with a wall 12 ft. high 48 THE GROWTH OF THE ENGLISH HOUSE.
growthofenglishh00gotc	Gotch, The Growth of the English House	Kenilworth Castle great hall (John of Gaunt, cir. 1392)	Warwickshire	internal length x width (hall standing on a vaulted undercroft)	90 ft. long by 45 ft. wide	ft	27.432	72		measured	The great hall, 90 ft. long by 45 ft. wide, occupied nearly the whole of the west front. It stood on a vaulted undercroft
growthofenglishh00gotc	Gotch, The Growth of the English House	Glastonbury Abbey kitchen	Somerset	height of square walls to springing of octagon	some 20 ft.	ft	6.096	77		author-estimate	The octagon is carried up to a height of some 20 ft., and is then vaulted on eight stone ribs up to a ventilating shaft
growthofenglishh00gotc	Gotch, The Growth of the English House	Glastonbury Abbey kitchen	Somerset	internal height, floor to bottom of ventilating shaft (full ridge/apex height)	41 ft.	ft	12.497	78		measured	om the floor to the bottom of the ventilating shaft is 41 ft. ; the kitchen itself
growthofenglishh00gotc	Gotch, The Growth of the English House	Glastonbury Abbey kitchen	Somerset	internal plan side (square)	33 ft. 10 in.	ft in	10.312	79	62	measured	is 33 ft. 10 in. square.
growthofenglishh00gotc	Gotch, The Growth of the English House	Stanton Harcourt kitchen	Oxfordshire	internal length x width	25 ft. 9 in. one way, by 25 ft. 6 in. the other	ft in	7.849	79	63	measured	It is nearly square on plan, being 25 ft. 9 in. one way, by 25 ft. 6 in. the other — considerably smaller, therefore, than the Glastonbury example
growthofenglishh00gotc	Gotch, The Growth of the English House	Stanton Harcourt kitchen	Oxfordshire	internal height to wall-plate (bottom of roof)	39 ft.	ft	11.887	79	63	measured	The height here is nearly as great as that at Glastonbury, being 39 ft. to the bottom of the roof.
growthofenglishh00gotc	Gotch, The Growth of the English House	South Wingfield Manor House great hall	Derbyshire	internal length x width (hall standing on a vaulted undercroft)	71 ft. 7 in. long by 36 ft. 5 in. wide	ft in	21.819	86	70	measured	The hall stands on a vaulted undercroft, and must have been a fine room ; it measures 71 ft. 7 in. long by 36 ft. 5 in. wide
growthofenglishh00gotc	Gotch, The Growth of the English House	Haddon Hall great hall	Derbyshire	internal length x width	43 ft. by 28 ft.	ft	13.106	86	70	measured	and is considerably larger than the hall at Haddon, which is 43 ft. by 28 ft.
growthofenglishh00gotc	Gotch, The Growth of the English House	Tattershall Castle brick tower	Lincolnshire	height to top of turrets	some 120 ft.	ft	36.576	95	79	author-estimate	It rises sheer from the ground ... to a vast height — some 120 ft. to the top of the turrets, and more than 100 ft. to the battlements.
growthofenglishh00gotc	Gotch, The Growth of the English House	Tattershall Castle brick tower	Lincolnshire	height to battlements (rampart walk level)	more than 100 ft.	ft	30.480	95	79	author-estimate	some 120 ft. to the top of the turrets, and more than 100 ft. to the battlements.
growthofenglishh00gotc	Gotch, The Growth of the English House	Tattershall Castle brick tower - large room on each storey	Lincolnshire	internal length x width (one such room per storey, four lofty storeys over a cellar)	about 38 ft. by 22 ft.	ft	11.582	96	"80 (head OCR'd as ""8o THE GROWTH OF THE ENGLISPl HOUSE."")"	author-estimate	floor consisted of one large room about 38 ft. by 22 ft., supplemented by small chambers in three of the turrets, and by one or two others in the walls, which are some 12 ft. thick.
