source_manifest	canonical_element	building	element_as_written	value	unit	value_m	source	evidence	quote
building_dimensions_v1.tsv	height	Bede House audit room bench	seat height	1 ft 8 1/2 in	ft in	0.521	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	internal_width	Bede House audit room settle	width	4 ft 6 in	ft in	1.372	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	external_height	Bede House audit room settle	overall height	4 ft 0 3/4 in	ft in	1.238	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	height	Bede House audit room settle	seat height above floor	1 ft 6 in	ft in	0.457	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	depth	Bede House audit room settle	seat depth	1 ft 5 in	ft in	0.432	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	internal_length	Abbot's Hospital dining hall table	length	10 ft 11 in	ft in	3.327	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	internal_height	Abbot's Hospital dining hall table	height	2 ft 10 in	ft in	0.864	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	internal_length	Abbot's Hospital hall bench	length	8 ft 10 in	ft in	2.692	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	height	Abbot's Hospital hall bench	seat height	1 ft 8 1/2 in	ft in	0.521	dollman_v2 leaf 374 plate	printed	
building_dimensions_v1.tsv	room_footprint	Abbot's Hospital	quadrangle	66 ft by 63 ft	ft	20.117	dollman_v2 leaf 367 text	text	
building_dimensions_v1.tsv	length	Bishop of Lincoln's manor house hall (later Jesus Hospital)	hall, length by width by height	47 ft 1 in by 20 ft 3 in by 13 ft 9 in high	ft in	14.351	dollman_v1 leaf 15 text	text	
building_dimensions_v1.tsv	room_footprint	Hospital of St Cross	refectory	32 ft 0 1/2 in by 26 ft 3 3/4 in	ft in	9.754	dollman_v1 leaf 100 plate	printed	
building_dimensions_v1.tsv	internal_length	The Guesten Hall	internal length	65 ft 8 in	ft in	20.015	dollman_v1 leaf 123 text	text	
building_dimensions_v1.tsv	internal_width	The Guesten Hall	internal width	34 ft 11 in	ft in	10.643	dollman_v1 leaf 123 text	text	
building_dimensions_v1.tsv	internal_height	The Guesten Hall	floor to top of wall-plate	36 ft 8 in	ft in	11.176	dollman_v1 leaf 123 text	text	
building_dimensions_v1.tsv	member_section	The Guesten Hall	window mullion, across the face	10 1/2 in	in	0.267	dollman_v1 leaf 160 plate	printed	
building_dimensions_v1.tsv	depth	The Guesten Hall	window mullion, depth	6 3/4 in	in	0.171	dollman_v1 leaf 160 plate	printed	
building_dimensions_v1.tsv	external_length	Refectory of Great Malvern Priory	external length by width	75 ft 8 1/2 in by 31 ft 6 in	ft in	22.860	dollman_v1 leaf 121 text	text	
building_dimensions_v1.tsv	length	Great Malvern Priory church	length by width	171 ft by 63 ft	ft	52.121	dollman_v1 leaf 121 text	text	
building_dimensions_v1.tsv	height	Great Malvern Priory church	height of tower	124 ft	ft	37.795	dollman_v1 leaf 121 text	text	
building_dimensions_v1.tsv	length	Parish church of St Thomas (demolished)	length by width	90 ft by 36 ft	ft	27.432	dollman_v1 leaf 121 text	text	
building_dimensions_v1.tsv	length	Mayfield Palace hall	length by width	69 ft 1 in by 39 ft 3 in	ft in	21.057	dollman_v1 leaf 128 text	text	
building_dimensions_v1.tsv	external_length	Half timbered house	overall length of the front wall	65 ft 5 in	ft in	19.939	dollman_v1 leaf 184 plate	printed	
building_dimensions_v1.tsv	projection	Half timbered house	projection of the two gabled wings from the central portion	2 ft 3 in	ft in	0.686	dollman_v1 leaf 128 text	text	
building_dimensions_v1.tsv	projection	Half timbered house	projection of the gable wall-face from the wall below	18 in	in	0.457	dollman_v1 leaf 128 text	text	
building_dimensions_v1.tsv	external_height	Half timbered house	height above ground at which the porch is open at the sides	3 ft	ft	0.914	dollman_v1 leaf 128 text	text	
building_dimensions_v1.tsv	member_section	Half timbered house	barge board of Gable A, across the carved board	1 ft 8 in	ft in	0.508	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	barge board of Gable A, second figure	1 ft 9 in	ft in	0.533	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	projection	Half timbered house	barge board projection from the wall face, Plan at C.D	1 ft 3 in	ft in	0.381	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	thickness	Half timbered house	barge board member thickness	2 in	in	0.051	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	barge board moulded lip	1 in	in	0.025	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	barge board Section	1 ft 4 3/4 in	ft in	0.425	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	octagonal porch post	2 ft 8 in	ft in	0.813	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	octagonal porch post, second figure	1 ft 0 in	ft in	0.305	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	octagonal member on the Head of Porch	1 ft 5 1/2 in	ft in	0.445	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	jamb of Window F on Plate 1	9 in	in	0.229	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	cill and bracket H, figures	1 ft 1 in, 7 in, 5 3/8 in, 4 3/8 in	ft in	0.330	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house	turned balusters	2 ft 4 3/4 in	ft in	0.730	dollman_v1 leaf 188 plate	printed	
building_dimensions_v1.tsv	external_width	Half timbered house at Dinham	overall width of the front	27 ft 4 in	ft in	8.331	dollman_v2 leaf 92 plate	printed	
building_dimensions_v1.tsv	storey_height	Half timbered house at Dinham	ground line to wall plate, i.e. full height of the three storeys of wall	20 ft 0 in	ft in	6.096	dollman_v2 leaf 92 plate	printed	
building_dimensions_v1.tsv	gable_rise	Half timbered house at Dinham	wall plate to ridge, i.e. gable rise	8 ft 3 in	ft in	2.515	dollman_v2 leaf 92 plate	printed	
building_dimensions_v1.tsv	storey_height	Half timbered house, Butcher Row	ground-storey height at one end of the elevation	10 ft 8 in	ft in	3.251	dollman_v2 leaf 96 plate	printed	
building_dimensions_v1.tsv	storey_height	Half timbered house, Butcher Row	ground-storey height at the other end (the street falls)	11 ft 1 in	ft in	3.378	dollman_v2 leaf 96 plate	printed	
building_dimensions_v1.tsv	member_section	Half timbered house, Butcher Row	detail at E.F., across the arch springing	3 ft 8 3/4 in	ft in	1.137	dollman_v2 leaf 96 plate	printed	
building_dimensions_v1.tsv	opening_width	Half timbered house, Butcher Row	detail on Opening C / Doorway D	2 ft 2 1/2 in	ft in	0.673	dollman_v2 leaf 96 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house, Butcher Row	doorway detail	1 ft 5 3/8 in	ft in	0.441	dollman_v2 leaf 96 plate	printed	
building_dimensions_v1.tsv	member_detail	Half timbered house, Butcher Row	small member	5 3/8 in	in	0.137	dollman_v2 leaf 96 plate	printed	
building_dimensions_v1.tsv	storey_height	Old House	height of the timber ground storey, plinth line to point A at the bressummer	9 ft 9 in	ft in	2.972	dollman_v2 leaf 280 plate	printed	
building_dimensions_v1.tsv	external_width	Old House	overall width of the north front block, on the Plan	26 ft 3 in	ft in	8.001	dollman_v2 leaf 280 plate	printed	
building_dimensions_v1.tsv	member_detail	Old House	figure on the Plan	6 ft 3 in	ft in	1.905	dollman_v2 leaf 280 plate	printed	
building_dimensions_v1.tsv	member_detail	Old House	figure at the top right of the sheet	10 in	in	0.254	dollman_v2 leaf 280 plate	printed	
building_dimensions_v1.tsv	member_detail	Old House	corner post at A, detail	6 3/4 in	in	0.171	dollman_v2 leaf 280 plate	printed	
building_dimensions_v1.tsv	member_detail	Old House	head of buttress at D, detail	2 3/4 in	in	0.070	dollman_v2 leaf 280 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Old House porch	porch figure (leader assignment to be re-checked)	8 ft 10 in	ft in	2.692	dollman_v2 leaf 284 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Old House porch	porch figure (leader assignment to be re-checked)	4 ft 10 in	ft in	1.473	dollman_v2 leaf 284 plate	printed	
building_dimensions_v1.tsv	unresolved_in_source	Old House porch	porch figure (leader assignment to be re-checked)	1 ft 10 in	ft in	0.559	dollman_v2 leaf 284 plate	printed	
building_dimensions_v1.tsv	width	Old House porch	post plan width, Plan on the line D.D	1 ft 5 in	ft in	0.432	dollman_v2 leaf 284 plate	printed	
building_dimensions_v1.tsv	width	Old House porch	post plan width, Plan on the line E.E	1 ft 5 in	ft in	0.432	dollman_v2 leaf 284 plate	printed	
building_dimensions_v1.tsv		Old House porch	section dimension at A.A	10 in	in	0.254	dollman_v2 leaf 284 plate	printed	
building_dimensions_v1.tsv	external_height	Old House oriel, west front	overall HEIGHT of the oriel (vertical dimension, up-arrow at the cornice, down-arrow at the hatched base)	9 ft 10 in	ft in	2.997	dollman_v2 leaf 288 plate	printed	
building_dimensions_v1.tsv	projection	Old House oriel, west front	projection of the oriel, on the Plan	1 ft 5 in	ft in	0.432	dollman_v2 leaf 288 plate	printed	
building_dimensions_v1.tsv	member_detail	Old House oriel, west front	Mouldings at A, the cornice member	1 ft 4 in	ft in	0.406	dollman_v2 leaf 288 plate	printed	
building_dimensions_v1.tsv	width	Old House oriel, west front	mullion width, on the plan section	8 3/8 in	in	0.213	dollman_v2 leaf 288 plate	printed	
building_dimensions_v1.tsv	member_detail	Old House oriel, west front	Mouldings at C, the sill member	1 ft 1 3/4 in	ft in	0.349	dollman_v2 leaf 288 plate	printed	
building_dimensions_v1.tsv	external_length	The Palace	whole pile, north-south	175 ft	ft	53.340	dollman_v1 leaf 209 text	text	
building_dimensions_v1.tsv	external_length	The Palace	whole pile, east-west	166 ft	ft	50.597	dollman_v1 leaf 209 text	text	
building_dimensions_v1.tsv	length	The Palace	east-west length of the pile, running dimension along the ground line of the south elevation	166 ft 2 in	ft in	50.648	dollman_v1 leaf 214 plate	printed	
building_dimensions_v1.tsv	height	The Palace	ground line to the parapet of the south-west tower (the only figured height for Linlithgow in the work)	66 ft 0 in	ft in	20.117	dollman_v1 leaf 214 plate	printed	
building_dimensions_v1.tsv	length	The Palace chapel	length by width, occupying the whole height of the building	50 ft by 26 ft	ft	15.240	dollman_v1 leaf 210 text	text	
building_dimensions_v1.tsv	length	The Palace, Parliament Hall	length by width	98 ft by 30 ft	ft	29.870	dollman_v1 leaf 210 text	text	
building_dimensions_v1.tsv	room_footprint	The Hospital, master's suite over the west range	Audit Room	19 ft 3 in by 13 ft 9 in	ft in	5.867	dollman_v2 leaf 100 plate	printed	
building_dimensions_v1.tsv	room_footprint	The Hospital, master's suite over the west range	Sitting Room	20 ft 2 in by 13 ft 9 in	ft in	6.147	dollman_v2 leaf 100 plate	printed	
building_dimensions_v1.tsv	room_footprint	The Hospital, master's suite over the west range	Bed Room	19 ft 2 in by 13 ft 11 in	ft in	5.842	dollman_v2 leaf 100 plate	printed	
building_dimensions_v1.tsv		The Hospital, brethren's dwelling	upper (bed) room, upper floor to the lettered Ceiling Line	8 ft 7 3/4 in	ft in	2.635	dollman_v2 leaf 104 plate	printed	
building_dimensions_v1.tsv	member_detail	The Hospital, brethren's dwelling	ground (sitting) room, greater of two adjacent figures	8 ft 4 3/4 in	ft in	2.559	dollman_v2 leaf 104 plate	printed	
building_dimensions_v1.tsv	member_detail	The Hospital, brethren's dwelling	ground (sitting) room, lesser of two adjacent figures	7 ft 8 1/2 in	ft in	2.349	dollman_v2 leaf 104 plate	printed	
building_dimensions_v1.tsv	member_detail	The Hospital, passage west of the quadrangle	vertical figure at the four-centred doorway	12 ft 6 in	ft in	3.810	dollman_v2 leaf 104 plate	printed	
building_dimensions_v1.tsv	member_detail	The Hospital, passage west of the quadrangle	second vertical figure at the four-centred doorway	13 ft 8 1/2 in	ft in	4.178	dollman_v2 leaf 104 plate	printed	
building_dimensions_v1.tsv		The Hospital, west range	Ceiling Line of the upper room down to the lower ground level at the foot of the external stair, i.e. the fall of the site	17 ft 0 in	ft in	5.182	dollman_v2 leaf 104 plate	printed	
building_dimensions_v1.tsv	storey_height	The Grammar School	ground storey (boys' school), greater of two adjacent figures	10 ft 2 3/4 in	ft in	3.118	dollman_v2 leaf 108 plate	printed	
building_dimensions_v1.tsv	storey_height	The Grammar School	ground storey (boys' school), lesser of two adjacent figures	9 ft 7 1/2 in	ft in	2.934	dollman_v2 leaf 108 plate	printed	
building_dimensions_v1.tsv	storey_height	The Grammar School	upper storey (girls' school), upper floor to the wall plate	10 ft 3 in	ft in	3.124	dollman_v2 leaf 108 plate	printed	
building_dimensions_v1.tsv	storey_height	The Grammar School	upper storey (girls' school), upper floor to the apex of the four-centred arched truss	17 ft 5 in	ft in	5.309	dollman_v2 leaf 108 plate	printed	
building_dimensions_v1.tsv	storey_height	Holcombe Court hall	length by width, two storeys in height	44 ft 6 in by 23 ft	ft in	13.564	dollman_v2 leaf 146 text	text	
building_dimensions_v1.tsv	length	Colston's House dining hall	length by width, roof in six bays	48 ft 6 in by 18 ft 5 in	ft in	14.783	dollman_v2 leaf 291 text	text	
building_dimensions_v1.tsv	length	Colston's House, largest first-floor room	length by width	38 ft 6 in by 19 ft 10 in	ft in	11.735	dollman_v2 leaf 291 text	text	
building_dimensions_v1.tsv	length	Spicer's Hall	hall, length by width, roof in ten bays	32 ft 3 in by 21 ft	ft in	9.830	dollman_v2 leaf 247 text	text	
building_dimensions_v1.tsv	length	Chapel of St Baldwin	length by width	about 30 ft by 20 ft	ft	9.144	dollman_v2 leaf 247 text	text	
building_dimensions_v1.tsv	length	Canynge's House hall	length by width	22 ft 4 in by 22 ft 6 in	ft in	6.807	dollman_v2 leaf 272 text	text	
building_dimensions_v1.tsv	count	Canynge's House	river front, north-south by east-west, from surviving accounts	60 ft by 48 ft	ft	18.288	dollman_v2 leaf 272 text	text	
building_dimensions_v1.tsv	room_footprint	Blundell's School	larger schoolroom	55 ft by 24 ft	ft	16.764	dollman_v2 leaf 197 text	text	
building_dimensions_v1.tsv	room_footprint	Blundell's School	smaller schoolroom	48 ft by 24 ft	ft	14.630	dollman_v2 leaf 197 text	text	
building_dimensions_v1.tsv	internal_height	Blundell's School	both schoolrooms, floor to the apex of the roof	36 ft	ft	10.973	dollman_v2 leaf 197 text	text	
building_dimensions_v1.tsv	opening_width	Blundell's School	inter-scholium passage width	7 ft	ft	2.134	dollman_v2 leaf 197 text	text	
building_dimensions_v1.tsv	room_footprint	Blundell's School	dining hall	35 ft by 24 ft	ft	10.668	dollman_v2 leaf 197 text	text	
building_dimensions_v1.tsv	length	Battle Abbey refectory	length by width	106 ft by 35 ft	ft	32.309	dollman_v1 leaf 261 text	text	
building_dimensions_v1.tsv	length	Stirling Castle, the Parliament House	length by width	125 ft by 36 ft	ft	38.100	dollman_v1 leaf 359 text	text	
building_dimensions_v1.tsv	internal_length	Bede House	internal length by width	65 ft 8 in by 23 ft 10 1/2 in	ft in	20.015	dollman_v2 leaf 164 text	text	
building_dimensions_v1.tsv	room_footprint	Ford's Hospital	open central court	39 ft 2 in by 11 ft 11 in	ft in	11.938	dollman_v1 leaf 283 text	text	
building_dimensions_v1.tsv	length	Chapel in the Episcopal Palace	length by width by height, in three bays	52 ft 5 in by 21 ft 3 in by 37 ft high	ft in	15.977	dollman_v2 leaf 331 text	text	
building_dimensions_v1.tsv	internal_length	Refectory (vanished 1842)	length	230 ft	ft	70.104	dollman_v2 leaf 17 text	text	
building_dimensions_v1.tsv	height	Borthwick Castle	plan, and height	about 74 ft by 68 ft, nearly 100 ft high	ft	22.555	dollman_v1 leaf 322 text	text	
building_dimensions_v1.tsv	internal_length	Borthwick Castle great hall	length	about 40 ft	ft	12.192	dollman_v1 leaf 322 text	text	
building_dimensions_v1.tsv	wall_thickness	Roslin / Castle Campbell	east-west by broad, walls 9 ft thick in parts	200 ft by 90 ft, walls 9 ft	ft	60.960	dollman_v2 leaf 229 text	text	
building_dimensions_v1.tsv	length	The Commandery hall	plan, length by width	47 ft 10 in by 25 ft 9 in	ft in	14.580	dollman_v1 leaf 172 plate	printed	
building_dimensions_v1.tsv		The Commandery	carved seat ends in hall, plan dimension each	1 ft 6 in	ft in	0.457	dollman_v1 leaf 172 plate	printed	
building_dimensions_v1.tsv	wall_thickness	Town house, Assize of London, 1 Richard I (1189)	party wall thickness	3 ft	ft	0.914	dollman_v2 leaf 13 text	text	
building_dimensions_v1.tsv	height	Town house, Assize of London, 1 Richard I (1189)	masonry wall height before the timber gable	16 ft	ft	4.877	dollman_v2 leaf 13 text	text	
