family	title	author	date	holder	url	license	note
tudor_halftimber	Old Cottages, Farm Houses, and Other Half-Timber Buildings in Shropshire, Herefordshire and Cheshire	James Parkinson; Edward Ould	1904	Internet Archive	https://archive.org/details/oldcottagesfarmh00ould	PD (IA: NOT_IN_COPYRIGHT)	100 collotype photos plus Ould drawings of black-and-white framing; panel patterns, jetties, bracing close-ups
tudor_halftimber	The Ancient Half-Timbered Houses of England	Matthew Habershon	1836	Internet Archive	https://archive.org/details/ancienthalftimbe00habe	PD (IA: NOT_IN_COPYRIGHT)	Lithograph exterior views and details of timber-framed houses; earliest half-timber monograph, picturesque not measured
tudor_halftimber	Details of Elizabethan Architecture	Henry Shaw	1839	Internet Archive	https://archive.org/details/detailsofelizabe00shaw	PD (IA: NOT_IN_COPYRIGHT)	60 engraved measured details with dimensions: chimney shafts, parapets, oriels, panelling, staircases, ceilings
tudor_halftimber	Old Halls in Lancashire and Cheshire	Henry Taylor	1884	Internet Archive (Google scan)	https://archive.org/details/oldhallsinlanca00taylgoog	PD; Google non-commercial front matter	Measured plans, sections, sketches of great NW half-timber halls; framing-detail heavy
tudor_halftimber	The Old Halls & Manor Houses of Yorkshire	Louis Ambler	1913	Internet Archive (UofT)	https://archive.org/details/oldhallsmanorhou00ambluoft	PD (IA: NOT_IN_COPYRIGHT)	Measured plans plus photo plates of pre-1700 Yorkshire manor houses and halls
tudor_halftimber	The Half-Timber House: its Origin, Design, Modern Plan, and Construction	Allen W. Jackson	1912	Internet Archive	https://archive.org/details/halftimberhousei00jack	PD (IA: NOT_IN_COPYRIGHT)	Photos of English originals plus explicit sill/post/girt/brace framing diagrams; teaches half-timber construction anatomy
cottages_vernacular	The Evolution of the English House	Sidney Oldall Addy	1898	Internet Archive (Google scan)	https://archive.org/details/evolutionenglis00addygoog	PD; Google non-commercial front matter	Plans and line diagrams of cottage types, cruck framing, bay evolution; explains why houses are shaped as they are
cottages_vernacular	Old Cottages and Farmhouses in Kent and Sussex	W. Galsworthy Davie; E. Guy Dawber	1900	Internet Archive	https://archive.org/details/oldcottagesfarmh00dawb	PD (IA: NOT_IN_COPYRIGHT)	100 photo plates of tile-hung, weatherboard, half-timber cottages and farmhouses plus sketch details
cottages_vernacular	Old Cottages & Farm-houses in Surrey	W. Galsworthy Davie; W. Curtis Green	1908	Internet Archive	https://archive.org/details/oldcottages00gree	PD (IA: NOT_IN_COPYRIGHT)	100 photo plates plus pen drawings and some plans; SE England timber and brick cottage vocabulary
cottages_vernacular	Old Cottages, Farm-houses and Other Stone Buildings in the Cotswold District	W. Galsworthy Davie; E. Guy Dawber	1905	Internet Archive (UofT)	https://archive.org/details/oldcottagesfarmh00daviuoft	PD (IA: NOT_IN_COPYRIGHT)	100 photo plates of limestone cottages, stone-slate roofs, gables, mullioned windows, chimneys
cottages_vernacular	Das englische Haus (3 vols)	Hermann Muthesius	1904-1905	Internet Archive (Getty)	https://archive.org/details/gri_33125008618643	PD (IA: NOT_IN_COPYRIGHT)	Floor plans, photos, construction sections of Victorian/Edwardian English houses, German text; plan logic, not medieval; Bd2=...618767 Bd3=...618270
construction_trades	The Development of English Building Construction	C. F. Innocent	1916	HathiTrust (Cornell)	https://babel.hathitrust.org/cgi/pt?id=coo.31924015354099	pdus - PD in US, full view	Photos and diagrams of cruck frames, timber walls, cob, stone slates, thatch technique; vernacular construction methods bible; IA copy is lending-only reprint
construction_trades	Mechanick Exercises, or the Doctrine of Handy-Works (3rd ed.)	Joseph Moxon	1703 (1st 1677)	Internet Archive (Getty)	https://archive.org/details/mechanickexercis00moxo_1	PD (IA, 1703 imprint)	Engraved tool and technique plates for smithing, joinery, carpentry, turning, bricklaying; period-correct tool geometry
construction_trades	Encyclopédie: Recueil de planches (11 vols + Suite)	Diderot; d'Alembert	1762-1777	Internet Archive (BHL/Smithsonian); ARTFL; Gallica	https://archive.org/details/Recueildeplancht2Dide	PD (BHL explicit public domain statement)	~2885 engraved trade plates; charpente t.2, menuiserie t.7, serrurerie t.9, maçonnerie t.1; workshop scenes plus tool diagrams; browse at encyclopedie.uchicago.edu
construction_trades	Traité théorique et pratique de l'art de bâtir (incl. plate atlas)	Jean-Baptiste Rondelet	1802-1817 (eds to 1867)	Gallica (BnF); Internet Archive	https://gallica.bnf.fr/ark:/12148/bpt6k6554203z	PD; BnF free non-commercial, fee for commercial reuse	~200 engraved plates: masonry stereotomy, timber joints, roof trusses, scaffolding; IA plate atlas india.history.resource.93419
construction_trades	Elementary Principles of Carpentry	Thomas Tredgold	1820 (eds to 1880)	Internet Archive (UofT)	https://archive.org/details/elementaryprinci00treduoft	PD (IA: NOT_IN_COPYRIGHT)	Engineering plates of scarf joints, king/queen-post trusses, framed floors and roofs; 1878 atlas = carpentryjoinery00tred
ornament_grammar	The Grammar of Ornament	Owen Jones	1856	Internet Archive (Getty scan)	https://archive.org/details/gri_33125008700086	IA: NOT_IN_COPYRIGHT	112 color chromolith plates of flat ornament by style; tiling patterns and border trim source; Heidelberg color scan at diglit/jones1856
ornament_grammar	Polychromatic Ornament (English ed. of L'Ornement polychrome, series 1)	Auguste Racinet	1877	Internet Archive	https://archive.org/details/polychromaticor00raci	PD pre-1931 (no explicit IA tag)	100 gold/silver/color plates, 2000 motifs incl. niello and engraved-metal plates; decal and palette source
ornament_grammar	L'Ornement polychrome (French plate set)	Auguste Racinet	1869-1873	NYPL Digital Collections	https://digitalcollections.nypl.org/collections/lornement-polychrome-cent-planches-en-couleurs-or-et-argent-contenant-environ	NYPL: free to use as law permits	High-res individual color plates browsable per motif; medieval and Renaissance sections strongest
ornament_grammar	A Handbook of Ornament (300 plates)	Franz Sales Meyer	1896	Internet Archive	https://archive.org/details/HandbookOfOrnamentWith300Plates	PD pre-1931 (no explicit IA tag)	Systematic construction of rosettes, mouldings, hinges, grilles; line drawings map directly to modeling curves
ornament_grammar	Styles of Ornament (400 plates)	Alexander Speltz (tr. O'Conor)	1906	Internet Archive	https://archive.org/details/stylesofornament00spelrich	PD pre-1931 (no explicit IA tag)	3500 B&W ornament examples in historical order; fastest silhouette lookup incl. furniture and ironwork
ornament_grammar	Floriated Ornament	A. W. N. Pugin	1849	Internet Archive	https://archive.org/details/floriatedorname00pugi	PD pre-1931 (no explicit IA tag)	31 chromolith Gothic foliage designs built from real plants; carving and stencil alpha source
ornament_grammar	Glossary of Ecclesiastical Ornament and Costume	A. W. N. Pugin	1844	Internet Archive	https://archive.org/details/glossaryofeccles00pugi	PD pre-1931 (no explicit IA tag)	Color plates plus terminology for chalices, croziers, vestments, church metalwork; naming plus shapes for prop kits
ornament_grammar	Gothic Ornaments from Ancient Buildings in England and France	A. C. Pugin	1831	Internet Archive (Getty scan)	https://archive.org/details/gri_33125013937236	IA Getty: NOT_IN_COPYRIGHT	~90 engraved measured plates of crockets, panels, mouldings from real Gothic buildings
ornament_grammar	Outlines of Ornament in the Leading Styles	W. & G. Audsley	1881	Internet Archive	https://archive.org/details/outlines-of-ornament	PD pre-1931 (no explicit IA tag)	Pure line-art ornament outlines; ready for tracing into trim geometry
ornament_grammar	Polychromatic Decoration as applied to Buildings in the Mediaeval Styles	W. & G. Audsley	1882	Internet Archive	https://archive.org/details/polychromaticde00auds	PD pre-1931 (no explicit IA tag)	36 chromolith plates of medieval wall, ceiling, beam color schemes; painted-interior palette bible
ornament_grammar	Dresses and Decorations of the Middle Ages (2 vols)	Henry Shaw	1843	Internet Archive	https://archive.org/details/dressesdecoratio01shaw_0	PD pre-1931 (no explicit IA tag)	94 color plates of medieval costume, jewels, plate, furniture from manuscripts; character and prop dressing; vol2=dressesdecoratio02shaw_0
ornament_grammar	Specimens of Ancient Furniture	Henry Shaw & S. R. Meyrick	1836/1866	Internet Archive	https://archive.org/details/specimensofancie00meyr_0	PD pre-1931 (no explicit IA tag)	74 engraved plates of dated chests, cabinets, thrones; furniture kit geometry with provenance
metalwork_filigree	Examples of Ornamental Metal Work	Henry Shaw	1836	Internet Archive (Getty scan)	https://archive.org/details/examplesoforname00shaw_0	PD (Getty scan; no rights field)	CORRECTED after inspection: NOT medieval. A contemporary designer's pattern book — Regency/Empire railings, gates, balconies incl. Shaw's own designs and Paris examples. Each plate pairs a DIMENSIONED outline with a hand-coloured finish view (painted iron + selective gilding). 50 plates at leaf 10+2k
metalwork_filigree	Ironwork Part I: Earliest Times to End of the Mediaeval Period	J. Starkie Gardner	1893	Internet Archive (Cornell scan)	https://archive.org/details/cu31924004684902	PD pre-1931 (no explicit IA tag)	V&A handbook; medieval hinges, grilles, screens, chests with dated examples; the medieval iron core text
metalwork_filigree	Ironwork Part II: Close of Mediaeval Period to End of 18th Century	J. Starkie Gardner	1896	Internet Archive (V&A NAL scan)	https://archive.org/details/S0001888	PD pre-1931 (no explicit IA tag)	Continental Renaissance-baroque smithcraft continuation; 219 images of screens, gates, brackets
metalwork_filigree	Ironwork Part III: Artistic Working of Iron	J. Starkie Gardner	1922	Internet Archive	https://archive.org/details/ironwork03gard	PD pre-1931 (no explicit IA tag)	Completes the survey into 18th-19th c.; late-period gates and railings; also English Ironwork XVII-XVIII c. at englishironworko00gardrich
metalwork_filigree	Metal-work and its Artistic Design	M. Digby Wyatt	1852	Internet Archive (Getty scan)	https://archive.org/details/gri_33125012901787	IA Getty: NOT_IN_COPYRIGHT	50 chromolith color plates of wrought iron, brass, plate; color and finish reference for metal shaders
metalwork_filigree	Gold and Silver Smiths' Work	John Hungerford Pollen	1879	Internet Archive	https://archive.org/details/goldsilversmiths00polluoft	PD pre-1931 (no explicit IA tag)	South Kensington handbook; goldsmithing history with technique chapters incl. filigree, plus object woodcuts
metalwork_filigree	Jewellery (Connoisseur's Library)	H. Clifford Smith	1908	Internet Archive	https://archive.org/details/jewellerysmith00smit	PD pre-1931 (no explicit IA tag)	50+ photo plates of historic jewellery, antiquity to 1800, incl. filigree and enamel pieces
metalwork_filigree	Jewellery	Cyril Davenport	1905	Internet Archive	https://archive.org/details/jewellery00davegoog	PD; Google non-commercial front matter	Compact illustrated jewellery history; ring, brooch, pendant typology with construction notes
metalwork_filigree	English Jewellery from the Fifth Century A.D. to 1800	Joan Evans	1921	Internet Archive	https://archive.org/details/EnglishJewelleryTo1800	PD pre-1931 (no explicit IA tag)	Scholarly plates, Anglo-Saxon filigree and granulation through Georgian; dated exemplars for accessories
metalwork_filigree	Ornamental Jewellery of the Renaissance in relation to Costume	Ferdinand Luthmer	1882	Internet Archive	https://archive.org/details/OrnamentalJewelleryRenaissance	PD pre-1931 (no explicit IA tag)	Color plates of Renaissance pendants, chains, aigrettes; hero-prop detail reference
metalwork_filigree	The Cheapside Hoard of Elizabethan and Jacobean Jewellery	London Museum	1928	Internet Archive	https://archive.org/details/cheapsidehoardelizabethanjacobeanjewelry	PD pre-1931 (no explicit IA tag)	Catalogue of an excavated jeweller's stock: chains, enamelled links, cut stones; a real period inventory
metalwork_filigree	Antique Jewellery and its Revival	Alessandro Castellani	1862	Internet Archive	https://archive.org/details/antiquejeweller00anongoog	PD pre-1931 (no explicit IA tag)	Castellani lecture on reviving Etruscan filigree and granulation; technique discussion, sparse images; IA catalogues as "Anon"
metalwork_filigree	Gems, Notes and Extracts	Augusto Castellani (tr. Brogden)	1871	Internet Archive	https://archive.org/details/gemsnotesextract00castrich	PD pre-1931 (no explicit IA tag)	Roman revival-jeweller on gems and ancient goldwork technique incl. filigree and granulation
goldsmith_treatises	The Treatises of Benvenuto Cellini on Goldsmithing and Sculpture	Benvenuto Cellini (tr. C. R. Ashbee)	1898	Internet Archive (Getty scan)	https://archive.org/details/treatisesofbenve00cell_0	PD (Getty scan; no rights field)	Workshop chapters on filigree, niello, enamelling, seals; Ashbee woodcuts of tools and setups
goldsmith_treatises	An Essay upon Various Arts, in Three Books (Theophilus)	Theophilus (tr. Robert Hendrie)	1847	Internet Archive	https://archive.org/details/essayuponvarious00hend	PD pre-1931 (no explicit IA tag)	12th-c. monk's recipes: wire-drawing, soldering, gilding, bells, chalices; text-only medieval metalshop procedure
goldsmith_treatises	Geschichte der Goldschmiedekunst auf technischer Grundlage (one part)	Marc Rosenberg	1908	Internet Archive (Google scan)	https://archive.org/details/bub_gb_XDUuAAAAYAAJ	CC Public Domain Mark 1.0	Technical history of goldsmith techniques (granulation/filigree/niello series); IA holds one thin 1908 part only — see doc §6 for retrieval leads
goldsmith_treatises	Simple Jewellery	R. Ll. B. Rathbone	1911	Internet Archive	https://archive.org/details/SimpleJewellery	PD pre-1931 (no explicit IA tag)	Practical wirework construction with working drawings; shows how filigree-adjacent shapes are actually bent
classical_treatises	The Ten Books on Architecture	Vitruvius (tr. M. H. Morgan)	1914	Project Gutenberg #20239 + Internet Archive	https://www.gutenberg.org/ebooks/20239	PG: public domain in USA	Proportional rules for the orders, temples, machines; 68 diagrams; searchable text for parametric kit rules
classical_treatises	The Four Books of Architecture (Isaac Ware ed.)	Andrea Palladio	1738	Internet Archive (Getty scan)	https://archive.org/details/gri_33125011569684	IA Getty: NOT_IN_COPYRIGHT	~200 dimensioned plates of orders, villas, palazzi; measurements transfer straight into blockouts
classical_treatises	The Antiquities of Athens	James Stuart & Nicholas Revett	1762-1816	Internet Archive (Getty) + Heidelberg full set	https://archive.org/details/gri_33125008297349	IA Getty: NOT_IN_COPYRIGHT	First measured drawings of Greek monuments: plans, elevations, moulding profiles with dimensions; Heidelberg diglit/stuart1825bd1-1830bd4
classical_treatises	Fragments d'architecture antique, vol 1	Hector d'Espouy	1905	Internet Archive (Getty scan)	https://archive.org/details/gri_33125010470421	IA Getty: NOT_IN_COPYRIGHT	100 Beaux-Arts rendered plates of ancient monuments; shaded orthographic detail at ornament scale
classical_treatises	Fragments d'architecture du Moyen âge et de la Renaissance	Hector d'Espouy	1897	Internet Archive	https://archive.org/details/fragmentsdarchitecturedumoyenageetdelarenaissance	CC Public Domain Mark 1.0	106 measured rendered plates of medieval and Renaissance buildings; directly on-mission for a medieval game
classical_treatises	Édifices de Rome moderne (text vols 1-3)	Paul Marie Letarouilly	1857	Internet Archive (Getty scan)	https://archive.org/details/edificesderomemo01leta	PD (Getty scan; no rights field)	Measured plans, elevations, details of Renaissance Roman palazzi; plate vols at dificesderomem01-03leta
