subject	element	value	unit	french_quote	evidence_class	source_article	verification
Stone machicolation, general type	corbel spacing, axis to axis	0.70 to 1.20	m	On posait des corbeaux les uns sur les autres formant encorbellements espaces environ de 0 m ,70 a 1 m ,20 au plus d'axe en axe	measured-fabric	Architecture militaire	quote-verified-cycle21
Stone machicolation, general type	crenellated parapet on the corbel ends: thickness	0.33 to 0.40	m	Sur l'extremite de ces corbeaux on elevait un parapet crenele B de 0 m ,33 a 0 m ,40 en pierre, et de 2 metres de haut	measured-fabric	Architecture militaire	quote-verified-cycle21
Stone machicolation, general type	crenellated parapet on the corbel ends: height	2	m	un parapet crenele B de 0 m ,33 a 0 m ,40 en pierre, et de 2 metres de haut	measured-fabric	Architecture militaire	quote-verified-cycle21
Pierrefonds, tour de Charlemagne	machicolation drop-hole width	about 0.42	m	les trous des machicoulis ont 42 centimetres environ	documented-reconstruction	Tour	verified-cycle21-reclassified: RECLASSIFIED cycle 21: Pierrefonds was an ACTIVE BUILDING SITE OF VIOLLET'S OWN when he drew it ('deja la partie de la tour carree qui avait ete jetee bas est remontee'), so a machicolation dimension there may measure his new work rather than medieval fabric. Needs a source re-read to settle.
Pierrefonds, tour de Charlemagne	largest round stone projectile stacked for the machicolations	up to 0.40	m	pierres rondes, cailloux de toutes grosseurs, jusqu'a 40 centimetres de diametre	measured-fabric	Tour	quote-verified-cycle21
Pierrefonds, tour de Charlemagne	drop from the machicolation walk to the projectile floor S	3	m	du chemin de ronde R sur l'aire S placee a 3 metres au-dessous	documented-reconstruction	Tour	verified-cycle21-reclassified: RECLASSIFIED cycle 21: same Pierrefonds caveat - the machicolation walk is part of the restored crown.
Carcassonne, Visigothic tower	upper room floor below the crenel sill	1.28	m	Le plancher de la salle superieure, etant a 1 metre 28 centimetres en contre-bas de l'appui des creneaux	documented-reconstruction	Tour	verified-cycle21-reclassified: RECLASSIFIED cycle 21: the datum is the CRENEL SILL, and Carcassonne's crenellation is largely Viollet's restoration. The floor level is fabric; the sill it is measured against is not.
Hand-thrown stones from the wall head	effective projectile weight dropped about 20 m	8 to 10 kg from 20 m	kg/m	De simples cailloux du poids de 8 a 10 kilogrammes, tombant d'une hauteur de 20 metres, etaient les projectiles les plus dangereux	viollet-conjecture	Tour	quote-verified-cycle21
French towers and curtains generally	arrow loop, external slit width	about 0.10	m	ces ouvertures, qui n'avaient a l'exterieur que 0 m , 10 de largeur environ	measured-fabric	Architecture militaire	quote-verified-cycle21
French towers and curtains generally	arrow loop, internal embrasure width	1 to 1.50	m	et 1 m , a 1 m , 50 a l'interieur	measured-fabric	Architecture militaire	quote-verified-cycle21
Arles, Roman gate towers	tower diameter	8	m	Ces tours ont 8 metres de diametre et sont espacees l'une de l'autre de 15 metres	measured-fabric	Tour	quote-verified-cycle21
Arles, Roman gate towers	spacing between towers	15	m	Ces tours ont 8 metres de diametre et sont espacees l'une de l'autre de 15 metres	measured-fabric	Tour	quote-verified-cycle21
Coucy, outer enceinte (mid 13th c.)	spacing between towers	50 to 60	m	flanquee de tours, la plupart fermees a la gorge et espacees les unes des autres de 50 a 60 metres	measured-fabric	Tour	quote-verified-cycle21
Coucy	distance from a captured outer tower to the foot of the inner enceinte	20	m	il se trouvait a 20 metres du pied de l'enceinte interieure	measured-fabric	Tour	quote-verified-cycle21
Coucy	relief of the inner enceinte above the outer chemin de ronde	15	m	dont le relief est de 15 metres au-dessus du chemin de ronde S	measured-fabric	Tour	quote-verified-cycle21
Coucy, north-west tower	masonry thickness of the cylinder at level P	5.20 (16 pieds)	m	la maconnerie du cylindre, au niveau P , a 5 m ,20 d'epaisseur (16 pieds)	measured-fabric	Tour	quote-verified-cycle21
Coucy, north-west tower	outer talus drop below the courtyard level K	8	m	Le talus exterieur descend a 8 metres en contre-bas du niveau K , sol de la cour	measured-fabric	Tour	quote-verified-cycle21
Coucy	course height of the tower masonry	0.40 to 0.50	m	merveilleusement executee en assises de 40 a 50 centimetres	measured-fabric	Tour	quote-verified-cycle21
Coucy	wall thickness at the point a workman pierced it in 27 days	4	m	un trou d'un metre carre environ dans l'un de ces murs, au-dessus du talus, c'est-a-dire au point ou la maconnerie n'a que 4 metres d'epaisseur	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, tour Saint-Martin	height above the lices military road	25	m	la tour Saint-Martin s'eleve de 25 metres au-dessus du chemin militaire des [li]ces [source text corrupt: 'des ces']	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, tour Saint-Martin	height above the city ground	15.50	m	et de 15 [m] ,50 au-dessus du sol de la cite [source text prints '15 e ,50']	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, Porte-Rouge front	level difference between two adjoining curtain walks	3	m	le chemin de ronde b est a 3 metres au-dessus du chemin de ronde a	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, Saint-Nazaire postern tower	lices floor below the sill of the second door	3	m	le sol des lices est a 3 metres en contre-bas du seuil de la seconde porte	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, Saint-Nazaire postern tower	distance from the tower to Saint-Nazaire church	25	m	Sa masse sert de masque a l'eglise de Saint-Nazaire, distante seulement de 25 metres	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, tour visigothe area postern	gargoyle height above the lices floor	about 2	m	une gargouille est percee en G , a 2 metres environ au-dessus du sol des lices	measured-fabric	Tour	quote-verified-cycle21
Carcassonne, square tower with echauguettes	postern sill above the outside ground	2	m	une large poterne dont le seuil est pose a 2 metres au-dessus du sol exterieur	measured-fabric	Tour	quote-verified-cycle21
Aigues-Mortes, tour de Constance	tower height	29	m	Cette tour cylindrique a 29 metres de hauteur sur 22 metres de diametre	measured-fabric	Tour	quote-verified-cycle21
Aigues-Mortes, tour de Constance	tower diameter	22	m	Cette tour cylindrique a 29 metres de hauteur sur 22 metres de diametre	measured-fabric	Tour	quote-verified-cycle21
Aigues-Mortes, tour de Constance	lantern turret height above the platform	11	m	une tourelle de 11 metres s'eleve pres du crenelage sur la plate-forme	measured-fabric	Tour	quote-verified-cycle21
La Rochelle, tour de la Lanterne	tower diameter	16	m	C'est une grosse tour de 16 metres de diametre, terminee par une fleche pyramidale de pierre	measured-fabric	Tour	quote-verified-cycle21
La Rochelle, tour de la Lanterne	distance from the harbour mouth	about 100	m	a 100 metres environ du goulet du port	measured-fabric	Tour	quote-verified-cycle21
Pierrefonds, donjon flanking towers	external diameter hors oeuvre	15.50	m	deux grosses tours cylindriques dont le diametre est de 15 metres 50 centimetres hors oeuvre	measured-fabric	Tour	quote-verified-cycle21
Montepilloy	course height of the tower masonry	0.32 (one pied)	m	en assises reglees de 0 m , 32 de hauteur (un pied)	measured-fabric	Tour	quote-verified-cycle21
Montlhery, principal tower	diameter above the talus	9.85 (30 pieds)	m	a 9 m ,85 de diametre au-dessus du talus (30 pieds)	measured-fabric	Tour	quote-verified-cycle21
Montlhery, principal tower	platform level above the donjon door sill	about 35	m	le niveau de sa plate-forme etait a 35 metres environ au-dessus du seuil de la porte du donjon	viollet-conjecture	Tour	quote-verified-cycle21
Paris, tour de Nesle	external diameter hors oeuvre	5 toises (about 9.75)	m	La tour de Nesle D avait, hors oeuvre, cinq toises de diametre	documented-reconstruction	Tour	quote-verified-cycle21
Curton	tower height, dungeon floor to upper platform	33	m	La tour de Curton a d'ailleurs 33 metres de hauteur, du niveau du sol du cachot a la plate-forme superieure	measured-fabric	Tour	quote-verified-cycle21
Salses (Salces)	ditch width	about 15	m	Un fosse de 15 metres de largeur environ sur 7 metres de profondeur circonscrit tout le chateau	measured-fabric	Tour	quote-verified-cycle21
Salses (Salces)	ditch depth	7	m	Un fosse de 15 metres de largeur environ sur 7 metres de profondeur circonscrit tout le chateau	measured-fabric	Tour	quote-verified-cycle21
Cadillac, porte Garonne	town ditch width, water-filled	about 20	m	Des fosses de 20 metres de largeur environ, remplis par les eaux de l'Oeille	measured-fabric	Tour	quote-verified-cycle21
Cadillac	rampart height an escalade would have to climb	10	m	de passer un fosse plein d'eau, de 20 metres de largeur, et d'escalader un rempart de 10 metres	measured-fabric	Tour	quote-verified-cycle21
Cadillac, porte Garonne	machicolations and loopholes above the curtain walk floor	2	m	Les machicoulis et meurtrieres b sont perces a 2 metres en contre-haut du sol de ce chemin de ronde	measured-fabric	Tour	quote-verified-cycle21
16th-century barbette battery	command over the neighbouring curtain parapet crest	about 1	m	La batterie barbette domine la crete du parapet des courtines voisines de 1 metre environ	measured-fabric	Architecture militaire	quote-verified-cycle21
Coucy, donjon	external diameter hors oeuvre, lower talus excluded	30.50	m	Le diametre de l'enorme tour, non compris le talus inferieur, a trente metres cinquante centimetres hors oeuvre	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	total height, paved ditch bottom to summit, pinnacles excluded	55	m	sa hauteur, du fond du fosse dalle au sommet, non compris les pinacles, est de cinquante-cinq metres	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	ditch width between the chemise and the tower	8	m	entre cette chemise et la tour, est un fosse de huit metres de largeur, entierement dalle	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	ditch bottom below the postern sill	5	m	dont le fond est a cinq metres en contre-bas du seuil de la poterne	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	masonry from the back of a wall niche to the outer circumference	5.50 (minimum)	m	du fond des niches a la circonference de la tour, la maconnerie n'a pas moins de cinq metres cinquante centimetres	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	well depth in its present partly filled state	30 (minimum)	m	En D est un puits tres-large, qui n'a pas encore ete vide, mais qui, dans l'etat actuel, n'a pas moins de trente metres de profondeur	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	course height of the masonry	0.40 to 0.50	m	La maconnerie, elevee en assises regulieres de 0,40 c. a 0,50 c. de hauteur, est bien faite	measured-fabric	Donjon	quote-verified-cycle21
Coucy, donjon	depth below floor of Metezeau's demolition mine chamber	2	m	il chargea, au centre, a deux metres au-dessous du sol, un fourneau de mine	documented-reconstruction	Donjon	quote-verified-cycle21
Louvre, donjon of Philip Augustus	external diameter	20	m	nous savons seulement qu'il etait cylindrique, que son diametre exterieur etait de vingt metres et sa hauteur de quarante metres environ	documented-reconstruction	Donjon	quote-verified-cycle21
Louvre, donjon of Philip Augustus	height	about 40	m	son diametre exterieur etait de vingt metres et sa hauteur de quarante metres environ	documented-reconstruction	Donjon	quote-verified-cycle21
Rouen, donjon of Philip Augustus	wall thickness at ground and first floor	near 4	m	les murs ont pres de quatre metres d'epaisseur	measured-fabric	Donjon	quote-verified-cycle21
Etampes, donjon	wall thickness	4 (minimum)	m	un escalier B , pris aux depens de l'epaisseur du mur, qui n'a pas moins de quatre metres	measured-fabric	Donjon	quote-verified-cycle21
Etampes, donjon	drop from the postern vestibule into the cellar trap	4 (minimum)	m	tombat d'une hauteur de quatre metres au moins en F sur le sol de la cave	measured-fabric	Donjon	quote-verified-cycle21
Vincennes, donjon	square tower height	about 40	m	une tour carree de quarante metres de haut environ avec quatre tourelles d'angle montant de fond	measured-fabric	Donjon	quote-verified-cycle21
Vez, donjon	postern sill above the outside ground	about 7	m	La poterne B , munie d'une herse et de vantaux, surmontee de machicoulis, a son seuil pose a sept metres environ au-dessus du sol exterieur	measured-fabric	Donjon	quote-verified-cycle21
Vez, donjon	width of the outside path below the postern	6	m	le sol exterieur qui, a cet endroit, ne presente qu'un chemin de six metres de largeur	measured-fabric	Donjon	quote-verified-cycle21
Pierrefonds, donjon	uniform course height	0.33 (one pied)	m	toutes les assises reglees et d'une epaisseur uniforme de 0,33 c. (un pied) entre lits	measured-fabric	Donjon	quote-verified-cycle21
Arques, donjon (c.1040)	facing stone height between beds	0.15 to 0.20	m	paremente de petites pierres d'appareil de 0,15 c. a 0,20 c. de hauteur entre lits	measured-fabric	Donjon	quote-verified-cycle21
Arques, donjon (c.1040)	facing stone length	0.20 to 0.32	m	de hauteur entre lits, sur 0,20 c. a 0,32 c. de long	measured-fabric	Donjon	quote-verified-cycle21
Chateau-Gaillard	well depth	over 80	m	En K est un puits de plus de 80 metres de profondeur	measured-fabric	Donjon	quote-verified-cycle21
Chateau-Gaillard	rise of the rock-cut underground stair treads	0.30 to 0.40	m	un long souterrain ascendant dont les marches taillees dans la craie et le silex n'ont pas moins de 0,30 c. a 0,40 c. de hauteur	measured-fabric	Donjon	quote-verified-cycle21
Normandy donjons, general	raised donjon door above the outside ground	6	m	Sa porte est relevee a six metres au-dessus du sol, et s'ouvre sur le flanc de la tour carree	measured-fabric	Donjon	quote-verified-cycle21
Early feudal town and castle gates	carriage opening width	barely 3	m	elles ont a peine 3 metres d'ouverture sur 3 a 4 metres de hauteur sous clef	measured-fabric	Porte	quote-verified-cycle21
Early feudal town and castle gates	height under the keystone	3 to 4	m	elles ont a peine 3 metres d'ouverture sur 3 a 4 metres de hauteur sous clef	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, chateau gate (c.1120)	gate opening width	under 2	m	La porte, qui n'a pas 2 metres de largeur sur 2 m ,30 de hauteur	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, chateau gate (c.1120)	gate opening height	2.30	m	La porte, qui n'a pas 2 metres de largeur sur 2 m ,30 de hauteur	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, chateau gate (c.1120)	removable-deck pit in front of the gate: length	about 3	m	laisse en avant de l'entree une fosse de 3 metres environ de longueur sur 3 metres de largeur	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, chateau gate (c.1120)	removable-deck pit in front of the gate: width	3	m	une fosse de 3 metres environ de longueur sur 3 metres de largeur	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, chateau gate (c.1120)	vertical command holes through the vaults	0.63 by 0.50	m	Ces trous, qui ont 0 m ,63 de largeur sur 0 m ,50 de large, permettaient meme au besoin de placer des echelles	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, chateau	drop from the forced postern to the inner courtyard	7	m	qu'on se trouvait a 7 metres en contre-bas de la cour interieure L du chateau	measured-fabric	Architecture militaire	quote-verified-cycle21
Carcassonne, inner-enceinte postern in the bishop's curtain	postern height	2	m	qui n'a que 2 metres de hauteur sur 0 m , 90 de largeur	measured-fabric	Architecture militaire	quote-verified-cycle21
Carcassonne, inner-enceinte postern in the bishop's curtain	postern width	0.90	m	qui n'a que 2 metres de hauteur sur 0 m , 90 de largeur	measured-fabric	Architecture militaire	quote-verified-cycle21
Carcassonne, inner-enceinte postern in the bishop's curtain	sill above the lices floor	12	m	et dont le seuil est place a 12 metres au-dessus du sol des lices	measured-fabric	Architecture militaire	quote-verified-cycle21
Carcassonne, outer-enceinte postern near the porte de l'Aude	rock scarp below the postern	about 7	m	celle-ci est ouverte au-dessus d'un escarpement de rochers de 7 metres de hauteur environ	measured-fabric	Architecture militaire	quote-verified-cycle21
Coucy, porte de Laon	great first-floor hall length	22	m	La grande salle S , ayant 22 metres de longueur sur 8 metres de largeur	measured-fabric	Porte	quote-verified-cycle21
Coucy, porte de Laon	great first-floor hall width	8	m	La grande salle S , ayant 22 metres de longueur sur 8 metres de largeur	measured-fabric	Porte	quote-verified-cycle21
Coucy, porte de Laon	ordinary garrison the gate could hold	50 to 60 men	men	un poste de cinquante a soixante hommes pouvait facilement tenir dans cet ouvrage en temps ordinaire	viollet-conjecture	Porte	quote-verified-cycle21
Villeneuve-lez-Avignon gate (late 13th c.)	opening at its narrowest point	4.20	m	Son ouverture, au point le plus etroit, est de 4 m ,20, largeur inusitee pour les portes des XIIe et XIIIe siecles	measured-fabric	Porte	quote-verified-cycle21
Villeneuve-lez-Avignon gate	course height of the masonry	0.27	m	elevee en excellente pierre de Villeneuve, par assises reglees de 0 m ,27 de hauteur	measured-fabric	Porte	quote-verified-cycle21
Villeneuve-lez-Avignon gate	iron rings carrying the portcullis chain pulleys	0.25	m	les trois anneaux de fer, de 0 m ,25 de diametre, qui servaient a suspendre les poulies	measured-fabric	Porte	quote-verified-cycle21
Standard 14th-century carriage gate	opening height	about 3.50	m	ayant environ, suivant l'usage admis au XIVe siecle, 3 m ,50 de hauteur sur 3 m ,50 de largeur	viollet-conjecture	Porte	quote-verified-cycle21
Standard 14th-century carriage gate	opening width	about 3.50	m	ayant environ, suivant l'usage admis au XIVe siecle, 3 m ,50 de hauteur sur 3 m ,50 de largeur	viollet-conjecture	Porte	quote-verified-cycle21
Postern with single-arm drawbridge, 14th-15th c.	bay width	1 (maximum)	m	Elles se composent d'une baie d'un metre de largeur au plus et de 2 metres a 2 m ,50 de hauteur	measured-fabric	Porte	quote-verified-cycle21
Postern with single-arm drawbridge, 14th-15th c.	bay height	2 to 2.50	m	d'une baie d'un metre de largeur au plus et de 2 metres a 2 m ,50 de hauteur	measured-fabric	Porte	quote-verified-cycle21
Pierrefonds, supply postern	sill above the outside road	10	m	la poterne de ravitaillement du chateau de Pierrefonds est elevee de 10 metres au-dessus du chemin exterieur	measured-fabric	Porte	quote-verified-cycle21
Pierrefonds, supply postern	thickness of the curtain it pierces	3	m	Cette poterne de ravitaillement est percee a travers une haute courtine ayant 3 metres d'epaisseur	measured-fabric	Porte	quote-verified-cycle21
Pierrefonds, supply postern	top of the inclined plane below the sill	2	m	s'elevait du chemin jusqu'a un niveau en contre-bas de 2 metres du seuil	viollet-conjecture	Porte	quote-verified-cycle21
Pierrefonds, supply postern	gap between the inclined plane and the curtain, spanned by the drawbridge	4	m	et a 4 metres de distance de la courtine	viollet-conjecture	Porte	quote-verified-cycle21
Pierrefonds, chateau	garrison the castle could hold	1200 men	men	Le chateau de Pierrefonds pouvait facilement contenir une garnison de 1 200 hommes	viollet-conjecture	Porte	quote-verified-cycle21
Villeneuve-sur-Yonne	ditch width crossed by the approach bridge	12	m	le ponceau qui precede la porte, et qui passe sur un fosse de 12 metres de largeur	measured-fabric	Porte	quote-verified-cycle21
Carcassonne, porte Narbonnaise	mortar bed thickness in the ashlar	about 0.01	m	les lits, tres-bien dresses et poses sur couche de mortier excellent, ont 0 m ,01 d'epaisseur en moyenne	measured-fabric	Porte	quote-verified-cycle21
Crossbow from the wall head	point-blank effective range	about 60	m	les arbaletriers, qui envoyaient leurs carreaux de but en blanc a 60 metres environ	viollet-conjecture	Tour	quote-verified-cycle21
Tower loopholes, Coucy outer enceinte	flat-trajectory sweep from the tower circumference	60	m	elles envoyaient des projectiles divergeant de plein fouet a 60 metres de leur circonference	viollet-conjecture	Tour	quote-verified-cycle21
Counterweight engines on tower platforms	effective range	150 to 200	m	dont le tir etait tres-precis et l'effet terrible jusqu'a une portee de 150 a 200 metres	viollet-conjecture	Tour	quote-verified-cycle21
Pierrefonds tower crown, combined fire	radius the defenders could cover	150 to 200	m	dans un rayon de 150 a 200 metres, les defenseurs pouvaient couvrir le terrain d'une quantite innombrable de carreaux, de viretons et de pierres	viollet-conjecture	Tour	quote-verified-cycle21
Orleans 1428, defenders' cannon	point-blank range	600	m	possedaient cependant des canons envoyant des balles de plein fouet a 600 metres	documented-reconstruction	Tour	quote-verified-cycle21
16th-century siege battery	concentration needed to breach a 2-3 m wall	300 to 500 shot on about 8 m2	shot/m2	ne pouvaient resister a une batterie envoyant de trois a cinq cents boulets sur une surface de huit metres carres environ	documented-reconstruction	Architecture militaire	quote-verified-cycle21
