french	english	category	definition	source_article
poincon	king post; also the carved ridge terminal	carpentry-member	The central vertical hanging post; gathers the rafter heads and SUSPENDS the tie at mid-span. A faux poincon does not reach a tie. In the Norman/Norse tradition the word also means the carved terminal at each end of a ridge, the two joined over the roof by a crested board (Bayeux tapestry; surviving in the Eure). VERIFICATION NOTE on Auxerre: the text says only 'un octogone de 0,13 centimetres de diametre' (meaning 0 m 13 c = 0.13 m) - it does NOT distinguish across-flats from across-corners, so drop the reader's 'across flats'. || SOURCE ENTRIES: [Charpente] The central vertical hanging post; suspends the tie and gathers the rafter heads. NOTE: At Auxerre its visible length is an OCTAGON 0.13 m across with a small carved capital. || [Maison] In the Norman/Norse tradition the two ends of the ridge carry richly decorated poincons joined over the roof by a timber cut as a crest.	Charpente; Maison
faux poinçon	short king post / crown post	carpentry-member	[Charpente] A king-post that does not reach down to a tie. NOTE: Standard in the Anglo-Norman tie-less trusses (Ely, Westminster).	Charpente
poteau royal	king post (English usage)	carpentry-member	[Charpente] Viollet's French rendering of the ENGLISH term, used when describing 13th-c English trusses where the tie carries the post. NOTE: He cites the name only to condemn the practice.	Charpente
sablière	wall plate / wall-plate	carpentry-member	[Charpente] The longitudinal plate on the wall head. Normally DOUBLE and laid flat rather than square. NOTE: The double sablière is the French positioning member: the tie is dovetailed into both, and the blochet is notched over both. || [Maison] At Annonay the first-floor front is 'compose sur la face anterieure de trois sablieres superposees, jointives, sur lesquelles s'assemblent les montants'. NOTE: At Laval the jetty rests on three corbelled sablieres; at Nantua the sablieres under the roof are doubled.	Charpente; Maison
semelle	sole plate	carpentry-member	[Charpente] A plate laid under the sablière receiving the tie ends and pegged to it. NOTE: Saint-Ouen de Rouen, exceptional.	Charpente
blochet	sole-piece; (in English hall roofs) hammer-beam	carpentry-member	[Charpente] A short horizontal timber lying across the wall plates into which the rafter foot and the jambette are tenoned. NOTE: In the Anglo-Norman system it grows into a projecting cantilever carrying posts - i.e. the hammer-beam. Viollet uses the same word for both.	Charpente
patin	sole-piece (synonym of blochet)	carpentry-member	[Charpente] Viollet: 'D est le patin ou blochet'. NOTE: Treat as an exact synonym.	Charpente
jambette	ashlar-piece / short strut from blochet to rafter	carpentry-member	[Charpente] Short post, vertical or slightly raked, tenoned into the blochet and the tie and housed into the rafter. NOTE: RULE: 'plus les combles sont aigus, plus les jambettes se rapprochent de la verticale'; raked ones resist the rafter thrust better.	Charpente
jambette courbe	curved ashlar-piece	carpentry-member	[Charpente] The same piece cut on a curve so that it forms part of the visible boarded barrel. NOTE: Auxerre, Mauvesin, Châlons, Sully.	Charpente
lien	brace / tie-brace / brace, strut (timber) / curved brace	carpentry-member	[Charpente] An inclined brace; in the corrected truss it is footed in the KING POST and heads on the rafter, so it does not load the tie. NOTE: Contrast with jambette, which loads the tie. || [Escalier] 'Le limon est soulage dans sa partie par un gousset I et un lien K. Les grands liens sont surtout necessaires pour empecher le roulement et les poussees.' NOTE: 6 occurrences; also the short braces under the pivoting stair's treads. || [Maison] Eases the projecting ends of sablieres and purlins; at Reims the jambe-etriere receives two liens, carved with Samson and Saint Michael.	Charpente; Escalier; Maison
esselier / aisselier	angle brace, strut between a horizontal and an inclined member	carpentry-member	[Charpente] Short brace triangulating a corner. NOTE: Viollet spells it 'esselier' throughout this article.	Charpente
contre-fiche	strut / raking strut	carpentry-member	[Charpente] Compression strut running from a lower member up to the arbalétrier, often set PERPENDICULAR to it, and often carrying a purlin course. NOTE: Stopped from sliding by a renfort left in the solid of the rafter plus moises.	Charpente
jambe de force	principal foot-strut ('leg of force')	carpentry-member	[Charpente] The heavy raking strut at the base of the truss, footing the lower contre-fiche. NOTE: With the hanging moises it makes the base self-tightening under load.	Charpente
moise	clamping pair of side-pieces tightened by wooden keys	carpentry-member	Two timbers laid one each side of other members and tightened by wooden keys (clefs de bois) so several members act as one. THE characteristic French device. VERIFICATION NOTE: a moise is BY DEFINITION a pair, and Viollet counts cheeks individually ('Le second entrait retrousse I se compose de deux moises qui embrassent ces memes pieces'; 'deux paires de moises verticales N'). So the Reims sous-arbaletriers-moises are 2 PAIRS = 4 cheeks, and 'd'un seul morceau' in 'ces sous-arbaletriers-moises I qui sont d'un seul morceau et n'ont pas moins de 14 m ,50 de longueur' means each timber is UNSPLICED over its whole length - a timber-sourcing feat, compare his Westminster admission 'nous n'avons pu savoir s'ils sont d'un seul morceau' - not that the moise is one piece. Variants: moises pendantes (hanging, waisted between the keys because they work only in tension), sous-arbaletriers-moises, courbes moises, petites moises. || SOURCE ENTRIES: [Charpente] Two timbers laid one on each side of other members and tightened by wooden keys, so several members act as one. NOTE: The single most characteristic French device. Variants: moises pendantes (hanging), sous-arbalétriers-moises, courbes moises (curved clamps at Westminster), petites moises.	Charpente
moise pendante	hanging clamp / suspension pair	carpentry-member	[Charpente] A pair of moises hung from the rafter or king-post to suspend the tie at intermediate points. NOTE: Lightened (élégi) between the keys because they act only in tension.	Charpente
clef de bois	wooden key / wedge	vault-member	[Charpente] The key driven through a moise to tighten it. NOTE: Reims uses several keys per moise; the whole roof has no ironwork.	Charpente
chevillette de fer	small iron pin / spike	carpentry-member	[Charpente] Square-headed iron pin. NOTE: Saint-Ouen de Rouen - an early appearance of iron in a French roof.	Charpente
cheville	oak peg / treenail	carpentry-member	[Charpente] The peg through a tenon. NOTE: Rafters are held to ridge, purlins and plates 'par des chevilles de chêne'.	Charpente
panne	purlin	carpentry-member	[Charpente] Longitudinal member carrying the rafters. NOTE: THE regional test: in France it is either laid ON the rafter (early, wasteful of wall), or set UNDER it / into it (later); in the Anglo-Norman system it is locked between rafter and curved brace, forming a grillage with them.	Charpente
chantignolle	purlin cleat	carpentry-member	[Charpente] The cleat nailed/pegged on the principal rafter that stops a purlin laid on top from sliding. NOTE: Only needed in the antique system where pannes sit on top.	Charpente
faîtage	ridge piece / ridge / ridge covering	carpentry-member	[Charpente] A true ridge into which the rafter heads are tenoned. NOTE: Rare - Mauvesin has one; most 13th-14th c French roofs have none. || [Maison] Lead ridges at Bourges, formerly gilt and painted.	Charpente; Maison
sous-faîte	under-ridge / collar-purlin at the king-post heads	carpentry-member	[Charpente] A longitudinal piece at the head of the king-posts on which the rafter heads, halved together, rest. NOTE: Distinct from faîtage. Viollet notes the Notre-Dame choir roof has NEITHER faîtage NOR pannes.	Charpente
entretoise / entre-toise	longitudinal strut / spacer	carpentry-member	[Charpente] Horizontal piece running truss to truss, usually paired with St-Andrew crosses. NOTE: Also used for the axial pieces under an enrayure.	Charpente
croix de Saint-André	St Andrew's cross / X-brace / St Andrew's cross bracing	carpentry-member	[Charpente] Crossed diagonal bracing, halved together, in the LONGITUDINAL plane, keeping the trusses plumb and the sous-faîte level. NOTE: Also used in the plane of the rafters (Hargnies) and in the aprons of a pan-de-bois. || [Maison] In the alleges they 'empechaient le deversement des poteaux d'huisseries' - stop the jamb-posts leaning out. NOTE: Reims 26bis is a deliberate counter-example: no crosses at all in the whole height.	Charpente; Maison
écharpe	raking brace	carpentry-member	[Charpente] A long diagonal brace. At Sully the écharpes croisees are lapped à tiers-bois on the OUTSIDE of the rafters, in the plane of the roof slope. NOTE: Viollet says it is chiefly these that stop the roof 'rolling'.	Charpente
fourrure	packing piece / firring	carpentry-member	[Charpente] Pieces laid on the rafters to make up the step formed by the crossed écharpes before the boarding is laid. NOTE: Sully-sur-Loire.	Charpente
gousset	gusset / knee brace / gusset, bracket (timber); also the small corner squinch	carpentry-member	[Charpente] Brace assembled into the contre-fiche and into the purlin, stopping the purlin sagging between trusses. NOTE: Amiens, and the fig.15/15bis family. Also stops the hiement. || [Escalier] 11 occurrences. In timber: 'le gousset du limon de depart', 'un gousset embreve dans les montants'. In stone: 'ces trompes, ou ces goussets plutot, sont appareilles d'une seule pierre'. NOTE: Same word for the stone corner filler and the timber angle bracket.	Charpente; Escalier
hiement	racking of trusses and rafters under wind	failure-mode	[Charpente] Viollet's own footnote: 'On appelle hiement, en termes de charpenterie, le mouvement que l'effort du vent imprime aux fermes et chevrons.' NOTE: This is a direct, quotable definition of the wind-load failure mode - gold for a structural rule.	Charpente
roulement	rolling (longitudinal racking of the whole roof)	failure-mode	[Charpente] The whole frame leaning/travelling along its length. NOTE: Resisted by liens into the axial entretoises, by St-Andrew crosses, and above all by roof-plane écharpes.	Charpente
déversement / dévers	leaning out of plumb	failure-mode	[Charpente] A truss falling out of its vertical plane. NOTE: Resisted by liens, sous-arbalétriers, crosses, and by the boarding.	Charpente
enrayure	horizontal radiating frame of a hip or conical roof / horizontal framing ring / grillage of beams	carpentry-member	[Charpente] The ring of ties, angle-ties and trimmers at one level of a hip/cone; a conical roof has three or more, stacked. NOTE: The prolonged blochets of the rafters form the lowest one. || [Maison] At Annonay a thick fir enrayure sits on the masonry ground floor, its third course forming the floor and oversailing to carry the jetty.	Charpente; Maison
coyer	angle tie / dragon tie	carpentry-member	[Charpente] Diagonal member of an enrayure taking goussets like a tie. NOTE: Conical roofs, second enrayure.	Charpente
linçoir (printed 'linconoir'/'linçoir')	trimmer	carpentry-member	[Charpente] Piece tenoned between rafters to receive the heads of the faux chevrons. NOTE: Printed with a cedilla, 'linçoirs'; in the text 'les linçoirs I, détaillés en I′, I″ et I‴'. Its stated purpose is to make ERECTION possible.	Charpente
faux chevron	intermediate/short rafter	carpentry-member	[Charpente] A lighter rafter between the true chevrons in the lower zone of a cone, only to support the boarding. NOTE: Stops at the second enrayure, because the cone narrows.	Charpente
coyau	sprocket piece at the eaves	carpentry-member	[Charpente] Short piece extending the roof plane past the wall to throw water clear. NOTE: At Sully great coyaux roof the machicolated wall-walks; at Mauvesin the chevrons themselves do the coyau's job.	Charpente
chanlatte	tilting fillet / batten under the boarding	carpentry-member	[Charpente] Batten laid between rafters under the volige to stiffen it. NOTE: Hargnies.	Charpente
volige / voligeage	thin boarding under the tiles or slates	roofing	[Charpente] Sheathing boards. NOTE: At Notre-Dame the oak volige is what actually keeps the rafters in plane - remove it and you can move the trusses by hand. At Messine it is DOUBLE and laid crossways.	Charpente
bardeau / feuillet de chêne refendu	riven oak board or shingle	roofing	[Charpente] The thin riven oak boards nailed on the courbes to form the visible barrel ceiling; 0.01 m, sometimes 0.009 m thick. NOTE: Jointed 'a grain d'orge' to keep wind out; generally painted.	Charpente
couvre-joint	cover strip / batten over a board joint	roofing	[Charpente] Moulded strip hiding the bardeau joints, stiffening the courbes and serving as decoration. NOTE: Two sizes, gros and petits, at Hargnies.	Charpente
grain d'orge	'barley-corn' joint - a V-jointed board edge	carpentry-member	[Charpente] The edge profile used between bardeaux so that wind driven under the tiles cannot enter. NOTE: fig.22.	Charpente
lambris / lambrissé	boarded lining / wainscot ceiling / boarding, panelling / boarded	roofing	[Charpente] The visible boarded barrel under an apparent roof. NOTE: Sully, Auxerre, Palais de la Cite. || [Maison] The Provins hotel hall is 'recouverte par une charpente apparente lambrissee en berceau' - an exposed roof boarded as a barrel.	Charpente; Maison
courbe	curved / compass timber	carpentry-member	VERIFICATION CORRECTED on the span figure. A member cut or grown to a curve. The reader's note made 5.40 m 'the threshold above which two stacked courbes are needed'; the text states only that THIS truss has 5.40 m of span ('Cette ferme n'a que 5 m ,40 de portee') and that for greater spans one-piece courbes were hard to find ('lorsque les portees etaient plus grandes, il eut ete difficile de trouver des courbes d'un seul morceau'). No threshold is stated - treat 5.40 m as the span of the fig. 28 example. || SOURCE ENTRIES: [Charpente] A member cut or grown to a curve; in the ceiling barrels a run of them makes the arc, in the Anglo-Norman trusses one huge courbe replaces the tie's function. NOTE: Availability limits span: above about 5.40 m you cannot get a single courbe and must stack two.	Charpente
madrier	thick plank	carpentry-member	[Charpente] Planks rebated into rafter and curve to fill the spandrel and make the two act together. NOTE: Ely.	Charpente
claire-voie	open tracery infill / openwork, open screen / open-work, tracery screen	house-facade	[Charpente] Traceried panels filling every void between the main members. NOTE: Westminster - Viollet insists they are STRUCTURAL (vertical 'ordonnees' preventing the curves deforming). || [Escalier] 'des vis enfermees dans des cages en partie ou totalement a claire-voie'. NOTE: The type at Notre-Dame de Paris, Mainz, Laon, Reims.	Charpente; Escalier; Construction -- Voutes
prisonnier	concealed key / captive dowel	carpentry-member	[Charpente] A key sunk in the thickness of the timbers holding pieces together invisibly. NOTE: Malvern; paired with 'languettes' (tongues).	Charpente
queue d'aronde	dovetail	carpentry-member	[Charpente] The joint by which the tie ends grip the double wall-plates. NOTE: Resists the outward push of the rafters on the plates.	Charpente
embrevement / embrever	housed shouldered abutment / a shallow housing/rebate at a joint	joint	[Charpente] A housing cut so an inclined member's shoulder bears solidly, not just its tenon. NOTE: Jambettes are ALWAYS embrévés into the rafters. || [Escalier] 'sera legerement embrevee dans le limon en E'; 'un gousset embreve dans les montants'. NOTE: The joint that stops a tenoned member rotating.	Charpente; Escalier
renfort	boss / shoulder left standing in the solid / thickening, enlarged block on a post or limon / nib, reinforcement left in a springer	carpentry-member	[Charpente] Extra timber deliberately left on a rafter to give a housing more bearing 'sans affamer le bois'. NOTE: Also used to stop a purlin sliding. || [Escalier] Mortised to receive the balustrade posts, or to receive the poutrelle de buttee. NOTE: fig.26 H, fig.28 N. || [Construction -- Voutes] A projection left in a springer course behind the freed voussoirs to receive the web. NOTE: Named on fig. 49 bis.	Charpente; Escalier; Construction -- Voutes
affamer le bois	to starve (weaken) the timber	joint	[Charpente] To cut a housing so deep that the member loses its strength. NOTE: The stated reason for the renfort.	Charpente
à mi-bois	halved (half-lap) joint	joint	[Charpente] Two members each cut half away and lapped. NOTE: Rafter heads at the ridge, St-Andrew crosses, false ties.	Charpente
à tiers-bois	third-lapped joint	joint	[Charpente] Lapped at one third the depth. NOTE: The crossed écharpes at Sully, laid outside the rafters.	Charpente
élégi	lightened, reduced between the joints	joint	[Charpente] Section cut away where the member only works in tension, keeping full section at the joints. NOTE: Hanging moises; the false ties over the Burgundian barrels.	Charpente
équarrissage	squared section / scantling	joint	[Charpente] The squared cross-section of a timber. NOTE: Viollet's whole historical thesis is about équarrissage shrinking as combination improves.	Charpente
bois de brin	timber squared from a single whole tree	material	[Charpente] As opposed to bois de sciage (sawn from a larger log); hewn with the axe and cleared of sapwood. NOTE: Sully: 'tous ces bois sont des bois de brin et non de sciage, equarris a la hache' - the stated reason for 500 years' survival.	Charpente
aubier / flache / gerce / gauchir	sapwood / sapwood / wane / shake or check / to warp	material	[Charpente] Removed from the timber. NOTE: Durability rule. || [Escalier] The defects the conversion method avoids: sapwood and wane end up in the tail of the step; the saw cuts follow the direction of the shakes so the step cannot check or warp. NOTE: A materials rule, useful for texturing as well as for lore.	Charpente; Escalier
vive arête	sharp arris (fully squared)	vault-member	[Charpente] Timber squared to sharp edges with no waney edge. NOTE: Chartres, Reims - a quality marker.	Charpente
bahut	dwarf wall / wall head above the vaults	vault-geometry	[Charpente] The low masonry wall on the extrados of the wall ribs and window arches on which the roof plates sit; its thickness cannot exceed the diameter of the piers below. NOTE: Reduced to about 1 m - the constraint that forced the whole 13th-c French system.	Charpente
mur goutterot	eaves wall / gutter wall	house-facade	[Charpente] The side wall carrying the gutter and the roof plates. NOTE: Raised in Burgundy so a tie could pass over the barrel crowns. || [Maison] The wall under the eaves, as opposed to the gable wall. Alleys between houses forced the goutterots onto the alleys and the pignons onto the street.	Charpente; Maison
chéneau	gutter	roofing	[Charpente] The channel on the wall head. NOTE: Where absent, the eaves rely on coyaux (Mauvesin). || [Maison] Of stone in Burgundy and haute Champagne from the mid-13th c, sloped to two end gargoyles on projecting corbels; elsewhere hollowed in a beam or made of lead-covered boards.	Charpente; Maison
croupe	hip end	carpentry-member	[Charpente] The hipped end of a roof; here over the chevet. NOTE: Circular croupe = the basis of the conical tower roof.	Charpente
noue	valley	roofing	[Charpente] The internal angle between two roof slopes. NOTE: Mentioned for the spire base: 'suspendre au-dessus des fermes des noues'.	Charpente
bec de flûte	'flute-beak' splayed head cut	roofing	[Charpente] The rafter head cut to a long splay where rafters converge on the apex of a cone. NOTE: fig.36 quater.	Charpente
levage	raising / rearing the frame	tool-process	[Charpente] The erection operation; tenons must be enterable in the chosen order. NOTE: Explicit design constraint for conical roofs.	Charpente
art du trait	the carpenter's art of geometrical setting-out	tool-process	[Charpente] The layout/stereotomy tradition of the carpenters' corporation. NOTE: Viollet: the guild was 'instruite dans l'art du trait' and kept its traditions long after the Renaissance.	Charpente
poutre armée	trussed / armed beam	carpentry-member	[Charpente] A floor beam stiffened by a curved or straight auxiliary piece, tied to it with iron bolts and cotters. NOTE: Amiens organ loft ~15 m span; Blain; hotel de la Tremoille ~12 m.	Charpente
clavette	cotter / forelock key	carpentry-member	[Charpente] The key locking an iron bolt. NOTE: The only structural iron Viollet accepts as medieval French practice.	Charpente
lambourde	joist bearer / ledger	carpentry-member	[Charpente] The wider member of an armed beam, forming the seat for the joists. NOTE: Blain.	Charpente
solive / solivage	joist / joist / joisting	carpentry-member	[Charpente] Floor joist, usually left exposed. NOTE: Medieval floors: 'peu ou point d'enchevêtrures'.	Charpente; Maison
enchevêtrure	trimmed opening in a floor	carpentry-member	[Charpente] Framing round an opening. NOTE: Viollet says medieval floors have few or none - a strong simplicity rule for floor generators.	Charpente
pan-de-bois	timber-framed wall panel / half-timbered facade	carpentry-member	[Charpente] The framed wall of a timber house. NOTE: Bay module = one principal post per floor beam.	Charpente
poteau	post / post, newel post (timber)	carpentry-member	[Charpente] Vertical member; poteau principal over a beam, poteau (secondary) between. NOTE: Also the posts standing on the hammer-beams at Westminster. || [Escalier] The corner posts of a timber stair, 0,18 x 0,20 m, set on edge in the direction of the emmarchement, running from foundation to head on a stone parpaing. NOTE: Distinguish from montant (the post carrying one step in a joinery vis).	Charpente; Escalier
potelet	small post	carpentry-member	[Charpente] A short post relieving a plate or a brace. NOTE: Chartres house; Ely (carved as a shaft).	Charpente
chapeau	head plate / cap piece	carpentry-member	[Charpente] The plate over the secondary posts, tenoned into the principal posts. NOTE: Chartres house.	Charpente
allège	apron panel below a window / window apron / breast below the sill	carpentry-member	[Charpente] The panel between sill and floor, braced with St-Andrew crosses and filled with light masonry. NOTE: Chartres house. || [Maison] Where the St Andrew crosses go, and where the masonry hourdis later hides behind joinery panels. NOTE: In Burgundy a cellar entrance can be cut under the allege of a ground-floor window.	Charpente; Maison
poitrail	bressummer	carpentry-member	[Charpente] The heavy beam over a shopfront carrying the first-floor joists. NOTE: fig.38.	Charpente
ligneaux	the medieval name for jettied oversailing storeys	carpentry-member	[Charpente] Successive corbelled projections of each storey over the street, gaining one to three feet a floor. NOTE: 'ces encorbellements, que l'on appelait ligneaux' - a rare period term.	Charpente
corbelet	small corbel	carpentry-member	[Charpente] Little corbel built into the wall to take a brace foot. NOTE: Ely.	Charpente
souche de flèche	the base/stump of a spire	vault-geometry	[Charpente] The lower framed stage of a timber spire, carried above the valley trusses so as not to load the transverse arches. NOTE: Notre-Dame's, raised by about 1230, is Viollet's model of 13th-c skill.	Charpente
tuile romaine	Roman (flanged) tile	carpentry-member	[Charpente] Used in northern France until about the beginning of the 12th c, and only workable on a FLAT roof. NOTE: So: tile type dates and constrains pitch.	Charpente
grandes tuiles plates	large flat tiles	carpentry-member	[Charpente] Used where a Romanesque gable is too steep for Roman tile. NOTE: The exception that lets a steep Romanesque roof exist.	Charpente
tuile creuse	hollow tile / pantile	roofing	[Charpente] The present covering at Messina. NOTE: Viollet thinks the original was Roman tile.	Charpente
escalier	stair	stair-member	[Escalier] The generic modern term Viollet uses throughout. NOTE: Sauval states the word was NOT current in the Middle Ages: 'puisqu'en ce temps-la le nom d'escalier n'etait pas connu'. The medieval word for a spiral stair is vis; a flight is a degre or a rampe.	Escalier
degre	stair / flight of steps	stair-member	[Escalier] Given as the headword synonym: 'ESCALIER, s. m. Degre.' In palaces the great external stair was called le degre par excellence. NOTE: Also used for an individual step and for a whole stair; context decides.	Escalier
vis	newel stair, spiral stair (lit. screw)	stair-member	[Escalier] The helical stair turning about a central axis. The standard medieval term. Joinville: 'il tenoient leur parlement en une viz qui descendoit de l'une chambre en l'autre'. NOTE: 'la grande vis du Louvre' is how Sauval names the state stair. Use vis, not escalier, for medieval naming.	Escalier
escalier a vis / escalier en limacon	spiral stair / winding stair (lit. snail) / spiral stair (newel stair)	stair-member	[Escalier] Viollet's two names for the same thing: 'on eut donc recours a l'escalier a vis ou en limacon'. NOTE: limacon appears once, at the introduction of the type. || [Maison] In Burgundy it is planted in the street wall itself and serves as the ground-floor vestibule. NOTE: 'ajoure' at Chateaudun means open-work / pierced.	Escalier; Maison
escalier a rampes droites	straight-flight stair	stair-member	[Escalier] A stair made of straight flights, as opposed to one with winders. NOTE: One of the three axes of the opening taxonomy.	Escalier
escalier a girons	winder stair	stair-member	[Escalier] A stair whose steps are girons, i.e. wedge-shaped winders. NOTE: Paired with 'a vis' in the taxonomy.	Escalier
rampe	flight (of a stair); also the raking run	stair-member	[Escalier] The sloping run between landings. 'La rampe avait nom epuiement.' NOTE: 39 occurrences — the article's main word for a flight. Do not translate as handrail here.	Escalier
epuiement	flight (medieval term)	stair-member	[Escalier] The medieval name for the rampe of a great external stair, evidenced by a XIII c. verse quoted by Viollet: 'El pales vint, l'epuiement / De sanc le truva tut sanglant.' NOTE: From the Lai d'Ywenec, poesies de Marie de France. Rare and valuable naming datum.	Escalier
marche	step, tread	stair-member	[Escalier] The individual step. 141 occurrences. NOTE: In stone vis work a marche is normally ONE stone comprising tread + newel segment + wall bearing.	Escalier
gironner	to wind, to form winders / to wind (of a stair), to set out the treads	stair-member	[Escalier] Verb: the steps giron in a cylinder. 'comme si elles gironnaient dans un cylindre'; 'les deux rampes gironnant l'une au-dessus de l'autre'. NOTE: Precise generator verb: to lay treads radially about an axis. || [Maison] 'a gauche ou a droite, selon que gironne l'escalier, est la porte C' - the hand of the stair decides which side the door goes. NOTE: A real generator constraint: door side is a function of stair handedness.	Escalier; Maison
emmarchement	length of a step / clear width of a stair - but see the fig. 6 exception	stair-member	VERIFICATION CORRECTED. Normally the step's usable length, i.e. the stair's clear width: 'Ces sortes d'escaliers ne depassent guere 1 m ,00 c. d'emmarchement'; 'il en est dont les emmarchements n'ont que 0,50 c.; les plus grands n'ont pas plus de 2 m ,00'; 'les poteaux ... poses de champ dans le sens de l'emmarchement'. The 1.00 m figure is confirmed arithmetically by Viollet himself (1.90 m cage less at least 0.325 m of newel leaves 0.80 m max per step). BUT in the fig. 6 wedge-step passage it means the GOING at one end: 'deux marches eussent ensemble 0,30 c. de hauteur et chacune 0,30 c. d'emmarchement par un bout, ce qui permettait d'inscrire la rampe dans un angle de 45 degres' - and the plate proves it, because the 0,30 arrow lies along a-b and the companion drawing is lettered 'Elevat. sur a.b'. Do NOT feed a generator a single meaning. Also strike the reader's claim that all five occurrences carry a dimension: two do not. || SOURCE ENTRIES: [Escalier] The width of the going, i.e. the length of a step available to walk on. 'Ces sortes d'escaliers ne depassent guere 1m,00 c. d'emmarchement.' NOTE: 5 occurrences and every one carries a dimension — the single most useful parameter word in the article.	Escalier
noyau	newel, the central shaft of a spiral stair	stair-member	[Escalier] The core about which the winders turn. 51 occurrences. Can be (a) a stack of separate drums carrying a helical vault, (b) an assembly of segments each integral with a step, (c) coursed masonry with the steps housed in, (d) big stones set en delit, or (e) in timber, one shaft with mortises up the rake. NOTE: Sauval calls it a colonne ('vis tournante a double colonne (noyau)'); Viollet glosses this.	Escalier
arbre	shaft, trunk (of a newel)	stair-member	[Escalier] Used for a timber or monolithic newel: 'un arbre ou noyau a pivot'; 'les morceaux superposes de cet arbre de pierre'. NOTE: 3 occurrences; the pivoting stair's rotating shaft is the arbre O.	Escalier
cage	stair well, the enclosing shaft	house-plan	[Escalier] The enclosure the stair stands in: 'les cages cylindriques n'ayant que six pieds'; 'posee dans des cages comprises dans les constructions ou accolees a ces constructions'. NOTE: 15 occurrences. Cage is both the masonry cylinder and, in joinery, the timber prism formed by the montants.	Escalier
coquille	the enclosing cylindrical wall of a vis; also a cul-de-four cap over a round vis	stair-member	QUOTATION REPAIRED: the full text is 'avec DEUX ET DEMI DE giron pres de la coquille qui l'environnoit' (Sauval on the Louvre); the reader's shorter version was a paraphrase inside quotation marks. Second sense verbatim: 'La ronde est couverte d'une voute en cul-de-four ou coquille.' Flag both senses to a generator - coquille can be the wall or the conoidal cap. || SOURCE ENTRIES: [Escalier] Two senses in the article: Sauval's 'le giron pres de la coquille qui l'environnoit' (the shell that surrounded it) and 'couverte d'une voute en cul-de-four ou coquille'. NOTE: Flag both senses to a generator: coquille can be the wall or the conoidal cap.	Escalier
