packet	status	department	owner	source_commit	source_review	docs_commit	docs_review	blocked_reason	next_action	updated
106_native_static_asset_next_boundary_scout	complete	integration	finisher	78650eb2	PASS-planner	656e334e	not_requested		closed source and docs after native static mesh export verification report text renderer extraction	2026-06-20
107_native_static_asset_next_boundary_scout	complete	integration	finisher	9fa597bb	PASS-planner	19adde9f	not_requested		closed source and docs after native static mesh export verification report data builder extraction	2026-06-20
108_native_static_asset_next_boundary_scout	complete	integration	finisher	fb4077ff	PASS-planner	0f3211e7	not_requested		closed source and docs after native static mesh verification report builder parity coverage	2026-06-20
109_native_static_asset_next_boundary_scout	complete	integration	finisher	96cc7f04	PASS-planner	d1a4cc47	not_requested		closed source and docs after native static mesh package directory report builder parity coverage	2026-06-20
110_native_static_asset_next_boundary_scout	complete	integration	finisher	fe339a95	PASS-planner	07182df9	not_requested		closed source and docs after native static mesh package manifest read issue text helper extraction	2026-06-20
111_native_static_asset_next_boundary_scout	complete	integration	finisher	3d357b45	PASS-planner	5591e7f7	not_requested		closed source and docs after native static mesh export manifest read issue text helper extraction	2026-06-20
112_native_static_asset_next_boundary_scout	complete	integration	finisher	fe0b9a02	PASS-planner	3bb86447	not_requested		closed source and docs after native static mesh package directory read status text helper extraction	2026-06-20
113_native_static_asset_next_boundary_scout	complete	integration	finisher	e43a5e9a	PASS-planner	617f43a5	not_requested		closed source and docs after native static mesh export directory verification status text helper extraction	2026-06-20
114_native_static_asset_next_boundary_scout	complete	integration	finisher	43b5916a	PASS-planner	a08265d8	not_requested		closed source and docs after native static mesh file export status text helper extraction	2026-06-20
115_native_static_asset_next_boundary_scout	complete	integration	finisher	06f1251a	PASS-planner	ab7d935a	not_requested		closed source and docs after native static mesh export report status text helper extraction	2026-06-20
116_native_static_asset_next_boundary_scout	complete	integration	finisher	49b1bc4c	PASS-planner	656cc885	not_requested		closed source and docs after native static mesh export manifest status text helper extraction	2026-06-20
117_native_static_asset_next_boundary_scout	complete	integration	finisher	866691ff	PASS-planner	7918b6dc	not_requested		closed source and docs after native static mesh export package manifest status text helper extraction	2026-06-20
118_native_static_asset_next_boundary_scout	complete	integration	finisher	f956d6d8	PASS-planner	292cdc22	not_requested		closed source and docs after native static model slot text helper extraction	2026-06-20
119_native_static_asset_next_boundary_scout	complete	integration	finisher	c886bf6a	PASS-planner	b4caa45d	not_requested		closed source and docs after native static model load status text helper extraction	2026-06-20
120_native_static_asset_next_boundary_scout	complete	integration	finisher	20440310	PASS-planner	851854ee	not_requested		closed source and docs after native static model fallback kind text helper extraction	2026-06-20
121_native_static_asset_next_boundary_scout	complete	integration	finisher	e02cf6c8	PASS-planner	48233664	not_requested		closed source and docs after native static model load report text renderer extraction	2026-06-20
122_native_static_asset_next_boundary_scout	complete	integration	finisher	2f39ab95	PASS-planner	9ac93a34	not_requested		closed source and docs after native static mesh export report text renderer extraction	2026-06-20
123_native_static_asset_next_boundary_scout	complete	integration	finisher	f69b1211	PASS-planner	70e528a9	not_requested		closed source and docs after native static mesh single file export success text renderer extraction	2026-06-20
124_native_static_asset_next_boundary_scout	complete	integration	finisher	099136bb	PASS-planner	698ce2d3	not_requested		closed source and docs after native static mesh single file export failure text renderer extraction	2026-06-20
125_native_static_asset_next_boundary_scout	complete	integration	finisher	cc3b9be7	PASS-planner	43280586	not_requested		closed source and docs after native static mesh batch export success text renderer extraction	2026-06-20
126_native_static_asset_next_boundary_scout	complete	integration	finisher	c622c9ad	PASS-planner	208026ef	not_requested		closed source and docs after native static mesh batch export failure text renderer extraction	2026-06-20
127_native_static_asset_next_boundary_scout	complete	integration	finisher	c8a5096e	PASS-planner	d2ef1528	not_requested		closed source and docs after native static mesh export manifest failure text renderer extraction	2026-06-20
128_native_static_asset_next_boundary_scout	complete	integration	finisher	c1014062	PASS-planner	0d561418	not_requested		closed source and docs after native static mesh export package manifest failure text renderer extraction	2026-06-20
129_native_static_asset_next_boundary_scout	complete	integration	finisher	a489d6ac	PASS-planner	62d4bf4e	not_requested		closed source and docs after native static mesh export verification success text renderer extraction	2026-06-20
130_native_static_asset_next_boundary_scout	docs_ready	integration	finisher	df078350	PASS-planner				Sync Native Static Mesh Export Verification Failure Text Renderer Extraction docs from source commit df078350	2026-06-20
