family_id,lane,status,broad_component,reuse_class,n_member_subrows,construction_invariant,geometry_generator,host_interface,joint_schedule,assembly_role,surface_realization,permitted_variation,incompatible_excluded,member_row_uids,proven_construction_rows,typed_uncertainty,donor_status,note
muntin.panel_grooved,component_recipe,RANKABLE,post,parameterized_recipe,2,"An intermediate upright inside a frame, GROOVED ON TWO OPPOSITE FACES to capture the panels either side. Opposite-face grooving is the whole distinction from a corner post.",extruded prism with a groove on each of two opposite faces,upper and lower rails of the frame it divides,"stub tenons into rail mortises; panels float in the grooves, unglued",divides a frame into bays,"plain, moulded, or carrying applied spindles",count (drives bay count); width; section; spacing; whether it carries applied spindles,"corner posts, which are mortised on ADJACENT faces; upholstery tacking muntins, which have no groove at all",R360;R378,R360;R378,,AUDIT_REQUIRED,"R320 was filed under 'moulding run' in v1 and refiled here in v3; it is QUARANTINED in v3.1 because neither the opposite-face grooves nor the rail tenons are visible - the row records only 'spacing and count across a panel width', which is a layout fact, not a joint schedule."
muntin.upholstery_tacking,component_recipe,RANKABLE,post,parameterized_recipe,1,"An intermediate upright that divides an UPHOLSTERED back into webbing bays. It is a tacking ground - no groove, no panel, and it is invisible when the cover is on.","extruded prism, plain",upper and lower back-frame rails,tenoned or lapped; webbing tacked to its faces,divides an upholstered field into webbing bays,bare secondary wood - never seen in the finished object,"bay count (chair 0, this settee 1, longer sofa 2-3); section",grooved panel muntins - a groove would serve no purpose here,R073,R073,,AUDIT_REQUIRED,"The audit's split, and the source supports it exactly: 'central vertical member dividing the upholstered back into two webbing bays; visible only in alt4 with the outer cover off.'"
armpost.on_seat_rail_short,component_recipe,RANKABLE,post,parameterized_recipe,2,A SHORT post standing on the seat rail and carrying the arm above it. Both ends are joints; it spans only the seat-to-arm gap.,"revolve or tapered prism, short","seat rail below, arm rail above",tenon or dowel at both ends,carries the arm off the seat frame,"faceted, gilt, or tapered show wood",height; taper; section; facet count; carving presence,posts that tie into the BACK frame (different upper host); continuous arm/back stiles (no joint at all),R002;R096.a,R002;R096.a,,AUDIT_REQUIRED,"Per the audit, post.arm_support is split three ways by what the post actually connects. This is the short-post-on-seat-rail case."
armpost.rear_tied_to_back_frame,component_recipe,RANKABLE,post,parameterized_recipe,1,"A wide FLAT post tying the arm into the back frame. Its upper host is the back frame, not the arm rail, so its joint schedule differs from a short arm post.","flat sawn board, tapered","side seat rail below, back frame behind",tenon below; lapped or tenoned into the back frame,ties the arm assembly into the back,show wood or covered,width; taper; rake; height,front cone-stump arm posts; continuous arm/back stiles,R096.b,R096.b,,AUDIT_REQUIRED,
stile.continuous_curved_arm_back,assembly_grammar,RANKABLE,post,assembly_grammar,2,One continuous curved member doing arm rail AND back stile AND crest junction with NO joint break. There is nothing to assemble - the modelling error is treating it as parts.,swept section along a compound 3D curve,seat frame below; crest above; both are continuations of the same stick,NONE along the run - that is the defining fact,arm and back outer edge in one member,"gilt show wood, reeded-and-inlaid on the inside face only",sweep radius; scoop depth under the elbow; section width; whether the inside face carries the reeded band,any jointed arm-post-plus-arm-rail construction,R028;R027,R027;R028,,AUDIT_REQUIRED,"2012.216 states it: 'rises from the front terminal, dips into a shallow scoop under the elbow, and turns up into the back stile WITHOUT A JOINT BREAK.'"
post.back_intermediate,component_recipe,RANKABLE,post,parameterized_recipe,1,An intermediate vertical in the BACK frame running crest to rear seat rail.,extruded prism,"crest rail above, rear seat rail below",tenon at both ends,stiffens a wide back; carries medial rails,covered or plain,count as a function of back width (1 here; 2-3 for a longer bench); section,arm posts; muntins that capture panels,R096.c,R096.c,,AUDIT_REQUIRED,
post.bed_stacked_block,assembly_grammar,RANKABLE,post,assembly_grammar,1,"A post built as a STACK of discrete solids. Adding or dropping a stage rescales the post without any new geometry - the grammar is the asset, not the post.",ordered stack of pre-existing solids,floor/foot below; tester or finial above,stacked and pinned; each stage is a separate solid,bed post carrying a tester,"carved, inlaid, moulded per stage",stack ORDER and stage count; per-stage height and diameter,one-piece turned or fluted posts,R300,R300,,AUDIT_REQUIRED,'Each stage is a separate solid; adding or dropping a stage rescales the post without new geometry.'
post.bed_square_fluted,component_recipe,RANKABLE,post,parameterized_recipe,2,One square fluted post recipe run at two different lengths on the same object - the object itself proves length is the parameter.,"extruded square prism, fluted faces, carved capital block",floor or corner block below; tester/canopy above,tenon or dowel at the cap; die block below,bed corner post,"gilt on show faces, bare wood on rear faces",LENGTH (proved: 163.2 cm vs 132.7 cm from one recipe); flute count; flute stop height; capital leaf density; which faces are gilded,stacked-block posts; turned posts,R333;R299,R299;R333,,AUDIT_REQUIRED,The cleanest parametric proof in the corpus: 'the head-end pair and foot-end pair are the SAME square fluted post recipe run at two different lengths.'
post.turned_pivot_gate,component_recipe,RANKABLE,post,parameterized_recipe,1,A turned upright that BEARS A PIVOT - the gate swings on it. The bearing is the reason the part exists and it is not shared with any static post.,revolve with a bored or pinned pivot seat,top and bottom rails of the fixed frame,pivot bearing (pin/socket) top and bottom,hinge axis for a swinging gate leg,turned wood,diameter relative to the corner leg; count along the side; presence at all (a 6-leg version drops them),"the stacked stone-and-metal pedestal, which is not a recipe and has no pivot; static turned supports",R413,R413,,AUDIT_REQUIRED,The audit's split of post.turned_support. A pivot-bearing wooden gate post and a stacked alabaster pedestal share only the word 'support'.
trestle.splayed_board_standard,component_recipe,RANKABLE,post,parameterized_recipe,1,"A splayed flat BOARD standard at a trestle end, with applied carving that can be removed to leave a plain trestle.","tapered flat board, splayed in elevation","trestle foot below, top frame above",tenoned into foot and top rail,trestle end support,carved palmette and swag as APPLIED layers,height; splay angle; board width; taper,square-section posts; turned supports,R124,R124,,AUDIT_REQUIRED,
pier.midspan_support,component_recipe,RANKABLE,post,parameterized_recipe,1,"A load-bearing midspan pier under a long carcase, standing on a shelf rather than the floor.",extruded prism,"shelf below, drawer carcase above",UNRESOLVED at the shelf; joined by a cross rail to its pair,midspan support for a long span,plain or carved,pier count along the span (drives arch count); section; height above shelf,trestle standards (which reach the floor),R125,,R125=construction,AUDIT_REQUIRED,'whether 2 further piers exist is NOT DETERMINABLE' - the count is open.
support.shelf_stick,component_recipe,RANKABLE,post,parameterized_recipe,1,A slender stick supporting a cantilevered shelf and landing on the SHELF BELOW rather than on the carcase - a staggered-shelf grammar.,slender square prism,shelf above and shelf below (never the carcase),butted/pinned at both ends,carries a staggered etagere shelf,plain,stick section; length; horizontal offset of the shelf it carries,any post that lands on the carcase or the floor,R215,R215,,AUDIT_REQUIRED,'the single most transferable idea in the object: a staggered shelf held by one thin stick.'
partition.interior_vertical,component_recipe,AUDIT_ONLY,post,parameterized_recipe,1,An interior board partition dividing drawer banks. Its OFFSET sets the bank widths.,"flat board, case-depth",case top and bottom; drawer runners fix to it,housed/dadoed into top and bottom; rails tenon into it,divides the interior into drawer banks,"secondary wood, unfinished",board width (case depth); height; OFFSET from the case end - the single most retargetable parameter in the object,show-face posts and muntins,R192,,R192=construction,AUDIT_REQUIRED,"AUDIT_ONLY per the final audit - zero proved construction members. v3 marked this row simultaneously proven and unresolved, which is incoherent. The housing into the case top and bottom is NOT visible in any view; what the row actually establishes is the partition's existence and its offset. Interface UNRESOLVED. (1 of 2 visible, 1 inferred by symmetry - PARTIALLY VISIBLE.)"
stile.continuous_leg_and_stile,component_recipe,RANKABLE,rear leg/stile,parameterized_recipe,4,"One stick doing leg AND stile, unbroken from floor to crest or cornice. Proved by view.","extruded prism or turning, full height",floor below; crest/cornice above,NONE along the run; rails mortise into it,corner member of the whole object,reeded/gilt on show faces,total height; section; taper; reed count; where the capital block lands,any object where the rear support is a separate leg under a concealed frame,R095.a;R160.a;R214.a;R412,R095.a;R160.a;R214.a;R412,,AUDIT_REQUIRED,"The baseline's defining trait. Note it does NOT hold on 2012.216 or 1954.151 - both explicitly contradict it, and are in the separate-leg family below."
stile.separate_rear_leg,component_recipe,RANKABLE,rear leg/stile,parameterized_recipe,5,"The rear support is a SEPARATE leg, applied under a seat frame or below a die block. The show-wood stile above stops short and never reaches the floor.",revolve or tapered prism,seat frame or corner die block above,dowel or tenon into the frame/die block,rear floor support only,may be plain where the front is decorated,same turning parameters as the front leg; rake angle; whether the rear pair is shortened,continuous leg-and-stile members,R025;R063;R144;R336;R095.b,R025;R063;R095.b;R144;R336,,AUDIT_REQUIRED,1954.151 is emphatic: 'CRITICAL DIVERGENCE FROM THE BASELINE: this is NOT a continuous rear leg-and-stile.' Two objects disprove the baseline pattern.
stile.case_corner_board,component_recipe,RANKABLE,rear leg/stile,parameterized_recipe,3,"A thin board-like corner stile of a case, thinner than the front members - a show-face vs back-face economy rule.","flat board prism, slight taper",case sides and back,housed or tenoned; rails mortise in,case corner,plain or ebonised; deliberately cheaper than the front,thickness; taper; whether front and rear sections match; whether it stops at a base moulding or runs to the floor,full-section structural corner posts,R359;R377;R376,R359;R376,R377=construction,AUDIT_REQUIRED,"R376 arrives here from the deleted family termination.stile_to_floor. Continuing past the lower rail to the floor is a TERMINATION SETTING on this recipe - the variation axis already reads 'whether it stops at a base moulding or runs to the floor' - not a second component. 1971.281 supplies both the stile (R359) and the proof of the floor setting (R376), so they are one part."
board.plain_back,component_recipe,RANKABLE,rear leg/stile,parameterized_recipe,1,"A plain board closing the back, shaped only by a functional notch. Deliberately undecorated because it is never seen.",flat board with a V-notch,case sides,nailed or housed,closes the back; provides floor bearing at the rear,unfinished secondary wood,board width; notch depth and shape,show-face stiles,R295,R295,,AUDIT_REQUIRED,"'deliberately plain because the rear is unseen, in direct contrast to the turned front feet' - the visibility-economy rule stated outright."
stile.continuity_unresolved,component_recipe,AUDIT_ONLY,rear leg/stile,parameterized_recipe,1,"A rear member that LOOKS continuous but whose junction is masked. Continuity is the baseline's defining trait and here it is asserted, not seen.","prism above, turning below - alignment visible, junction not",UNRESOLVED,UNRESOLVED - masked by the seat rail and gilding,rear corner member,gilt with a recessed matte field,rake angle; length below seat; recessed field dimensions,members where continuity is proved either way,R001,,R001=construction,AUDIT_REQUIRED,"AUDIT_ONLY. THE BASELINE OBJECT'S OWN defining trait is unproven on the baseline object: 'continuity is asserted only as plausible, not seen.'"
seatframe.closed_frame_assembly,assembly_grammar,RANKABLE,rail,assembly_grammar,6,A closed rectangle of four rails that must exist for a seat to be framed. This is the OWNERSHIP rule that says the individual rail recipes below compose into one frame - it is not itself a part to model.,composition of four rail members,leg or post at each corner,"tenon, pin or mitre at four corners - varies by member family",the seat frame as a unit,n/a - the members carry the surface,plan aspect; rail depth; straight vs shaped vs barrel plan,n/a,R066.a;R066.b;R097;R052.a;R003;R004,R003;R066.a;R066.b;R097,R004=construction;R052.a=construction,AUDIT_REQUIRED,"Per the audit, rail.seat_frame is an assembly grammar, and the leaf recipes (show face / secondary / mitred / pinned) are separate families below."
rail.seat_tenoned,component_recipe,RANKABLE,rail,parameterized_recipe,4,"The tenoned seat rail. ONE recipe: front, side and rear are the same member with the same joint, differing only in which faces get a finish and how deep the rail runs.","extruded rectangular section, optionally scalloped on the lower edge",legs or posts at each corner,tenoned into posts and leg blocks,"front / side / rear leaf of a closed seat frame - the ROLE lives in the assembly schedule, not in a separate recipe","SURFACE IS A PARAMETER: gilt show face with paterae and a bead arris, or bare secondary wood, or upholstered over",length; depth (deeper where the cover wraps over it); scalloped vs straight lower edge; paterae pitch; PER-FACE finish flag; role (front/side/rear),"pinned/pegged rails, which are a different joint schedule; mitred box rails, which have no tenon at all",R003;R066.a;R066.b;R004,R003;R066.a;R066.b,R004=construction,AUDIT_REQUIRED,"MERGED in v3.1. v3 split these into rail.seat_show_face and rail.seat_secondary_concealed, but that split is FINISH, not construction - the geometry and the tenon are identical and 2011.3 proves it by carrying both states on one frame ('Front and side rails are gilt show faces carrying paterae; the rear rail is left in bare wood'). Decoration is a per-face flag, which is a parameter."
rail.seat_pinned,component_recipe,RANKABLE,rail,parameterized_recipe,1,"A seat rail whose joints are PINNED with visible round pegs - a different joint schedule from a glued tenon, and visible on the finished object.","extruded rectangular section, plain",legs or posts at each corner,tenoned AND PINNED with visible round pegs through the joint,leaf of a closed seat frame,plain secondary wood; the pegs read on the show face,length; depth; peg count and position; straight vs serpentine front edge in plan,glued tenoned rails - the peg array is real geometry and changes the joint contract,R097,R097,,AUDIT_REQUIRED,Split from the merged tenoned recipe per the audit: 'joints pinned with visible round pegs' is a different joint schedule AND a visible surface event.
rail.seat_mitred_box,component_recipe,RANKABLE,rail,parameterized_recipe,1,Four flat boards MITRED into a closed rectangular box with no separate apron member. The mitre is the joint contract and it excludes tenoning.,"flat board, mitred at 45 degrees at the corners",column tops or leg dowels at the corners,"mitre, reinforced internally (block or leg dowel - not resolvable)",seat/frieze box,"relief on the long faces, painted row on the short faces",rail height; plan aspect; ornament assignment PER FACE,tenoned rail frames,R052.a,,R052.a=construction,AUDIT_REQUIRED,"The corner reinforcement is inferred, not seen - see the corresponding unresolved brace row."
rail.drawer_divider,component_recipe,RANKABLE,rail,parameterized_recipe,4,"A horizontal rail that separates and carries drawers. Its receiver schedule is what defines it: it tenons into the corner posts AND into the interior partitions, and it takes the drawer runners.",extruded rectangular section,corner posts and interior partitions,tenoned into posts and partitions; receives drawer runners; may carry a lock keeper,divides a drawer stack and carries its load,reeded or moulded front edge,length; height; COUNT (drives drawer count); front-edge profile; keeper plate presence,"panel-frame stock (spans openings, carries nothing); frieze and plinth rails (no drawer load, different receiver); back rails (secondary wood, no show face)",R163;R194;R216.b;R247.d,R163;R194,R216.b=construction;R247.d=construction,AUDIT_REQUIRED,"Split out of v3's rail.case_divider, which combined drawer dividers, panel-frame stock, frieze rails, plinth rails, back rails, gate stock and arched rails into one family on the strength of all being horizontal. R216.b (rails above and below the drawers) and R247.d (the single rail above the drawers, restored by the final audit) have a clear drawer-bounding ROLE but unproved receiver schedules - members, not proof."
rail.panel_frame_stock,component_recipe,RANKABLE,rail,parameterized_recipe,1,Generic frame stock whose job is to SPAN panel openings. It carries no drawer and no applied show programme - the panel count it spans is the parameter.,"extruded rectangular section, grooved on one edge",stiles and muntins of the same frame,tenoned into stiles; grooved to capture the panel,horizontal member of a frame-and-panel assembly,plain; peg pattern visible,length; width; how many panel openings the rail spans; peg pattern,"drawer dividers (carry load, different receiver); frieze/plinth rails",R271,R271,,AUDIT_REQUIRED,
rail.frieze,component_recipe,RANKABLE,rail,parameterized_recipe,2,"The upper rail of a case front, under the cornice. Carries the show programme and may be arched on its lower edge.","extruded section, lower edge straight, arched or scalloped",corner posts or stiles,tenoned into posts; the cornice sits on it,top rail of a case front,marquetry on 69.140ab; arched openings on 1999.79,span; depth; straight vs arched vs scalloped lower edge,drawer dividers; plinth rails at the base; back rails,R216.a;R247.a,R247.a,R216.a=construction,AUDIT_REQUIRED,R216 was split by role in the final patch; only its arched frieze rails (.a) belong here. The drawer-bounding rails went to rail.drawer_divider and the centre-section rails to the AUDIT_ONLY bucket - assigning the aggregate here claimed a frieze role for rails the source distinguishes.
rail.plinth,component_recipe,RANKABLE,rail,parameterized_recipe,1,"The base rail of a case, carrying the reeded band and the load down to the feet.",extruded section,corner posts; feet or plinth blocks below,tenoned into posts; transfers load to the feet,base rail,reeded band,span; depth; band reed count,frieze rails at the top of the same case - different load path and different treatment,R247.b,R247.b,,AUDIT_REQUIRED,
rail.back_secondary,component_recipe,RANKABLE,rail,parameterized_recipe,1,"A plain secondary-wood rail closing the back. No show face, cheaper stock, deliberately undecorated.","extruded section, plain",case sides,tenoned or nailed,closes the back of a case,plain secondary cherry - never seen,span; depth,any show-face rail,R247.c,R247.c,,AUDIT_REQUIRED,
rail.table_frame,component_recipe,AUDIT_ONLY,rail,parameterized_recipe,1,"The fixed frame rails of a table - end rails and long side rails, optionally pierced for a drawer opening.","extruded section, straight or shaped lower edge",corner legs,tenoned into the legs,fixed frame of a table,"primary wood on show faces, secondary behind",length; depth; pierced for a drawer or not; primary vs secondary wood; straight vs shaped lower edge,case drawer dividers; swinging gate stock,R415,,R415=construction,AUDIT_REQUIRED,AUDIT_ONLY per the final audit - the tenon claim is asserted from type; no joint is visible in the published views.
rail.chest_lock_and_lower,component_recipe,AUDIT_ONLY,rail,parameterized_recipe,1,"The front rails of a chest, where the UPPER rail is deepened to take the lock.","extruded section, upper deeper than lower",corner stiles,tenoned into the stiles; the upper rail is mortised for a lock,front rails of a chest,plain or shaped lower edge,upper (lock) rail depth vs lower rail depth; run length; straight vs curved lower edge,drawer dividers; frieze rails,R361,,R361=construction,AUDIT_REQUIRED,"AUDIT_ONLY per the final audit - the lock mortise and stile tenons are inferred from the rail depths, not seen."
rail.shared_stock_multi_role,component_recipe,RANKABLE,rail,parameterized_recipe,1,"One stock section serving several roles on one object, distinguished only by which inlay path is run on it. The reusable fact is the STOCK, not the role.","one extruded section, several path programmes",posts or stiles at each end,tenoned,capital under-rail and drawer bottom rail on the same object,different inlay band per role,length; height; which inlay path is applied,rails whose section is driven by a load they carry,R115,R115,,AUDIT_REQUIRED,'the capital under-rail is the same stock as the drawer bottom rail with a different inlay path' - stated outright.
rail.multi_purpose_unresolved,component_recipe,AUDIT_ONLY,rail,parameterized_recipe,2,"A rail recorded as possibly grooved, possibly rebated, possibly mortised - three different receiver schedules, none of them settled.",extruded section,UNRESOLVED,UNRESOLVED,unclassified case rail,unresolved,length; height; and the open question of which receiver schedule applies,every rail whose schedule IS known,R379;R216.c,,R216.c=construction;R379=construction,AUDIT_REQUIRED,"AUDIT_ONLY. R379 lists three mutually exclusive schedules ('whether grooved for panels, rebated for bottom boards, or mortised for a lock') and settles none. R216.c - the top and bottom rails of the centre section - records a position but no receiver schedule at all."
rail.back_frame,component_recipe,RANKABLE,rail,parameterized_recipe,2,Top and bottom rails bounding an upholstered back opening between the rear posts.,extruded section; the top rail may be widened to carry a carved frieze,rear posts at each end,tenoned into the rear posts,bounds the back opening,carved frieze on the front face of the top rail; plain behind,opening height; bay count; frieze repeat count,seat rails; crest boards sawn to a silhouette,R067;R068,R067;R068,,AUDIT_REQUIRED,'the same rail with the ornament stripped is a plain crest rail' - ornament is a separable layer on this member.
rail.upholstery_tacking,component_recipe,RANKABLE,rail,parameterized_recipe,1,"A rail existing PURELY as a tacking ground for a cover. No show face, no structural span claim - add more as the back gets taller.","extruded plain section, lapped past the post",back frame posts,lapped past the central back post,tacking ground for the inside-back cover,never seen,length; height on the back frame; count,structural back-frame rails,R099,R099,,AUDIT_REQUIRED,
rail.curved_sawn,component_recipe,RANKABLE,rail,parameterized_recipe,1,"A rail BOWED IN PLAN and serpentine in elevation, sawn from a wide board. Its structural core is bare; all ornament is applied to the outer face.",sawn from a wide board along two curves (plan bow + elevation serpentine),posts at each end,OUT OF SCOPE - the end interface is unevidenced and is NOT part of this recipe; a consumer must supply its own end joint,long side rail of a bed,gilt ornament applied to the outer face only; core left bare,length; bow radius in plan; serpentine sag depth at mid-span,straight rails - a straight member cannot be stretched into this and the stock width requirement is completely different,R338.a,R338.a,,AUDIT_REQUIRED,"GEOMETRY-ONLY per the final audit. R338.a proves the curved SAWN FORM - bowed in plan, serpentine in elevation, sawn from wide stock - and nothing about the end joint. 'Knockdown or fixed' was removed as a variation axis: it is not a parameter of this recipe, it is an unevidenced fact about a different contract (R338.b, quarantined). What this family delivers is the curve; the interface is external."
rail.straight_visibility_switched,component_recipe,RANKABLE,rail,parameterized_recipe,2,A straight rail whose FINISH is switched by visibility: the same member is plain unfinished wood at the unseen end and fully decorated at the seen end.,extruded straight section,posts at each end,tenoned post to post,closes the base of an end frame; rear rail of a case,"plain unfinished OR full gilt apron - a switch, not a different part",length; finished-vs-plain treatment as a visibility-driven flag,curved sawn rails,R339;R146,R146;R339,,AUDIT_REQUIRED,"1954.151 proves it on ONE object: head-end version plain on both faces, foot-end version carries the full gilt apron. Same rail, one boolean."
rail.gallery_spindle_mortised,component_recipe,RANKABLE,rail,parameterized_recipe,1,A gallery base rail MORTISED at pitch to receive spindles. The mortise pitch is the interface and no other gallery rail has it.,extruded section with a mortise array,posts or frame at each end,mortise array at fixed pitch for spindle tenons,seats a spindle gallery,plain or moulded,length; MORTISE PITCH (drives spindle count),gallery cap rails and inlaid band rails - neither carries a mortise array,R310,R310,,AUDIT_REQUIRED,"Per the audit: gallery base, cap and top rails are split because their interface schedules are NOT proven equivalent. This one's schedule is a mortise array."
rail.gallery_cap,component_recipe,RANKABLE,rail,parameterized_recipe,2,The rail capping a gallery. Receives spindle tops; its own face may carry a bead run.,"extruded section, optionally with a bead run",spindle tops below,receives spindle tenons from below,caps a gallery,"bead run on the face, or plain",length; profile depth; whether it carries a bead run,the mortised base rail; inlaid band rails,R311;R313,R311;R313,,AUDIT_REQUIRED,
rail.inlaid_band,component_recipe,RANKABLE,rail,parameterized_recipe,3,A rail whose defining feature is a stretchable inlaid band with FIXED-WIDTH terminal cells - a two-part layout that generalises to any long band.,extruded section; the inlay is a separate path stretched to the rail length,posts or frame at each end,tenoned,show rail of a headboard/footboard or bed side,marquetry band: fixed terminal cells + stretchable centre,length; moulding member count on the edges; whether the centre medallion is present,gallery rails with spindle interfaces,R309;R312;R308,R308;R309;R312,,AUDIT_REQUIRED,'the centre ribbon-knot is a fixed medallion with a stretchable scroll to either side' - a genuinely reusable layout rule.
