bom_row_id,row_uid,candidate_id,broad_component,source_term,subpart,evidence_class,evidence_weight,family_assignment,family_status,assignment_confidence,source_visible_construction,uncertainty_type,panel_interface_class
R247,R247.d,FC-08-69_140ab,rail,,the single rail above the drawers,VISIBLE,1.0,rail.drawer_divider,RANKABLE,unresolved,no,construction,
R271,R271,FC-08-2019_59,rail,,,VISIBLE,1.0,rail.panel_frame_stock,RANKABLE,proven,yes,,
R216,R216.a,FC-07-1999_79,rail,,"two arched frieze rails, one per end bay",PARTIALLY VISIBLE,0.5,rail.frieze,RANKABLE,unresolved,no,construction,
R247,R247.a,FC-08-69_140ab,rail,,"frieze rails, marquetry face",VISIBLE,1.0,rail.frieze,RANKABLE,proven,yes,,
R247,R247.b,FC-08-69_140ab,rail,,"plinth rails, reeded band",VISIBLE,1.0,rail.plinth,RANKABLE,proven,yes,,
R247,R247.c,FC-08-69_140ab,rail,,"back rails, plain secondary cherry",VISIBLE,1.0,rail.back_secondary,RANKABLE,proven,yes,,
R415,R415,FC-11-10_125_133,rail,fixed-frame end rails and long side rails,,PARTIALLY VISIBLE,0.5,rail.table_frame,AUDIT_ONLY,unresolved,no,construction,
R361,R361,FC-10-1971_281,rail,NOT STATED,,PARTIALLY VISIBLE,0.5,rail.chest_lock_and_lower,AUDIT_ONLY,unresolved,no,construction,
R115,R115,FC-04-1972_47,rail,,,VISIBLE,1.0,rail.shared_stock_multi_role,RANKABLE,proven,yes,,
R379,R379,FC-10-1984_161,rail,rail / drawer blade,,PARTIALLY VISIBLE,0.5,rail.multi_purpose_unresolved,AUDIT_ONLY,unresolved,no,construction,
R216,R216.c,FC-07-1999_79,rail,,top and bottom rails of the centre section,PARTIALLY VISIBLE,0.5,rail.multi_purpose_unresolved,AUDIT_ONLY,unresolved,no,construction,
R067,R067,FC-03-2011_3,rail,back frame rail,,VISIBLE,1.0,rail.back_frame,RANKABLE,proven,yes,,
R068,R068,FC-03-2011_3,rail,carved frieze / anthemion band,,VISIBLE,1.0,rail.back_frame,RANKABLE,proven,yes,,
R099,R099,FC-03-30_120_59,rail,medial back rail,,VISIBLE,1.0,rail.upholstery_tacking,RANKABLE,proven,yes,,
R338,R338.a,FC-09-1954_151,rail,,bowed-and-serpentine sawn rail form,VISIBLE,1.0,rail.curved_sawn,RANKABLE,proven,yes,,
R339,R339,FC-09-1954_151,rail,,,VISIBLE,1.0,rail.straight_visibility_switched,RANKABLE,proven,yes,,
R146,R146,FC-04-1969_262,rail,rear rail,,VISIBLE,1.0,rail.straight_visibility_switched,RANKABLE,proven,yes,,
R310,R310,FC-09-69_146_1,rail,footboard middle rail (gallery seat rail),,VISIBLE,1.0,rail.gallery_spindle_mortised,RANKABLE,proven,yes,,
R311,R311,FC-09-69_146_1,rail,footboard top rail (gallery cap),,VISIBLE,1.0,rail.gallery_cap,RANKABLE,proven,yes,,
R313,R313,FC-09-69_146_1,rail,headboard gallery top rail,,VISIBLE,1.0,rail.gallery_cap,RANKABLE,proven,yes,,
R309,R309,FC-09-69_146_1,rail,footboard lower rail (inlaid),,VISIBLE,1.0,rail.inlaid_band,RANKABLE,proven,yes,,
R312,R312,FC-09-69_146_1,rail,headboard frieze rail (ribbon-and-flower band),,VISIBLE,1.0,rail.inlaid_band,RANKABLE,proven,yes,,
R308,R308,FC-09-69_146_1,rail,side rail,,VISIBLE,1.0,rail.inlaid_band,RANKABLE,proven,yes,,
R069,R069,FC-03-2011_3,rail,arm,,VISIBLE,1.0,arm.round_reeded_rod,RANKABLE,proven,yes,,
R098,R098,FC-03-30_120_59,rail,shaped arm board / out-scrolled arm,,VISIBLE,1.0,arm.flat_swept_board,RANKABLE,proven,yes,,
R006,R006,FC-01-1999_488,rail,arcaded arm rail,,VISIBLE,1.0,arm.arcaded_assembly,RANKABLE,proven,yes,,
R147,R147,FC-04-1969_262,rail,fly rail / swing rail,,VISIBLE,1.0,flyrail.moving_assembly,RANKABLE,proven,yes,,
R145,R145,FC-04-1969_262,post,swing leg / fly leg,,VISIBLE,1.0,flyrail.moving_assembly,RANKABLE,proven,yes,,
R416,R416,FC-11-10_125_133,rail,"gate upper rail (flat board, swings with the gate)",,VISIBLE,1.0,rail.gate_swinging,RANKABLE,proven,yes,,
R102,R102,FC-03-30_120_59,brace,corner glue blocks,,PARTIALLY VISIBLE,0.5,brace.corner_glue_block,RANKABLE,proven,yes,,
R149,R149,FC-04-1969_262,brace,corner glue block,,PARTIALLY VISIBLE,0.5,brace.corner_glue_block,RANKABLE,proven,yes,,
R293,R293,FC-08-2019_59,brace,,,VISIBLE,1.0,locator.case_base_block,RANKABLE,proven,yes,,
R168,R168,FC-05-69_146_3,brace,brass quadrant stay / lopper arm,,VISIBLE,1.0,stay.metal_quadrant_visible,RANKABLE,proven,yes,,
R341,R341,FC-09-1954_151,brace,,,VISIBLE,1.0,bracket.shaped_sawn_console,RANKABLE,proven,yes,,
R305,R305,FC-09-69_146_1,brace,ogee canopy strut / cyma bracket,,VISIBLE,1.0,bracket.shaped_sawn_console,RANKABLE,proven,yes,,
R010,R010,FC-01-1999_488,brace,"arch-pierced gusset, arm rail to rear stile",,VISIBLE,1.0,bracket.shaped_sawn_console,RANKABLE,proven,yes,,
R370,R370,FC-10-1971_281,brace,cleat / batten,,VISIBLE,1.0,cleat.lid_batten,RANKABLE,proven,yes,,
R387,R387,FC-10-1984_161,brace,lid end cleat / batten,,VISIBLE,1.0,cleat.lid_batten,RANKABLE,proven,yes,,
R103,R103,FC-03-30_120_59,brace,pegged reinforcing plate over rear-leg joint,,VISIBLE,1.0,plate.pegged_repair,RANKABLE,proven,yes,,
R101,R101,FC-03-30_120_59,brace,seat cross braces / medial rail,,VISIBLE,1.0,brace.seat_internal_grid,RANKABLE,proven,yes,,
R197,R197,FC-06-69_146_2,panel frame,frame-and-panel case side / case back,,VISIBLE,1.0,frame.stile_rail_muntin_grid,RANKABLE,proven,yes,,
R362,R362,FC-10-1971_281,panel frame,NOT STATED,,VISIBLE,1.0,frame.stile_rail_muntin_grid,RANKABLE,proven,yes,,
R380,R380,FC-10-1984_161,panel frame,joined frame (stiles + rails + muntins),,PARTIALLY VISIBLE,0.5,frame.stile_rail_muntin_grid,RANKABLE,unresolved,no,construction,
R164,R164,FC-05-69_146_3,panel frame,framed side / framed fall front,,PARTIALLY VISIBLE,0.5,frame.stile_rail_muntin_grid,RANKABLE,unresolved,no,construction,
R272,R272,FC-08-2019_59,panel frame,,,VISIBLE,1.0,frame.stile_rail_muntin_grid,RANKABLE,proven,yes,,
R130,R130,FC-04-1972_47,panel frame,,,VISIBLE,1.0,frame.stile_rail_muntin_grid,RANKABLE,unresolved,no,construction,
R218,R218,FC-07-1999_79,panel frame,,,VISIBLE,1.0,frame.applied_moulded_surround,RANKABLE,proven,yes,,
R316,R316,FC-09-69_146_1,panel frame,moulded panel surround,,VISIBLE,1.0,frame.applied_moulded_surround,RANKABLE,proven,yes,,
R071,R071,FC-03-2011_3,panel frame,,,VISIBLE,1.0,frame.applied_moulded_surround,RANKABLE,proven,yes,,
R030,R030,FC-01-2012_216,panel frame,arm support / sub-arm panel,,VISIBLE,1.0,enclosure.rail_and_bracket,RANKABLE,proven,yes,,
R363,R363,FC-10-1971_281,floating panel,linenfold panel,,VISIBLE,1.0,panel.floating_wood_in_groove,RANKABLE,proven,yes,,groove_stated_by_source
R198,R198,FC-06-69_146_2,floating panel,recessed panel,,VISIBLE,1.0,panel.floating_wood_in_groove,RANKABLE,proven,yes,,frame_and_panel_stated_by_source
R012,R012,FC-01-1999_488,floating panel,upholstered back field (not a wooden panel),,VISIBLE,1.0,panel.upholstered_field,RANKABLE,proven,yes,,
R041,R041,FC-01-2012_216,floating panel,,,VISIBLE,1.0,panel.upholstered_field,RANKABLE,proven,yes,,
R158,R158,FC-05-69_146_3,crest/cornice,cornice moulding under the top,,VISIBLE,1.0,cornice.stacked_profile_run,RANKABLE,proven,yes,,
R190,R190,FC-06-69_146_2,crest/cornice,top moulding under the marble,,VISIBLE,1.0,cornice.stacked_profile_run,RANKABLE,proven,yes,,
R246,R246,FC-08-69_140ab,crest/cornice,cornice,,VISIBLE,1.0,cornice.stacked_profile_run,RANKABLE,proven,yes,,
R282,R282,FC-08-2019_59,crest/cornice,,,VISIBLE,1.0,cornice.stacked_profile_run,RANKABLE,proven,yes,,
R302,R302,FC-09-69_146_1,crest/cornice,tester cornice,,VISIBLE,1.0,cornice.stacked_profile_run,RANKABLE,proven,yes,,
R231,R231.a,FC-07-1999_79,crest/cornice,superstructure,main and upper cornice runs with dentil courses,VISIBLE,1.0,cornice.stacked_profile_run,RANKABLE,proven,yes,,
R070,R070,FC-03-2011_3,crest/cornice,pediment,,VISIBLE,1.0,crest.shaped_sawn_board,RANKABLE,proven,yes,,
R100,R100,FC-03-30_120_59,crest/cornice,serpentine (camel-back) crest rail,,VISIBLE,1.0,crest.shaped_sawn_board,RANKABLE,proven,yes,,
R231,R231.b,FC-07-1999_79,crest/cornice,superstructure,two mirrored ogee-swept shaped boards,VISIBLE,1.0,crest.shaped_sawn_board,RANKABLE,proven,yes,,
R340,R340,FC-09-1954_151,crest/cornice,arched cresting,,VISIBLE,1.0,crest.laminated_curved,RANKABLE,proven,yes,,
R013,R013,FC-01-1999_488,crest/cornice,rolled crest with volute terminals,,VISIBLE,1.0,crest.rolled_carved,RANKABLE,proven,yes,,
R029,R029,FC-01-2012_216,crest/cornice,,,VISIBLE,1.0,crest.bent_moulded_rail,RANKABLE,proven,yes,,
R441,R441,FC-12-2002_298_1,crest/cornice,capital,,VISIBLE,1.0,capital.metal_assembly,RANKABLE,proven,yes,,
R014,R014,FC-01-1999_488,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R081,R081,FC-03-2011_3,moulding run,wave scroll,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R112,R112,FC-04-1972_47,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R155,R155,FC-04-1969_262,moulding run,crossbanded / moulded top edge,,PARTIALLY VISIBLE,0.5,moulding.profile_toolkit,RANKABLE,unresolved,no,construction,
R182,R182,FC-05-69_146_3,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R195,R195,FC-06-69_146_2,moulding run,applied drawer-front surround and reeding,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R232,R232,FC-07-1999_79,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R250,R250,FC-08-69_140ab,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R284,R284,FC-08-2019_59,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R344,R344,FC-09-1954_151,moulding run,,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R365,R365,FC-10-1971_281,moulding run,NOT STATED,,PARTIALLY VISIBLE,0.5,moulding.profile_toolkit,RANKABLE,unresolved,no,construction,
R384,R384,FC-10-1984_161,moulding run,lid-edge thumbnail moulding; base moulding,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R409,R409,FC-11-10_125_133,moulding run,moulded (thumbnail/ovolo) top edge,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R036,R036,FC-01-2012_216,moulding run,reeded band,,VISIBLE,1.0,moulding.profile_toolkit,RANKABLE,proven,yes,,
R319,R319,FC-09-69_146_1,moulding run,bead-and-reel / rosette-chain carved strip,,VISIBLE,1.0,moulding.repeating_cell_run,RANKABLE,proven,yes,,
R433,R433,FC-12-2002_298_1,moulding run,gilt-brass ornamented drum sleeve,,VISIBLE,1.0,moulding.repeating_cell_run,RANKABLE,proven,yes,,
R434,R434,FC-12-2002_298_1,moulding run,gilt astragal / fillet collar ring,,PARTIALLY VISIBLE,0.5,ring.revolved_collar,RANKABLE,proven,yes,quantity,
R435,R435,FC-12-2002_298_1,moulding run,reeded alabaster collar (mid-shaft),,VISIBLE,1.0,collar.cut_in_solid_stone,RANKABLE,proven,yes,,
R078,R078,FC-03-2011_3,repeated ornament master,paterae / rosettes,,VISIBLE,1.0,ornament.placement_system,RANKABLE,proven,yes,,
R079,R079,FC-03-2011_3,repeated ornament master,anthemion / palmette,,VISIBLE,1.0,ornament.placement_system,RANKABLE,proven,yes,,
R383,R383,FC-10-1984_161,repeated ornament master,"applied moulding blocks (chevron, trapezoid, octagon boss, stepped rectangle)",,VISIBLE,1.0,ornament.placement_system,RANKABLE,proven,yes,,
R356,R356,FC-09-1954_151,repeated ornament master,rose garland / swag,,VISIBLE,1.0,ornament.applied_screwed_garland,RANKABLE,proven,yes,,
R364,R364,FC-10-1971_281,repeated ornament master,linenfold carving,,VISIBLE,1.0,ornament.carved_in_solid_face,RANKABLE,proven,yes,,
R184,R184,FC-05-69_146_3,repeated ornament master,marquetry blossom and leaf,,VISIBLE,1.0,ornament.marquetry_motif_set,RANKABLE,proven,yes,,
R211,R211,FC-06-69_146_2,repeated ornament master,marquetry,,VISIBLE,1.0,ornament.marquetry_motif_set,RANKABLE,proven,yes,,
R269,R269,FC-08-69_140ab,repeated ornament master,marquetry,,VISIBLE,1.0,ornament.marquetry_motif_set,RANKABLE,proven,yes,,
R331,R331,FC-09-69_146_1,repeated ornament master,peony blossom and leaf-spray marquetry unit,,VISIBLE,1.0,ornament.marquetry_motif_set,RANKABLE,proven,yes,,
R016,R016,FC-01-1999_488,repeated ornament master,carved lion/grotesque head,,VISIBLE,1.0,bespoke.lion_grotesque_head,RANKABLE,proven,yes,,
R442,R442,FC-12-2002_298_1,repeated ornament master,female mask with pendant necklace,,VISIBLE,1.0,bespoke.female_mask,RANKABLE,proven,yes,view_coverage,
R443,R443,FC-12-2002_298_1,repeated ornament master,corner leonine mask with scroll volute,,VISIBLE,1.0,bespoke.leonine_corner_mask,RANKABLE,proven,yes,view_coverage,
R054,R054,FC-02-67_230,repeated ornament master,"winged sun disk with flanking uraei, carved in low relief and polychromed",,VISIBLE,1.0,bespoke.winged_sun_disk,RANKABLE,unresolved,no,construction,
R056,R056,FC-02-67_230,repeated ornament master,carved overlapping lotus petal on the capital bell,,PARTIALLY VISIBLE,0.5,ornament.radial_petal_array,RANKABLE,unresolved,no,construction,
R187,R187.a,FC-05-69_146_3,repeated ornament master,inlaid urn; inlaid arcade,inlaid urn centrepiece master,VISIBLE,1.0,bespoke.inlaid_urn,RANKABLE,proven,yes,,
R187,R187.b,FC-05-69_146_3,repeated ornament master,inlaid urn; inlaid arcade,inlaid colonnaded arcade master,VISIBLE,1.0,bespoke.inlaid_arcade,RANKABLE,proven,yes,,
R038,R038,FC-01-2012_216,repeated ornament master,anthemion / palmette cartouche,,PARTIALLY VISIBLE,0.5,bespoke.anthemion_cartouche,RANKABLE,unresolved,no,construction,
R153,R153,FC-04-1969_262,inlay path,stringing / line inlay,,VISIBLE,1.0,inlay.linear_stringing_path,RANKABLE,proven,yes,,
R183,R183,FC-05-69_146_3,inlay path,line inlay / stringing,,VISIBLE,1.0,inlay.linear_stringing_path,RANKABLE,proven,yes,,
R210,R210,FC-06-69_146_2,inlay path,line inlay border,,VISIBLE,1.0,inlay.linear_stringing_path,RANKABLE,proven,yes,,
R268,R268,FC-08-69_140ab,inlay path,line inlay / stringing,,VISIBLE,1.0,inlay.linear_stringing_path,RANKABLE,proven,yes,,
R113,R113,FC-04-1972_47,inlay path,"brass, mother-of-pearl and abalone inlay",,VISIBLE,1.0,inlay.linear_stringing_path,RANKABLE,proven,yes,,
R329,R329,FC-09-69_146_1,inlay path,marquetry border band (linear),,VISIBLE,1.0,inlay.linear_stringing_path,RANKABLE,proven,yes,,
R057,R057,FC-02-67_230,inlay path,"painted line, zigzag and dot banding (painted, NOT inlaid)",,VISIBLE,1.0,inlay.painted_line_path,RANKABLE,proven,yes,,
R235,R235,FC-07-1999_79,inlay path,"painted and gilded line-work — the medium field states painted and gilded surface, not inlay",,VISIBLE,1.0,inlay.painted_line_path,RANKABLE,proven,yes,,
R437,R437,FC-12-2002_298_1,inlay path,engraved (incised and filled) ornament,,VISIBLE,1.0,inlay.engraved_filled_line,RANKABLE,proven,yes,quantity,
R035,R035,FC-01-2012_216,inlay path,,,VISIBLE,1.0,inlay.node_punctuation,RANKABLE,proven,yes,,
R330,R330,FC-09-69_146_1,inlay path,framed rosette square (circular/rotational cell),,VISIBLE,1.0,inlay.node_punctuation,RANKABLE,proven,yes,,
R296,R296,FC-08-2019_59,inlay path,,,VISIBLE,1.0,inlay.repeated_cell_run,RANKABLE,proven,yes,,
R105,R105.a,FC-03-30_120_59,foot,claw-and-ball foot,"claw-and-ball carved foot, three front legs",VISIBLE,1.0,bespoke.claw_and_ball_foot,RANKABLE,proven,yes,,
R137,R137.a,FC-04-1972_47,foot,paw foot,carved hairy paw with acanthus knuckle,VISIBLE,1.0,bespoke.paw_foot,RANKABLE,proven,yes,,
R055,R055,FC-02-67_230,repeated ornament master,"painted lotus blossom alternating with pointed bud, in a row along the short rails",,VISIBLE,1.0,ornament.painted_repeating_row,RANKABLE,proven,yes,,
R017,R017,FC-01-1999_488,repeated ornament master,spiral volute,,VISIBLE,1.0,relief.spiral_volute,RANKABLE,proven,yes,,
R080,R080,FC-03-2011_3,repeated ornament master,pendant palmette,,VISIBLE,1.0,relief.pendant_palmette,RANKABLE,proven,yes,,
R106,R106,FC-03-30_120_59,repeated ornament master,carved acanthus / rocaille knee ornament,,VISIBLE,1.0,relief.knee_acanthus_rocaille,RANKABLE,proven,yes,,
R185,R185,FC-05-69_146_3,repeated ornament master,carved roundel,,VISIBLE,1.0,relief.carved_roundel,RANKABLE,proven,yes,,
R234,R234.a,FC-07-1999_79,repeated ornament master,carved and gilded festoon / anthemion / dentil,upright acanthus/anthemion capital master,VISIBLE,1.0,relief.anthemion_capital,RANKABLE,proven,yes,,
