row_uid,candidate_id,broad_component,family_or_status,evidence_class,evidence_weight,family_host_interface,family_joint_schedule
R072,FC-03-2011_3,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,panel.floating_wood_in_groove: inferred from type. The row records a carved show face and 'a plain UNGILDED board with a visible horizontal glue joint' - a glue
R131,FC-04-1972_47,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,panel: inferred from type - no groove or frame evidence in the row.
R219,FC-07-1999_79,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,"panel: inferred from type. 'Flat, flush, unornamented fields sitting inside the reeded margins' describes APPLIED margins, which is not a groove."
R317,FC-09-69_146_1,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,"panel: inferred from type - the row records the marquetry, not the edge."
R165,FC-05-69_146_3,floating panel,QUARANTINED (construction),PARTIALLY VISIBLE,0.5,held out,"panel: unresolved. 'recess depth' is recorded, the capture is not."
R318,FC-09-69_146_1,floating panel,QUARANTINED (construction),PARTIALLY VISIBLE,0.5,held out,panel: unresolved. 'whether bays are flush or recessed' is open.
R273,FC-08-2019_59,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,"panel.floating_wood_in_groove, final audit: companion row R272 proves frame layout, panel-opening count and peg pattern - never the concealed groove or the floa"
R381,FC-10-1984_161,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,"panel.floating_wood_in_groove, final audit: companion row R380 records 'joined frame (stiles + rails + muntins)' and whether ornament is applied - frame layout "
R249,FC-08-69_140ab,floating panel,QUARANTINED (construction),VISIBLE,1.0,held out,"panel: unresolved, and its own frame row (R248) states the case-side construction 'cannot be settled'. Admitting the panel would decide by the back door what th"
R005,FC-01-1999_488,rail,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R018,FC-01-1999_488,upholstery webbing,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R045,FC-01-2012_216,rail,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R046,FC-01-2012_216,upholstery webbing,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R047,FC-01-2012_216,brace,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R052.b,FC-02-67_230,rail,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R053,FC-02-67_230,brace,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R062,FC-02-67_230,upholstery webbing,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R083,FC-03-2011_3,upholstery webbing,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R107,FC-03-30_120_59,upholstery webbing,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R118,FC-04-1972_47,drawer side,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R119,FC-04-1972_47,drawer bottom,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R120,FC-04-1972_47,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R121,FC-04-1972_47,guide,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R122,FC-04-1972_47,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R123,FC-04-1972_47,lock/escutcheon,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R139,FC-04-1972_47,brace,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R140,FC-04-1972_47,back board,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R141,FC-04-1972_47,castor,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R152,FC-04-1969_262,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R160.b,FC-05-69_146_3,rear leg/stile,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R167,FC-05-69_146_3,hinge leaf,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R170,FC-05-69_146_3,drawer side,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R171,FC-05-69_146_3,drawer bottom,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R172,FC-05-69_146_3,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R173,FC-05-69_146_3,guide,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R174,FC-05-69_146_3,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R188,FC-05-69_146_3,back board,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R193.b,FC-06-69_146_2,foot,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R214.b,FC-07-1999_79,rear leg/stile,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R225,FC-07-1999_79,drawer side,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R226,FC-07-1999_79,drawer bottom,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R227,FC-07-1999_79,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R228,FC-07-1999_79,guide,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R229,FC-07-1999_79,hinge leaf,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R238,FC-07-1999_79,side board,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R241,FC-07-1999_79,brace,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R253,FC-08-69_140ab,drawer side,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R254,FC-08-69_140ab,drawer bottom,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R255,FC-08-69_140ab,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R256,FC-08-69_140ab,guide,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R257,FC-08-69_140ab,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R291,FC-08-2019_59,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R298,FC-08-2019_59,wedge/key,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R322.b,FC-09-69_146_1,foot,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R325,FC-09-69_146_1,strap/band,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R326,FC-09-69_146_1,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R327,FC-09-69_146_1,textile support,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R328,FC-09-69_146_1,back board,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R337,FC-09-1954_151,foot,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R347,FC-09-1954_151,padding mass,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R348,FC-09-1954_151,upholstery webbing,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R351,FC-09-1954_151,wedge/key,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R388,FC-10-1984_161,hinge leaf,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R393,FC-10-1984_161,pintle,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R394,FC-10-1984_161,shelf,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R401,FC-10-1984_161,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R402,FC-10-1984_161,guide,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R403,FC-10-1984_161,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R405.b,FC-10-1984_161,foot,UNASSIGNED - zero-weight evidence,NOT DETERMINABLE,0.0,n/a,n/a
R421,FC-11-10_125_133,drawer side,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R422,FC-11-10_125_133,drawer bottom,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R423,FC-11-10_125_133,runner,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R424,FC-11-10_125_133,guide,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R425,FC-11-10_125_133,fixed stop,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R426,FC-11-10_125_133,pintle,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
R446,FC-12-2002_298_1,brace,UNASSIGNED - zero-weight evidence,INFERRED FROM TYPE,0.0,n/a,n/a
