# key|task|given TeX|setup|wrong setup|result|wrong result|wrong result|explanation|independent check
topic_0016|Find the missing dimension in a short exact sequence of finite-dimensional vector spaces.|0\to\mathbb R^2\to V\to\mathbb R^3\to0|\dim V=2+3|\dim V=3-2|5|1|6|Exactness makes the kernel two-dimensional and the image three-dimensional.|2+3==5
topic_0017|Find the degree of the field extension over the rationals.|K=\mathbb Q(\sqrt2)|\{1,\sqrt2\}\text{ is a basis}|\{1,\sqrt2,2\}\text{ is a basis}|[K:\mathbb Q]=2|[K:\mathbb Q]=3|[K:\mathbb Q]=1|The minimal polynomial x squared minus 2 has degree 2 and is irreducible over the rationals.|irreducible('x**2-2')
topic_0018|A functor preserves composition. Complete the displayed image.|A\xrightarrow{f}B\xrightarrow{g}C|F(g\circ f)=F(g)\circ F(f)|F(g\circ f)=F(f)\circ F(g)|F(A)\to F(C)|F(C)\to F(A)|F(B)\to F(A)|The composite starts at A and ends at C; applying the functor preserves those endpoints.|rule:functor_composition
topic_0019|Find the nilradical of the integers modulo 4.|R=\mathbb Z/4\mathbb Z|[2]^2=[0]|[1]^2=[0]|\{[0],[2]\}|\{[0]\}|R|The nilradical consists of the nilpotent elements; 1 and 3 have no zero power.|nilpotents(4)==[0,2]
topic_0020|Find a section of the projection in this split exact sequence.|0\to\mathbb R\to\mathbb R^2\xrightarrow{p}\mathbb R\to0,\quad p(x,y)=y|s(t)=(0,t)|s(t)=(t,0)|p\circ s=\operatorname{id}_{\mathbb R}|p\circ s=0|s\circ p=\operatorname{id}_{\mathbb R^2}|A section is a right inverse of the projection.|matmul([[0,1]],[[0],[1]])==[[1]]
topic_0021|Compute H at the middle term, using H=kernel/image.|\mathbb R\xrightarrow{0}\mathbb R\xrightarrow{0}\mathbb R|H=\mathbb R/\{0\}|H=\{0\}/\mathbb R|H\cong\mathbb R|H=0|H\cong\mathbb R^2|The outgoing zero map has the entire middle space as kernel; the incoming image is zero.|1-0==1
topic_0022|Find the number of simple factors in this composition series.|0\subset2\mathbb Z/4\mathbb Z\subset\mathbb Z/4\mathbb Z|\lvert2\mathbb Z/4\mathbb Z\rvert=2|\lvert2\mathbb Z/4\mathbb Z\rvert=4|2|1|4|Both successive quotients have order 2 and are simple modules over the integers.|4//2==2 and 2//1==2
topic_0023|For the representable functor Hom(A,-) in finite sets, count the elements at B.|\lvert A\rvert=2,\quad\lvert B\rvert=3|\lvert\operatorname{Hom}(A,B)\rvert=3^2|\lvert\operatorname{Hom}(A,B)\rvert=2^3|9|8|6|Each of the two inputs independently chooses one of three outputs.|3**2==9
topic_0024|Count compatible pairs in this pullback of finite sets.|f(a)=0\ (a=1,2),\quad g(b)=0\ (b=3,4,5)|\{(a,b):f(a)=g(b)\}=\{1,2\}\times\{3,4,5\}|\{(a,b):f(a)=g(b)\}=\varnothing|6|5|0|Every pair has equal images; the pullback is the full Cartesian product.|2*3==6
topic_0025|Find the dimensions of the associated graded pieces of this filtration.|0=F_0\subset F_1\subset F_2=\mathbb R^3,\quad\dim F_1=1|\dim(F_i/F_{i-1})=\dim F_i-\dim F_{i-1}|\dim(F_i/F_{i-1})=\dim F_i+\dim F_{i-1}|(1,2)|(1,3)|(0,3)|Associated graded pieces record the new dimensions added at each stage.|(1-0,3-1)==(1,2)
topic_0026|Find the missing space in the long exact cohomology sequence at degree zero.|0\to\mathbb R\xrightarrow{\operatorname{id}}\mathbb R\to H^0(C)\to0|H^0(C)=\mathbb R/\operatorname{im}(\operatorname{id})|H^0(C)=\mathbb R/\{0\}|0|\mathbb R|\mathbb R^2|The identity is surjective, so exactness forces the following cohomology group to vanish.|1-1==0
topic_0027|A triangulated quotient kills every object of the chosen subcategory S. What happens to this object?|X\in S,\quad Q:T\to T/S|Q(X)\cong0|Q(X)\cong X\ne0|\operatorname{id}_{Q(X)}=0|\operatorname{id}_{Q(X)}=1\ne0|Q(X)\notin T/S|In the quotient X becomes a zero object, whose identity is the zero morphism.|rule:verdier_zero
topic_0028|Abelianization quotients a group by its commutator subgroup. Compute it here.|G=\mathbb Z/3\mathbb Z\text{ under addition}|[G,G]=\{0\}|[G,G]=G|G/[G,G]\cong\mathbb Z/3\mathbb Z|G/[G,G]=0|G/[G,G]\cong\mathbb Z|This group already commutes, so every commutator is the identity.|all((a+b)%3==(b+a)%3 for a in range(3) for b in range(3))
topic_0029|Find H0 of the one-element Koszul complex over the integers.|0\to\mathbb Z\xrightarrow{\times2}\mathbb Z\to0|H_0=\mathbb Z/2\mathbb Z|H_0=\ker(\times2)|\lvert H_0\rvert=2|\lvert H_0\rvert=0|\lvert H_0\rvert=1|At degree zero the homology is the cokernel of multiplication by 2.|len({n%2 for n in range(6)})==2
topic_0001_sub_01|Find the intersection.|A=\{1,2,3\},\quad B=\{2,3,4\}|\{x:x\in A\text{ and }x\in B\}|\{x:x\in A\text{ or }x\in B\}|\{2,3\}|\{1,2,3,4\}|\{1,4\}|An intersection keeps only elements belonging to both sets.|{1,2,3}&{2,3,4}=={2,3}
topic_0001_sub_02|Find the order of 2 in the additive group modulo 6.|k[2]=[0]\text{ in }\mathbb Z/6\mathbb Z|2k\equiv0\pmod6|k+2\equiv0\pmod6|3|2|6|The first positive multiple of 2 divisible by 6 is 6.|order_additive(2,6)==3
topic_0001_sub_03|Apply distributivity in the integers modulo 5.|[2]([3]+[4])|[6]+[8]|[6][8]|[4]|[3]|[2]|Both expressions reduce to 14 modulo 5.|(2*(3+4))%5==4
topic_0001_sub_04|Find the multiplicative inverse of 3 in the field with 7 elements.|3a\equiv1\pmod7|3a=1+7k|3+a=1+7k|a=5|a=4|a=2|The product 15 has remainder 1 modulo 7.|3*5%7==1
topic_0002_sub_01|Choose the smallest listed number set containing the given number.|\frac{3}{2}|\frac{3}{2}=1.5|\frac{3}{2}=1|\mathbb Q|\mathbb Z|\mathbb N|The number is rational and is not an integer.|Fraction(3,2).denominator==2
topic_0002_sub_02|Find the greatest common divisor.|\gcd(28,20)|28=20+8,\quad20=2\cdot8+4|28=20+6,\quad20=3\cdot6+2|4|2|8|The last nonzero Euclidean remainder is 4.|gcd(28,20)==4
topic_0002_sub_03|Reduce to the least nonnegative residue.|23\pmod7|23=3\cdot7+2|23=2\cdot7+3|2|3|7|The remainder must lie between 0 and 6 inclusive.|23%7==2
topic_0003_sub_01|Find both real roots.|x^2=16|x=\pm\sqrt{16}|x=16/2|\{-4,4\}|\{4\}|\{-8,8\}|Both a number and its negative have the same square.|roots('x**2-16')==[-4,4]
topic_0003_sub_02|Find the image of the finite set under f.|f(x)=x^2,\quad A=\{-2,0,2\}|f(A)=\{4,0,4\}|f(A)=\{-4,0,4\}|\{0,4\}|\{-4,0,4\}|\{0,2\}|Repeated outputs appear only once in the image set.|{x*x for x in [-2,0,2]}=={0,4}
topic_0003_sub_03|Find the equivalence class of 1 modulo 3 among the listed integers.|A=\{0,1,2,3,4,5\},\quad a\sim b\iff3\mid(a-b)|[1]=\{a\in A:a\equiv1\pmod3\}|[1]=\{a\in A:a\equiv0\pmod3\}|\{1,4\}|\{0,3\}|\{1,3,5\}|Elements of the class have remainder 1 on division by 3.|{a for a in range(6) if a%3==1}=={1,4}
topic_0004_sub_01|Collect like terms.|(2x^2+x)+(3x^2-4x)|5x^2+(1-4)x|6x^4-4x^2|5x^2-3x|5x^2+5x|6x^4-4x^2|Add coefficients only when their powers of x match.|poly('(2*x**2+x)+(3*x**2-4*x)','5*x**2-3*x')
topic_0004_sub_02|Find the degree and leading coefficient.|p(x)=4-2x+7x^3|p(x)=7x^3-2x+4|p(x)=4x^3-2x+7|(3,7)|(7,3)|(0,4)|The highest nonzero power is 3 and its coefficient is 7.|degree_lc('4-2*x+7*x**3')==(3,7)
topic_0004_sub_03|Factor by taking out the greatest common monomial.|6x^2+9x|3x(2x+3)|3x(2x+9)|3x(2x+3)|3(2x+3)|x(6x+3)|Both original terms contain 3x as a factor.|poly('6*x**2+9*x','3*x*(2*x+3)')
topic_0004_sub_04|Simplify while retaining the original domain restriction.|\frac{x^2-1}{x-1},\quad x\ne1|\frac{(x-1)(x+1)}{x-1}|\frac{(x-1)^2}{x-1}|x+1,\ x\ne1|x-1,\ x\ne1|x+1,\ x\in\mathbb R|Cancel the nonzero common factor; the excluded input stays excluded.|poly('x**2-1','(x-1)*(x+1)')
topic_0005_sub_01|Find all real solutions.|\lvert x\rvert=3|x=3\text{ or }x=-3|x=3\text{ and }x=-3|\{-3,3\}|\{3\}|\varnothing|Two points are distance 3 from zero.|abs(-3)==abs(3)==3
topic_0005_sub_02|Find the AM-GM lower bound for the sum of two positive numbers with this product.|a>0,\ b>0,\quad ab=9|a+b\ge2\sqrt{ab}|a+b\ge\sqrt{ab}|6|3|9|AM-GM gives 6, attained when a=b=3.|2*sqrt(9)==6
topic_0006_sub_01|Apply the transposition to the element 2.|\tau=(1\ 2)\text{ in }S_3|1\leftrightarrow2,\quad3\to3|2\leftrightarrow3,\quad1\to1|\tau(2)=1|\tau(2)=2|\tau(2)=3|A transposition swaps the two named elements and fixes all others.|[2,1,3][1]==1
topic_0006_sub_02|Find the orbit under rotation by a quarter turn about the origin.|v=(1,0),\quad R(x,y)=(-y,x)|v\to(0,1)\to(-1,0)\to(0,-1)\to v|v\to(0,1)\to v|\lvert\operatorname{Orb}(v)\rvert=4|\lvert\operatorname{Orb}(v)\rvert=2|\lvert\operatorname{Orb}(v)\rvert=1|Four quarter turns return to the initial vector.|rotation_orbit((1,0))==4
topic_0007_sub_01|Complete the parity contradiction: can the square of an odd integer be even?|n=2k+1,\quad k\in\mathbb Z|n^2=2(2k^2+2k)+1|n^2=2(2k^2+2k)|n^2\text{ is odd}|n^2\text{ is even}|n^2=0|Expanding leaves an odd remainder of 1, contradicting the proposed even square.|poly('(2*k+1)**2','2*(2*k**2+2*k)+1')
topic_0007_sub_02|Evaluate the composition.|f(x)=x^2,\quad g(x)=x-1,\quad(g\circ f)(3)|g(9)|f(2)|8|4|9|Function composition applies the rightmost function first.|3**2-1==8
