rule_id,rule_group,subject,element,value,unit,value_m,conflict_group,rule_type,source_id,ref,evidence_class,verified_full_res,quote
RL015,bay_module,"Bay spacing measured by the author — Roman building, Bailgate","bay spacing, pillar centre to centre",14 ft 6 in,ft in,4.420,,rule,addy1898,n103 (printed 69),measured,no,"The author has measured the bays of the great Roman building lately found in Bailgate, on the west side of Lincoln Cathedral, and found them, when measured from the centre of each pillar, 14 ft. 6 in. apart."
RL016,bay_module,Bay spacing measured by the author — parish churches,bay spacing,15 ft,ft (about),4.572,,rule,addy1898,n103 (printed 69),author-estimate,no,He has also measured the bays of a few churches and found them about fifteen feet apart. In cathedrals they are much wider.
RL017,unit_system,Welsh Laws — yoke lengths (the unit the bay derives from),field yoke,8 ft,ft,2.438,,rule,addy1898,n245 (printed 211),author-rule,no,"According to the Welsh Laws there were 8 feet in the field yoke and 16 feet in the long yoke. (i. 187.) ""There are sixteen feet in the length of the long yoke."" (i. 539.) ""Sexdecim pedes et dimidium iugum faciunt longum, id est, hyryeu."" (ii. 784.) ""Pedes XV. et dimidium faciunt longum jugum."" (ii. 852.) [CONFLICT: the four citations give the LONG yoke as 16, 16 1/2 and 15 1/2 feet. Addy prints all of them without resolving them. All four rows are recorded; do not average them.]"
RL018,unit_system,Welsh Laws — yoke lengths (the unit the bay derives from),"long yoke (Welsh Laws i.187, i.539)",16 ft,ft,4.877,long-yoke,rule,addy1898,n245 (printed 211),author-rule,no,"According to the Welsh Laws there were 8 feet in the field yoke and 16 feet in the long yoke. (i. 187.) ""There are sixteen feet in the length of the long yoke."" (i. 539.) ""Sexdecim pedes et dimidium iugum faciunt longum, id est, hyryeu."" (ii. 784.) ""Pedes XV. et dimidium faciunt longum jugum."" (ii. 852.) [CONFLICT: the four citations give the LONG yoke as 16, 16 1/2 and 15 1/2 feet. Addy prints all of them without resolving them. All four rows are recorded; do not average them.]"
RL019,unit_system,Welsh Laws — yoke lengths (the unit the bay derives from),long yoke (Welsh Laws ii.784),16 ft 6 in,ft in (= 16 1/2 ft),5.029,long-yoke,rule,addy1898,n245 (printed 211),author-rule,no,"According to the Welsh Laws there were 8 feet in the field yoke and 16 feet in the long yoke. (i. 187.) ""There are sixteen feet in the length of the long yoke."" (i. 539.) ""Sexdecim pedes et dimidium iugum faciunt longum, id est, hyryeu."" (ii. 784.) ""Pedes XV. et dimidium faciunt longum jugum."" (ii. 852.) [CONFLICT: the four citations give the LONG yoke as 16, 16 1/2 and 15 1/2 feet. Addy prints all of them without resolving them. All four rows are recorded; do not average them.]"
RL020,unit_system,Welsh Laws — yoke lengths (the unit the bay derives from),long yoke (Welsh Laws ii.852),15 ft 6 in,ft in (= 15 1/2 ft),4.724,long-yoke,rule,addy1898,n245 (printed 211),author-rule,no,"According to the Welsh Laws there were 8 feet in the field yoke and 16 feet in the long yoke. (i. 187.) ""There are sixteen feet in the length of the long yoke."" (i. 539.) ""Sexdecim pedes et dimidium iugum faciunt longum, id est, hyryeu."" (ii. 784.) ""Pedes XV. et dimidium faciunt longum jugum."" (ii. 852.) [CONFLICT: the four citations give the LONG yoke as 16, 16 1/2 and 15 1/2 feet. Addy prints all of them without resolving them. All four rows are recorded; do not average them.]"
RL021,bay_module,Cow-house (domus vaccariae) at Felsa,internal length,80 ft,ft (= 5 bays of 16 ft),24.384,,rule,addy1898,n245 (printed 211),documentary-survey,no,"1396-9. ""In vaccaria insuper de Felsa unam novam domum vaccariae, lxxx pedum in longitudine; fecit de novo aedificari."" Chron. Monast. de Melsa (Rolls Series), iii. 242. This was exactly 5 bays of 16 feet each."
RL022,bay_module,"Berchary (sheep-house), Meaux Abbey estate",internal length,160 ft,ft (= 10 bays of 16 ft),48.768,,rule,addy1898,n245 (printed 211),documentary-survey,no,"On the next page we have a berchary 160 feet, i.e., ten bays, in length."
RL023,stair,Newland pairing table (Gwilt para 2178a),tread 5 in pairs with riser,9.0,in,0.229,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL024,stair,Newland pairing table (Gwilt para 2178a),tread 6 in pairs with riser,8.5,in,0.216,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL025,stair,Newland pairing table (Gwilt para 2178a),tread 7 in pairs with riser,8.0,in,0.203,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL026,stair,Newland pairing table (Gwilt para 2178a),tread 8 in pairs with riser,7.5,in,0.191,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL027,stair,Newland pairing table (Gwilt para 2178a),tread 9 in pairs with riser,7.0,in,0.178,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL028,stair,Newland pairing table (Gwilt para 2178a),tread 10 in pairs with riser,6.5,in,0.165,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL029,stair,Newland pairing table (Gwilt para 2178a),tread 11 in pairs with riser,6.0,in,0.152,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL030,stair,Newland pairing table (Gwilt para 2178a),tread 12 in pairs with riser,5.5,in,0.140,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL031,stair,Newland pairing table (Gwilt para 2178a),tread 13 in pairs with riser,5.0,in,0.127,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL032,stair,Newland pairing table (Gwilt para 2178a),tread 14 in pairs with riser,4.5,in,0.114,gwilt-stair-pitch,rule,gwilt,"Gwilt, Encyclopaedia of Architecture, printed p.668 (IA encyclopaediaofa00gwil image leaf n689)",author-rule,see source ref,"Set down two sets of numbers, each in arithmetical progression ; the first set showing the width of the steps, ascending by inches, the other showing the height of the riser, descending by half-inches (Newland, Carpenter's and Joiner's Assistant, 1860, p.197)  [TABLE VERIFIED AT FULL RESOLUTION]"
RL033,stair,Gwilt constant-product rule (para 2177),tread x riser product,66,in^2,,gwilt-stair-pitch,rule,gwilt,Gwilt p.668,author-rule,see source ref,"Thus 12 x 5 1/2 = 66, which would be a constant numerator for the proportion"
RL034,stair,Gwilt constant-product rule (para 2177),datum pair: 12 in tread with,5.5,in,0.140,gwilt-stair-pitch,rule,gwilt,Gwilt p.668,author-rule,see source ref,the convenient rise of a step 12 inches in width is 5 1/2 inches
RL035,stair,"tread breadth, commonest staircase","tread breadth, medium",10,in,0.254,,rule,gwilt,Gwilt p.668,author-rule,see source ref,The breadth of steps in the commonest staircase may be taken at 10 inches at a medium
RL036,stair,"tread breadth, best staircases","tread breadth, minimum",12,in,0.305,,rule,gwilt,Gwilt p.668,author-rule,see source ref,In the best staircases the breadth of the step should not be less than 12 inches
RL037,stair,"tread breadth, best staircases","tread breadth, maximum",18,in,0.457,,rule,gwilt,Gwilt p.668,author-rule,see source ref,neither should it be more than 18 inches
RL038,stair,staircase width (para 2179),"clear width, minimum, for two people to pass",4,ft,1.219,,rule,gwilt,Gwilt p.668,author-rule,see source ref,"The width of the better sorts of staircases should not be less than 4 feet, to allow of two persons freely passing each other"
RL039,stair,solid step from round timber (para 2180a),log diameter yielding six steps,30,in,0.762,,rule,gwilt,Gwilt p.668,measured,see source ref,"the mode of getting six steps out of round timber 30 inches in diameter, being a saving of about ten per cent"
RL040,stair,riser count rule (para 2178),"if the division is inexact, ADD a riser rather than drop one",n/a,rule,,,rule,gwilt,Gwilt p.668,author-rule,see source ref,"If the height divided by the rise of each step should not give an exact number of risers, it is better to add one rather than diminish the number"
RL041,stair,Palladio staircase (Gwilt para 2804),"clear width, minimum",4 Vicentine ft (= 4 ft 6 in English),ft,1.382,,rule,gwilt,Gwilt p.928,author-rule,see source ref,"they ought never to be narrower than 4 feet (4 feet 6 inches English), so that two persons meeting on the stairs may conveniently pass each other   [The Vicentine foot is about 13.6 inches English - GWILT'S OWN FOOTNOTE]"
RL042,stair,Palladio staircase (Gwilt para 2804),plan proportion: length to breadth,2 : 1,ratio,,,rule,gwilt,Gwilt p.928,author-rule,see source ref,"Therefore, they must be twice as long as broad"
RL043,stair,Palladio staircase (Gwilt para 2804),"riser, maximum",6 Vicentine in,in,0.173,,rule,gwilt,Gwilt p.928,author-rule,see source ref,The steps ought not to exceed 6 inches in height ... (These are Vicentine inches.)
RL044,stair,Palladio staircase (Gwilt para 2804),"riser, minimum",4 Vicentine in,in,0.115,,rule,gwilt,Gwilt p.928,author-rule,see source ref,but they must never be lower than 4 inches. (These are Vicentine inches.)
RL045,stair,Palladio staircase (Gwilt para 2804),"tread, minimum",1 Vicentine ft,ft,0.345,,rule,gwilt,Gwilt p.928,author-rule,see source ref,The breadth of the steps ought not to be less than a foot
RL046,stair,Palladio staircase (Gwilt para 2804),"tread, maximum",1.5 Vicentine ft,ft,0.518,,rule,gwilt,Gwilt p.928,author-rule,see source ref,nor more than a foot and a half
RL047,stair,Palladio staircase (Gwilt para 2804),"steps per flight before a half-pace, maximum",11 to 13,count,,,rule,gwilt,Gwilt p.928,author-rule,see source ref,It will be sufficient to put eleven or thirteen steps at most to a flight before coming to a half-pace
RL048,stair,Palladio staircase (Gwilt para 2804),"step count parity: ODD, so the ascent ends on the starting foot",n/a,rule,,,rule,gwilt,Gwilt p.928,author-rule,see source ref,"The ancients used to make the steps of an odd number, that thus beginning to ascend with the right foot, they might end with the same foot"
RL049,stair,headway (Gwilt para 2805),clear vertical from any step to the soffit above,tallest person with his hat on,rule,,,rule,gwilt,Gwilt p.928,author-rule,see source ref,"a clear distance measured vertically from any step, quarter, half-pace, or landing, to the underside of the ceiling ... so as to allow the tallest person to clear it with his hat on"
RL050,window,glazing subdivision rule (XIIIc),maximum clear glass between mullions,1.00,m,1.000,,rule,viollet,"Dictionnaire, Fenêtre",author-rule,n/a (text source),"il ne fallait pas laisser plus d’un mètre environ de vide entre les meneaux, à moins d’être entraîné à placer des montants en fer"
RL051,window,glazing subdivision rule (XIIIc),glazing bay interval driving mullion count,3 pieds (0.97 m),m,,,rule,viollet,"Dictionnaire, Fenêtre",author-rule,n/a (text source),autant de montants verticaux de pierre qu’il y avait d’intervalles de trois pieds de large à garnir de vitraux
RL052,window,mullion progression (PARAMETRIC),2 m window -> 1 mullion,2.00,m,2.000,,rule,viollet,"Dictionnaire, Fenêtre",author-rule,n/a (text source),"Soit une fenêtre de deux mètres de large à vitrer, l’architecte pose un meneau (21)"
RL053,window,mullion progression (PARAMETRIC),4 m window -> 1 principal + 2 secondary,4.00,m,4.000,,rule,viollet,"Dictionnaire, Fenêtre",author-rule,n/a (text source),"Soit de quatre mètres, il pose un meneau principal et deux meneaux secondaires (22)"
RL054,window,mullion progression (PARAMETRIC),8 m window -> 1 principal + 2 secondary + 4 tertiary,8.00,m,8.000,,rule,viollet,"Dictionnaire, Fenêtre",author-rule,n/a (text source),"Soit de huit mètres, il pose un meneau principal, deux meneaux secondaires et quatre tertiaires (23)"
RL055,window,casement operability limit,sash height beyond which a casement is unwieldy,3.00 to 4.00,m,,,rule,viollet,"Dictionnaire, Fenêtre",author-rule,n/a (text source),"il est assez incommode d’ouvrir un châssis de trois ou quatre mètres de hauteur, difficile souvent à manœuvrer"
RL056,bridge,timber pile bridge (medieval),"pile row spacing, axis to axis",12.00,m,12.000,,rule,viollet,"Dictionnaire, Pont",author-rule,n/a (text source),"des piles de trois rangs de pieux espacés de 12 m ,00 d’axe en axe"
RL057,bridge,timber pile bridge (medieval),pile head height above water,2.00,m,2.000,,rule,viollet,"Dictionnaire, Pont",author-rule,n/a (text source),"la tête de ces pieux, ne s’élevant pas à plus de 2 m ,00 au-dessus du niveau de l’eau"
RL058,bridge,Villard de Honnecourt timber bridge,timber length available,20 pieds (6.50 m),m,,,rule,viollet,"Dictionnaire, Pont",author-rule,n/a (text source),Villard de Honnecourt donne le croquis d’un pont fait avec des bois de vingt pieds
RL059,bridge,Villard de Honnecourt timber bridge,deck span achievable from 20-ft timbers,50 pieds (16.24 m),m,,,rule,viollet,"Dictionnaire, Pont",author-rule,n/a (text source),"en ne prenant ... que des bois de 20 pieds, on peut avoir facilement un tablier de 50 pieds de long, parfaitement rigide"
RL060,fortification,"merlon, XIIIc formula",merlon height,2.00,m,2.000,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"Les merlons ont 2 mètres de haut sur 1 m , 70 au moins, et 3 m , 30 au plus de largeur sur 0,45 c. d’épaisseur"
RL061,fortification,"merlon, XIIIc formula","merlon width, minimum",1.70,m,1.700,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"sur 1 m , 70 au moins ... de largeur"
RL062,fortification,"merlon, XIIIc formula","merlon width, maximum",3.30,m,3.300,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"et 3 m , 30 au plus de largeur"
RL063,fortification,"merlon, XIIIc formula",merlon thickness,0.45,m,0.450,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"sur 0,45 c. d’épaisseur"
RL064,fortification,"crenel, XIIIc formula",crenel sill height above the wall-walk,1.00,m,1.000,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),l’appui des créneaux est à 1 mètre du sol du chemin de ronde
RL065,fortification,"crenel, XIIIc formula",crenel width,0.70,m,0.700,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"et leur largeur est de 0,70 c.   [RECOVERED cycle 36 - same sentence as the sill height, dropped on the first pass]"
RL066,fortification,"crenel, general rule",merlon height,2.00,m,2.000,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"les merlons ont toujours à peu près deux mètres de hauteur, pour pouvoir garantir complètement les défenseurs"
RL067,fortification,"crenel, general rule",crenel sill height above the wall-walk,1.00,m,1.000,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),les appuis des créneaux sont à un mètre du sol du chemin de ronde
RL068,fortification,"crenel, general rule",crenel width range,0.70 to 1.00,m,,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"et leur largeur varie d’un mètre, à soixante-dix centimètres"
RL069,fortification,"crenellation, sizing principle",crenellation dimensions are set by the human body,n/a,rule,,,rule,viollet,"Dictionnaire, Créneau",author-rule,n/a (text source),"Les dimensions des crénelages étant données par la taille de l’homme, ces dimensions varient peu"
RL070,joinery_weathering,"Ellis, sash windows","window sill throat, minimum width",1/4 in,in,0.00635,,rule,ellis1902,n141 (printed 124),author-rule,yes,"To be effective the Throat (see Fig. 404) should not be less than 1/4 in. wide, but its depth is of less importance."
RL071,joinery_weathering,"Ellis, sash windows","sill water bar, width",1 in,in,0.02540,,rule,ellis1902,n141 (printed 124),author-rule,yes,"Sills should be grooved at the bottom to receive a water bar of 1 in. by 3/16 in. galvanised iron, bedded with white lead in a similar groove in the stone sill."
RL072,joinery_weathering,"Ellis, sash windows","sill water bar, thickness",3/16 in,in,0.00476,,rule,ellis1902,n141 (printed 124),author-rule,yes,"Sills should be grooved at the bottom to receive a water bar of 1 in. by 3/16 in. galvanised iron, bedded with white lead in a similar groove in the stone sill."
RL073,joinery_weathering,"Ellis, sash windows",sill bench allowance beyond the frame face,1/8 in,in,0.00317,,rule,ellis1902,n141 (printed 124),author-rule,yes,"The sill should always be left from the bench 1/8 in. wider than the rest of the frame on the outside, to compensate for its greater shrinkage."
RL074,joinery_weathering,"Ellis, sash windows",pulley-stile sinking below the sill weathering,1/4 in,in,0.00635,,rule,ellis1902,n141 (printed 124),author-rule,yes,"This sinking, which should be made as small as possible, consistent with providing for sufficient substance in the wedge to drive without breaking, is taken down until it is 1/4 in. below the weathering at the outer edge, as shown in the sketch, Fig. 409."
RL075,material_table,masonry strength table,crushing/shearing strengths per material tier,(table: 11 data rows),,,,table_pointer,manifests,masonry_strength_v1.tsv,see table,see table,
RL076,material_table,timber roof scantlings,"measured member sections per church roof, with spans and truss spacing",(table: 62 data rows),,,,table_pointer,manifests,timber_roof_scantlings_v2.tsv,see table,see table,
RL077,material_table,Paley moulding profiles (parametric),"compass-and-square profile constructions, already parametric via moulding_profile.py",(parametric file),,,,table_pointer,manifests,moulding_profiles_v1.json,see table,see table,
