entry_id,source_id,leaf,printed_page,figure_no,caption,topic_tags,section_keyword_in_caption,dimensioned,priority,status
S031,ellis1902,n117,read off page (offset drifts),321,"Detail of Upper Part of Stiles, AA SSS AE PN) VESTIBULE DOORS",sash_window;glazing;shutter;door;frame_general,yes,unknown,1,MAPPED
S032,ellis1902,n118,read off page (offset drifts),324,Method of Cutting Out Diminished Stiles,door;frame_general;moulding,yes,unknown,2,MAPPED
S033,ellis1902,n121,read off page (offset drifts),328,Elevation,door;frame_general;moulding,yes,unknown,2,MAPPED
S034,ellis1902,n121,read off page (offset drifts),329,Section,door;frame_general;moulding,yes,unknown,2,MAPPED
S035,ellis1902,n121,read off page (offset drifts),334,Elevation,door;frame_general;moulding,yes,unknown,2,MAPPED
S036,ellis1902,n121,read off page (offset drifts),335,Section,door;frame_general;moulding,yes,unknown,2,MAPPED
S037,ellis1902,n124,read off page (offset drifts),337,Method of Marking Joint in Capping of Screen Doors,door,yes,unknown,2,MAPPED
S038,ellis1902,n125,read off page (offset drifts),338,Elevation,door;moulding;stair,yes,unknown,2,MAPPED
S039,ellis1902,n125,read off page (offset drifts),339,Section on C D,door;moulding;stair,yes,unknown,2,MAPPED
S040,ellis1902,n125,read off page (offset drifts),340,Elevation,door;moulding;stair,yes,unknown,2,MAPPED
S041,ellis1902,n125,read off page (offset drifts),341,Section,door;moulding;stair,yes,unknown,2,MAPPED
S042,ellis1902,n125,read off page (offset drifts),342,Elevation,door;moulding;stair,yes,unknown,2,MAPPED
S043,ellis1902,n125,read off page (offset drifts),343,Section,door;moulding;stair,yes,unknown,2,MAPPED
S044,ellis1902,n125,read off page (offset drifts),345,Detail of Stile,door;moulding;stair,yes,unknown,2,MAPPED
S045,ellis1902,n127,read off page (offset drifts),346,Elevation,sash_window;glazing;door;moulding,yes,unknown,1,MAPPED
S046,ellis1902,n127,read off page (offset drifts),347,Detail Section,sash_window;glazing;door;moulding,yes,unknown,1,MAPPED
S047,ellis1902,n127,read off page (offset drifts),348,Elevation,sash_window;glazing;door;moulding,yes,unknown,1,MAPPED
S048,ellis1902,n127,read off page (offset drifts),349,Section,sash_window;glazing;door;moulding,yes,unknown,1,MAPPED
S049,ellis1902,n127,read off page (offset drifts),350,Half Plans above and below Lock Rail,sash_window;glazing;door;moulding,no,unknown,1,MAPPED
S050,ellis1902,n127,read off page (offset drifts),351,Height and Width Rod of a Door,sash_window;glazing;door;moulding,no,unknown,1,MAPPED
S051,ellis1902,n131,read off page (offset drifts),355,Elevation,door;frame_general;stair,yes,unknown,2,MAPPED
S052,ellis1902,n131,read off page (offset drifts),357,Plug in Foot of Jamb,door;frame_general;stair,no,unknown,2,MAPPED
S053,ellis1902,n131,read off page (offset drifts),358,Iron Shoe for Foot of Jamb,door;frame_general;stair,no,unknown,2,MAPPED
S054,ellis1902,n131,read off page (offset drifts),359,Elevation,door;frame_general;stair,yes,unknown,2,MAPPED
S055,ellis1902,n133,read off page (offset drifts),68,Edge View,door;frame_general,no,unknown,2,MAPPED
S056,ellis1902,n133,read off page (offset drifts),369,Section,door;frame_general,yes,unknown,2,MAPPED
S057,ellis1902,n134,read off page (offset drifts),377,End of a Jamb Lining showing Tongues,door;frame_general,no,unknown,2,MAPPED
S058,ellis1902,n134,read off page (offset drifts),378,Section through Jamb of a Double Framed Lining,door;frame_general,yes,unknown,2,MAPPED
S059,ellis1902,n134,read off page (offset drifts),379,Section through Soffit of a Double Framed Lining,door;frame_general,yes,unknown,2,MAPPED
S060,ellis1902,n134,read off page (offset drifts),381,Sketch of a Set of Skeleton Lining,door;frame_general,yes,unknown,2,MAPPED
S061,ellis1902,n136,read off page (offset drifts),388,"Framed Architrave Method of Arranging Grounds, and Grounds",shutter;door;frame_general,yes,unknown,1,MAPPED
S062,ellis1902,n136,read off page (offset drifts),390,Face of Mitre,shutter;door;frame_general,no,unknown,1,MAPPED
S063,ellis1902,n139,read off page (offset drifts),396,Inside Elevation,sash_window;casement;skylight;frame_general;moulding;roof,yes,unknown,1,MAPPED
S064,ellis1902,n139,read off page (offset drifts),397,Vertical Section,sash_window;casement;skylight;frame_general;moulding;roof,yes,unknown,1,MAPPED
S065,ellis1902,n139,read off page (offset drifts),398,Horizontal Section,sash_window;casement;skylight;frame_general;moulding;roof,yes,unknown,1,MAPPED
S066,ellis1902,n139,read off page (offset drifts),454,SOLID FRAMES include Casement Frames (Fig,sash_window;casement;skylight;frame_general;moulding;roof,no,unknown,1,MAPPED
S067,ellis1902,n141,read off page (offset drifts),419,Constructive Memoranda,sash_window;skylight;door;frame_general;roof,no,unknown,1,VERIFIED-LEAF
S068,ellis1902,n141,read off page (offset drifts),399,Enlarged Detail of Fig,sash_window;skylight;door;frame_general;roof,yes,unknown,1,VERIFIED-LEAF
S069,ellis1902,n142,read off page (offset drifts),403,"Part Vertical Section of Frame, Fig",sash_window;frame_general,yes,unknown,1,MAPPED
S070,ellis1902,n142,read off page (offset drifts),404,"Part Vertical Section of Frame, Fig",sash_window;frame_general,yes,unknown,1,MAPPED
S071,ellis1902,n142,read off page (offset drifts),406,Two Methods of Cutting Pockets,sash_window;frame_general,yes,unknown,1,MAPPED
S072,ellis1902,n142,read off page (offset drifts),407,Joint in Head of Sash Frame,sash_window;frame_general,yes,unknown,1,MAPPED
S073,ellis1902,n142,read off page (offset drifts),409,End of Oak Sill showing Sinkings,sash_window;frame_general,no,unknown,1,MAPPED
S074,ellis1902,n142,read off page (offset drifts),409,More than this is unnecessary,sash_window;frame_general,no,unknown,1,MAPPED
S075,ellis1902,n145,read off page (offset drifts),413,Stop Mitre in Bead,sash_window;frame_general;moulding,no,unknown,1,MAPPED
S076,ellis1902,n145,read off page (offset drifts),414,Method of Haunching Sashes,sash_window;frame_general;moulding,yes,unknown,1,MAPPED
S077,ellis1902,n145,read off page (offset drifts),415,Section of Bevelled Meeting Rails,sash_window;frame_general;moulding,yes,unknown,1,MAPPED
S078,ellis1902,n145,read off page (offset drifts),416,Side Elevation of Fig,sash_window;frame_general;moulding,yes,unknown,1,MAPPED
S079,ellis1902,n146,read off page (offset drifts),418,Section of Rebated Meeting Rails,sash_window;frame_general,yes,unknown,1,MAPPED
S080,ellis1902,n147,read off page (offset drifts),422,Sections of Stiles,sash_window;casement;frame_general,yes,unknown,1,MAPPED
S081,ellis1902,n149,read off page (offset drifts),423,Broken Vertical Section of a Double Window,sash_window;frame_general;stair,yes,unknown,1,MAPPED
S082,ellis1902,n150,read off page (offset drifts),425,Method of Tenoning Rail in Segment Sash,sash_window;frame_general;moulding,yes,unknown,1,MAPPED
S083,ellis1902,n150,read off page (offset drifts),431,Section,sash_window;frame_general;moulding,yes,unknown,1,MAPPED
S084,ellis1902,n150,read off page (offset drifts),438,Details of Venetian Frame,sash_window;frame_general;moulding,yes,unknown,1,MAPPED
S085,ellis1902,n152,read off page (offset drifts),443,SectiononcD,sash_window;casement;frame_general,yes,unknown,1,MAPPED
S086,ellis1902,n154,read off page (offset drifts),449,Sketch of Adams Patent Water Bar for Inward Opening Casements,sash_window;casement;door;frame_general;moulding,yes,unknown,1,MAPPED
S087,ellis1902,n154,read off page (offset drifts),450,Section of Casement Fitted with Janus Bolt,sash_window;casement;door;frame_general;moulding,yes,unknown,1,MAPPED
S088,ellis1902,n154,read off page (offset drifts),451,Method of Making Joint at Sill in Outward Opening Casements,sash_window;casement;door;frame_general;moulding,yes,unknown,1,MAPPED
S089,ellis1902,n159,read off page (offset drifts),456,Elevation and Section of a Pivot Hung Sash,sash_window;casement;shutter;frame_general;roof,yes,unknown,1,MAPPED
S090,ellis1902,n159,read off page (offset drifts),457,Method of Finding Cuts in Bead,sash_window;casement;shutter;frame_general;roof,yes,unknown,1,MAPPED
S091,ellis1902,n160,read off page (offset drifts),458,View of Slotted Bead ina can be at any angle greater than that made Pivoted Sash,sash_window;frame_general,no,unknown,1,MAPPED
S092,ellis1902,n162,read off page (offset drifts),459,Section,sash_window;door;frame_general,yes,unknown,1,MAPPED
S093,ellis1902,n162,read off page (offset drifts),460,Elevation,sash_window;door;frame_general,yes,unknown,1,MAPPED
S094,ellis1902,n162,read off page (offset drifts),461,Detail of Pivot Joint,sash_window;door;frame_general,yes,unknown,1,MAPPED
S095,ellis1902,n164,read off page (offset drifts),462,Detail of Pivot,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S096,ellis1902,n164,read off page (offset drifts),463,Elevation,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S097,ellis1902,n164,read off page (offset drifts),464,Vertical Section,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S098,ellis1902,n164,read off page (offset drifts),465,Horizontal Section,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S099,ellis1902,n164,read off page (offset drifts),466,Elevation,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S100,ellis1902,n164,read off page (offset drifts),467,Vertical Section,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S101,ellis1902,n164,read off page (offset drifts),469,Joint at Bottom of Sash,sash_window;casement;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S102,ellis1902,n164,read off page (offset drifts),470,Metal Shoe,sash_window;casement;skylight;glazing;frame_general;roof,no,unknown,1,MAPPED
S103,ellis1902,n165,read off page (offset drifts),474,Inte SKYLIGHTS,sash_window;skylight;glazing;frame_general;roof,no,unknown,1,MAPPED
S104,ellis1902,n165,read off page (offset drifts),475,Section of a Skylight,sash_window;skylight;glazing;frame_general;roof,yes,unknown,1,MAPPED
S105,ellis1902,n166,read off page (offset drifts),476,Plan of a Skylight,skylight;roof,yes,unknown,1,MAPPED
S106,ellis1902,n173,read off page (offset drifts),478,Half Inside and Half Outside Elevations,skylight;roof,yes,unknown,1,MAPPED
S107,ellis1902,n173,read off page (offset drifts),479,Half Horizontal Section and Half Plan of Roof,skylight;roof,yes,unknown,1,MAPPED
S108,ellis1902,n173,read off page (offset drifts),482,Enlarged Details,skylight;roof,yes,unknown,1,MAPPED
S109,ellis1902,n173,read off page (offset drifts),491,Diagrams for obtaining Bevels and Sections,skylight;roof,yes,unknown,1,MAPPED
S110,ellis1902,n175,read off page (offset drifts),495,Plan of Boxing Shutters in Square Opening,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S111,ellis1902,n175,read off page (offset drifts),497,Plan of Boxing Shutters in Splayed pening,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S112,ellis1902,n175,read off page (offset drifts),498,Section of Lifting Shutters,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S113,ellis1902,n175,read off page (offset drifts),499,Plan of Lifting Shutters,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S114,ellis1902,n178,read off page (offset drifts),500,Detail of Shutter Connections,shutter,yes,unknown,1,MAPPED
S115,ellis1902,n178,read off page (offset drifts),501,Section of Spring Shutter in Shop Front,shutter,yes,unknown,1,MAPPED
S116,ellis1902,n178,read off page (offset drifts),502,Channel Iron for Shutters,shutter,no,unknown,1,MAPPED
S117,ellis1902,n179,read off page (offset drifts),593,Section of an Inside Revolving Spring Shutter,shutter,yes,unknown,1,MAPPED
S118,ellis1902,n180,read off page (offset drifts),504,Outside Lifting or Shop Shutters are shown in elevation in Fig,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S119,ellis1902,n180,read off page (offset drifts),506,Wrought-iron angle shoes are fitted to the corners to prevent wear,sash_window;shutter;frame_general,no,unknown,1,MAPPED
S120,ellis1902,n180,read off page (offset drifts),505,Elevation of Two Shutters,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S121,ellis1902,n180,read off page (offset drifts),509,Elevation of a Venetian Shutter,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S122,ellis1902,n180,read off page (offset drifts),507,Method of Fixing at Head,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S123,ellis1902,n180,read off page (offset drifts),510,Section of a Venetian Shutter,sash_window;shutter;frame_general,yes,unknown,1,MAPPED
S124,ellis1902,n180,read off page (offset drifts),508,Fixing Studs for Bottom,sash_window;shutter;frame_general,no,unknown,1,MAPPED
S125,ellis1902,n184,read off page (offset drifts),518,Shop Front with Lifting Sash,sash_window;glazing;shutter;frame_general;moulding;roof,no,unknown,1,MAPPED
S126,ellis1902,n190,read off page (offset drifts),162,SHOP FITTINGS AND BYE-LAWS,glazing;shutter;door,no,unknown,1,MAPPED
S127,ellis1902,n192,read off page (offset drifts),537,Sections,glazing;door;frame_general,yes,unknown,1,MAPPED
S128,ellis1902,n192,read off page (offset drifts),539,Back Elevation,glazing;door;frame_general,yes,unknown,1,MAPPED
S129,ellis1902,n192,read off page (offset drifts),546,Sketches of Joints,glazing;door;frame_general,yes,unknown,1,MAPPED
S130,ellis1902,n195,read off page (offset drifts),547,Elevation,glazing;door;frame_general,yes,unknown,1,MAPPED
S131,ellis1902,n195,read off page (offset drifts),548,Section,glazing;door;frame_general,yes,unknown,1,MAPPED
S132,ellis1902,n195,read off page (offset drifts),50,Enlarged Detail,glazing;door;frame_general,yes,unknown,1,MAPPED
S133,ellis1902,n195,read off page (offset drifts),551,Enlarged Section of Fig,glazing;door;frame_general,yes,unknown,1,MAPPED
S134,ellis1902,n195,read off page (offset drifts),552,Section of Top of Case,glazing;door;frame_general,yes,unknown,1,MAPPED
S135,ellis1902,n195,read off page (offset drifts),553,Section of Bottom of Case,glazing;door;frame_general,yes,unknown,1,MAPPED
S136,ellis1902,n195,read off page (offset drifts),554,Corner Standard,glazing;door;frame_general,no,unknown,1,MAPPED
S137,ellis1902,n195,read off page (offset drifts),555,Elevation of Cornice,glazing;door;frame_general,yes,unknown,1,MAPPED
S138,ellis1902,n212,read off page (offset drifts),596,"Elevations, Section, and Details of a Museum Centre Floor Case",sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S139,ellis1902,n212,read off page (offset drifts),602,"Detail Section of Top of Case, of Top Sash of Floor Case",sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S140,ellis1902,n212,read off page (offset drifts),598,Bolt for Fastening Floor Case,sash_window;glazing;door;frame_general,no,unknown,1,MAPPED
S141,ellis1902,n212,read off page (offset drifts),601,"Enlarged Section through Side of Case, Fig",sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S142,ellis1902,n212,read off page (offset drifts),599,Sectional Elevation,sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S143,ellis1902,n212,read off page (offset drifts),603,Side View and Section of Drawers,sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S144,ellis1902,n212,read off page (offset drifts),604,Joint in Air-tight Covers,sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S145,ellis1902,n212,read off page (offset drifts),605,Enlarged Section of Drawer Front,sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S146,ellis1902,n212,read off page (offset drifts),606,Detail Sections of a Large Wall Case,sash_window;glazing;door;frame_general,yes,unknown,1,MAPPED
S147,ellis1902,n214,read off page (offset drifts),5,"Design for a Wall Case for a Public Library, with Details",door;moulding,yes,unknown,2,MAPPED
S148,ellis1902,n218,read off page (offset drifts),617,"Elevation and Details of a Parclose Screen at Geddington Church, Northants",door;moulding,yes,unknown,2,MAPPED
S149,ellis1902,n218,read off page (offset drifts),618,"Chancel Stalls, Lavenham Church, Suffolk",door;moulding,no,unknown,2,MAPPED
S150,ellis1902,n222,read off page (offset drifts),619,"PULPIT, HENRY VII",door;frame_general,no,unknown,2,MAPPED
S151,ellis1902,n222,read off page (offset drifts),620,"PLAN, SECTIONAL ELEVATION, AND DETAILS OF A MODERN PULPIT",door;frame_general,yes,unknown,2,MAPPED
S152,ellis1902,n227,read off page (offset drifts),629,Method of Staving a Veneer on a Cylinder,sash_window;door;frame_general;stair,yes,unknown,1,MAPPED
S153,ellis1902,n228,read off page (offset drifts),634,Marking Plan Curves on Head of Circle on Circle Frame,door;frame_general;moulding;stair,yes,unknown,2,MAPPED
S154,ellis1902,n228,read off page (offset drifts),635,View of Edge of Frame when marked,door;frame_general;moulding;stair,no,unknown,2,MAPPED
S155,ellis1902,n231,read off page (offset drifts),636,"Fix,a block in the centre of this equal in height to the head at the crown",sash_window;frame_general;moulding,no,unknown,1,MAPPED
S156,ellis1902,n234,read off page (offset drifts),639,"Transfer the divisions as they occur, and erect perpendiculars thereon",sash_window;frame_general;moulding,no,unknown,1,MAPPED
S157,ellis1902,n322,read off page (offset drifts),859,GOTHIC MOULDINGS,casement;moulding,no,unknown,1,MAPPED
S158,ellis1902,n322,read off page (offset drifts),854,Early English,casement;moulding,no,unknown,1,MAPPED
S159,ellis1902,n322,read off page (offset drifts),859,Decorated,casement;moulding,no,unknown,1,MAPPED
S160,ellis1902,n322,read off page (offset drifts),861,Double Ogee,casement;moulding,no,unknown,1,MAPPED
S161,ellis1902,n322,read off page (offset drifts),865,"Gothic Mouldings, Perpendicular",casement;moulding,no,unknown,1,MAPPED
S162,ellis1902,n330,read off page (offset drifts),898,Method of Obtaining Section of Curved of Different Widihs,sash_window;moulding,yes,unknown,1,MAPPED
S163,ellis1902,n330,read off page (offset drifts),7,Draw lines from these points parallel to the edges to intersect the mitre line,sash_window;moulding,no,unknown,1,MAPPED
S164,ellis1902,n330,read off page (offset drifts),899,Method of Obtaining Curved Mitre between Straight and Curved Mouldings,sash_window;moulding,yes,unknown,1,MAPPED
S165,ellis1902,n334,read off page (offset drifts),64,Chamfer Stops,sash_window;door;frame_general;moulding,no,unknown,1,MAPPED
S166,ellis1902,n334,read off page (offset drifts),2,Proceed to chip away the core between groove No,sash_window;door;frame_general;moulding,no,unknown,1,MAPPED
S167,ellis1902,n344,read off page (offset drifts),928,Method of Labelling Rods,sash_window;skylight;door;frame_general;roof,yes,unknown,1,MAPPED
S168,ellis1902,n344,read off page (offset drifts),490,What is Required on a Rod,sash_window;skylight;door;frame_general;roof,no,unknown,1,MAPPED
S169,ellis1902,n349,read off page (offset drifts),937,Method of Fitting a Door,door;frame_general;moulding,yes,unknown,2,MAPPED
S170,ellis1902,n350,read off page (offset drifts),939,Open Joint Hanging,door;moulding,yes,unknown,2,MAPPED
S171,ellis1902,n351,read off page (offset drifts),941,Marking Hinges,door;moulding,no,unknown,2,MAPPED
S172,ellis1902,n351,read off page (offset drifts),942,Marking Hinge for Sinking,door;moulding,no,unknown,2,MAPPED
S173,ellis1902,n351,read off page (offset drifts),943,Scribing a Hinge,door;moulding,no,unknown,2,MAPPED
S174,ellis1902,n351,read off page (offset drifts),942,"Remove the door, and square in the end lines of the hinges on the rebate",door;moulding,no,unknown,2,MAPPED
S175,ellis1902,n352,read off page (offset drifts),942,VE bead must be arranged to be of NE same,door;moulding,no,unknown,2,MAPPED
S176,ellis1902,n352,read off page (offset drifts),944,Turn one screw in each hinge TS and close them,door;moulding,no,unknown,2,MAPPED
S177,ellis1902,n352,read off page (offset drifts),944,Method of Close Joint Hanging,door;moulding,yes,unknown,2,MAPPED
S178,ellis1902,n352,read off page (offset drifts),945,Edge of Stile showing Mortise,door;moulding,no,unknown,2,MAPPED
S179,ellis1902,n352,read off page (offset drifts),946,Section of Stile Place the lock upon the showing Hole in Under Edge of Rail,door;moulding,yes,unknown,2,MAPPED
S180,ellis1902,n352,read off page (offset drifts),947,Outline’ of face of the door flush Lock on Door,door;moulding,no,unknown,2,MAPPED
S181,ellis1902,n352,read off page (offset drifts),948,Edge of Door with Face Plate,door;moulding,no,unknown,2,MAPPED
S182,ellis1902,n355,read off page (offset drifts),949,Plain Mitre,sash_window;shutter;frame_general,no,unknown,1,MAPPED
S183,ellis1902,n355,read off page (offset drifts),950,Dovetail Mitre,sash_window;shutter;frame_general,no,unknown,1,MAPPED
S184,ellis1902,n382,read off page (offset drifts),295,ANGLE BEAD,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S185,ellis1902,n382,read off page (offset drifts),707,APRON LINING,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S186,ellis1902,n382,read off page (offset drifts),218,GLOSSARY,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S187,ellis1902,n384,read off page (offset drifts),21,BLOCKS,shutter;door;frame_general;moulding,no,unknown,1,MAPPED
S188,ellis1902,n384,read off page (offset drifts),39,Box STAPLE,shutter;door;frame_general;moulding,no,unknown,1,MAPPED
S189,ellis1902,n384,read off page (offset drifts),254,BRacrE,shutter;door;frame_general;moulding,no,unknown,1,MAPPED
S190,ellis1902,n385,read off page (offset drifts),20,BRACKET,sash_window;casement;door;frame_general;moulding;stair,no,unknown,1,MAPPED
S191,ellis1902,n385,read off page (offset drifts),247,BraAvD,sash_window;casement;door;frame_general;moulding;stair,no,unknown,1,MAPPED
S192,ellis1902,n385,read off page (offset drifts),141,BULLNOSE,sash_window;casement;door;frame_general;moulding;stair,no,unknown,1,MAPPED
S193,ellis1902,n385,read off page (offset drifts),15,Butt JOINT,sash_window;casement;door;frame_general;moulding;stair,yes,unknown,1,MAPPED
S194,ellis1902,n386,read off page (offset drifts),285,CEILING JOISTS,sash_window;skylight;shutter;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S195,ellis1902,n386,read off page (offset drifts),184,CHANNEL IRON,sash_window;skylight;shutter;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S196,ellis1902,n386,read off page (offset drifts),18,CIRCLE ON CIRCLE,sash_window;skylight;shutter;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S197,ellis1902,n386,read off page (offset drifts),12,Compass SAw,sash_window;skylight;shutter;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S198,ellis1902,n387,read off page (offset drifts),331,CorBEL,sash_window;glazing;shutter;door;frame_general;moulding;roof,no,unknown,1,MAPPED
S199,ellis1902,n387,read off page (offset drifts),30,CRAMPING UpP,sash_window;glazing;shutter;door;frame_general;moulding;roof,no,unknown,1,MAPPED
S200,ellis1902,n387,read off page (offset drifts),285,CROSS-GRAIN,sash_window;glazing;shutter;door;frame_general;moulding;roof,no,unknown,1,MAPPED
S201,ellis1902,n387,read off page (offset drifts),238,Cut Sturr,sash_window;glazing;shutter;door;frame_general;moulding;roof,no,unknown,1,MAPPED
S202,ellis1902,n388,read off page (offset drifts),77,DoAaTINESS,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S203,ellis1902,n388,read off page (offset drifts),122,Doe’s-TOOTH ORNAMENT,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S204,ellis1902,n388,read off page (offset drifts),471,DOUBLE-MARGIN Door,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S205,ellis1902,n388,read off page (offset drifts),96,DOUBLE FLooR,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S206,ellis1902,n388,read off page (offset drifts),237,DOVETAIL Kry,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S207,ellis1902,n388,read off page (offset drifts),334,DRaw- BORE PIN,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S208,ellis1902,n388,read off page (offset drifts),75,DRAWER LOCK CHISEL,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S209,ellis1902,n388,read off page (offset drifts),52,DRAWING BOARD,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S210,ellis1902,n388,read off page (offset drifts),667,DRESSED STUFF,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S211,ellis1902,n388,read off page (offset drifts),621,Drum CurB,sash_window;door;frame_general;moulding;stair;roof,no,unknown,1,MAPPED
S212,ellis1902,n389,read off page (offset drifts),125,Face MouLp,sash_window;casement;door;frame_general;moulding;roof,no,unknown,1,MAPPED
