candidate_id,v1_component,v2_recipe_family,v1_reuse_class,v2_reuse_class,evidence_class,correction_reason
FC-04-1969_262,rail,rail.moving_fly,parameterized_recipe,bespoke,VISIBLE,reclassified to bespoke: construction cannot honestly be produced by any family here.
FC-04-1969_262,rail,rail.moving_fly,parameterized_recipe,bespoke,VISIBLE,reclassified to bespoke: construction cannot honestly be produced by any family here.
FC-04-1969_262,inlay path,inlay.linear_stringing_path,shared_profile,parameterized_recipe,VISIBLE,
FC-04-1969_262,foot,foot.integral_stile_termination,exact_donor,assembly_grammar,PARTIALLY VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-05-69_146_3,rear leg/stile,stile.continuous_leg_and_stile,parameterized_recipe,assembly_grammar,PARTIALLY VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-05-69_146_3,foot,foot.turned_separate,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-05-69_146_3,brace,brace.metal_stay,shared_profile,bespoke,VISIBLE,reclassified to bespoke: construction cannot honestly be produced by any family here.
FC-05-69_146_3,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-05-69_146_3,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-05-69_146_3,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-05-69_146_3,repeated ornament master,ornament.marquetry_motif_set,bespoke,parameterized_recipe,VISIBLE,
FC-06-69_146_2,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-07-1999_79,rear leg/stile,stile.continuous_leg_and_stile,exact_donor,assembly_grammar,PARTIALLY VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-07-1999_79,rail,rail.drawer_divider,assembly_grammar,parameterized_recipe,PARTIALLY VISIBLE,
FC-07-1999_79,panel frame,frame.applied_moulded_surround,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-07-1999_79,crest/cornice,cornice.stacked_fillet_moulding,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-07-1999_79,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-07-1999_79,inlay path,inlay.linear_stringing_path,shared_profile,parameterized_recipe,VISIBLE,
FC-07-1999_79,foot,foot.block,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-08-69_140ab,foot,foot.integral_stile_termination,parameterized_recipe,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-08-69_140ab,crest/cornice,cornice.stacked_fillet_moulding,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-08-69_140ab,panel frame,frame.stile_rail_muntin_grid,parameterized_recipe,assembly_grammar,PARTIALLY VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-08-69_140ab,inlay path,inlay.linear_stringing_path,shared_profile,parameterized_recipe,VISIBLE,
FC-08-69_140ab,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-08-2019_59,crest/cornice,cornice.stacked_fillet_moulding,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-09-69_146_1,crest/cornice,cornice.stacked_fillet_moulding,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-09-69_146_1,crest/cornice,cornice.stacked_fillet_moulding,exact_donor,shared_profile,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to shared_profile: only the authored section/path is shared."
FC-09-69_146_1,moulding run,moulding.repeating_cell_run,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-69_146_1,foot,foot.turned_separate,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-69_146_1,inlay path,inlay.node_and_cell_punctuation,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-69_146_1,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-69_146_1,repeated ornament master,ornament.marquetry_motif_set,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-1954_151,post,post.bed_stacked_block,parameterized_recipe,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-09-1954_151,rear leg/stile,stile.separate_rear_leg,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-1954_151,foot,foot.turned_separate,shared_profile,parameterized_recipe,INFERRED FROM TYPE,
FC-09-1954_151,crest/cornice,crest.shaped_sawn_board,parameterized_recipe,shared_profile,VISIBLE,reclassified to shared_profile: only the authored section/path is shared.
FC-09-1954_151,moulding run,moulding.repeating_cell_run,exact_donor,parameterized_recipe,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
FC-09-1954_151,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-09-1954_151,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-09-1954_151,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-10-1971_281,rear leg/stile,stile.continuous_leg_and_stile,parameterized_recipe,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-10-1971_281,foot,foot.integral_stile_termination,shared_profile,assembly_grammar,VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-10-1984_161,rear leg/stile,stile.continuous_leg_and_stile,parameterized_recipe,assembly_grammar,PARTIALLY VISIBLE,"reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-10-1984_161,repeated ornament master,ornament.instanced_relief_master,exact_donor,assembly_grammar,VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with. reclassified to assembly_grammar: what is shared is the RELATIONSHIP between members, not the member geometry."
FC-10-1984_161,foot,foot.turned_separate,exact_donor,parameterized_recipe,PARTIALLY VISIBLE,"v1 'exact donor' cannot stand: the strict test requires compatible silhouette, section, topology, JOINTS, INTERFACES and editability against an existing donor. No geometry donor exists in the library to be compatible with."
