recipe_family,parent_broad_category,member_candidates,member_count,inferred_only_members,evidence_classes_present,invariant_construction,permitted_variation_axes,joints_and_interfaces,incompatible_excluded,proposed_reuse_class,sinc_donor_candidate,objects_unlocked,unresolved_blockers
rail.seat_frame,rail,FC-01-1999_488; FC-03-2011_3; FC-03-30_120_5,3,FC-01-2012_216,NOT DETERMINABLE; PARTIALLY VISIBLE; VISIBLE,Four rails tenoned into legs/posts forming a CLOSED rectangle that carries upholstery. Front and side rails may be show faces; the rear rail is routinely secondary wood.,length and depth per side; show vs secondary finish per rail (2011.3 proves the rear rail differs from the front on the SAME object); whether the lower edge is straight or cut to an apron profile; peg count,"mortise-and-tenon, pinned with round pegs (30.120.59 visible); corner glue blocks inside","rail.drawer_divider (spans a case, not a seat); rail.frame_and_panel (grooved for panels)",parameterized_recipe,AUDIT_REQUIRED - none,"armchair, settee, stool",FC-01-1999_488 rear seat rail is NOT DETERMINABLE - no rear or underside view exists. FC-01-2012_216 seat rails are INFERRED FROM TYPE and carry zero production weight.
rail.drawer_divider,rail,FC-05-69_146_3; FC-06-69_146_2; FC-10-1984_161; FC-07-1999_79,4,,PARTIALLY VISIBLE; VISIBLE,"A horizontal blade spanning the case front between corner posts or partitions, separating drawer openings. Front edge carries a reed or moulding; count drives drawer count.",count (drives drawer count); length; height; front-edge profile; whether grooved for bottom boards or mortised for a lock,tenoned into corner posts and interior partitions,rail.seat_frame; rail.frame_and_panel,parameterized_recipe,AUDIT_REQUIRED - none,"chest of drawers, desk, sideboard, chest",runner/guide/stop geometry behind the blade never visible on any member
rail.frame_and_panel,rail,FC-08-2019_59; FC-10-1971_281; FC-08-69_140ab,3,,PARTIALLY VISIBLE; VISIBLE,"Upper and lower rails GROOVED on the inner edge to receive a floating panel, tenoned to stiles and muntins. The groove is the defining feature.",length; width; how many panel openings the rail spans; groove depth,"mortise-and-tenon to stiles, pegged; groove for panel",rail.seat_frame (no groove); rail.drawer_divider (no groove),parameterized_recipe,"AUDIT_REQUIRED - structural_oak_door_v1 is a MATERIAL asset, not a frame-and-panel geometry donor; do not treat the name as evidence","wardrobe, chest, cabinet, desk",groove depth not directly measurable in any published view
rail.swept_show_wood_arm,rail,FC-01-2012_216; FC-03-30_120_5; FC-03-2011_3; FC-01-1999_488,4,,INFERRED FROM TYPE; NOT DETERMINABLE; PARTIALLY VISIBLE; VISIBLE,"A single continuous compound-curved member forming the arm. Sawn from a board or bent; its silhouette is a 3D curve, not a straight extrusion.","sweep curve; whether it terminates in a scroll, a ram's head or an arcade; arch count in lockstep with spindle count (1999.488); section (round reeded rod vs flat board)","into the back frame at one end, onto the arm post at the other",all straight rail families,shared_profile,AUDIT_REQUIRED - none,"armchair, settee",none material - well photographed across four members
rail.bed_side,rail,FC-09-1954_151; FC-09-69_146_1,2,,VISIBLE,"A long rail spanning head to foot post, thick, sawn from a wide board; may be bowed in plan and serpentine in elevation. Structural core is bare wood with ornament applied.",length (227 cm on 69.146.1); height; bow amount in plan; count of moulding members on top and bottom edges; ornament applied vs plain,bed-bolt or hook into the posts (never visible in any view),"rail.seat_frame (short, closed rectangle)",parameterized_recipe,AUDIT_REQUIRED - none,bedstead,the post-to-rail fixing is the single most important unresolved joint in the corpus
rail.gallery_cap,rail,FC-09-69_146_1,1,,VISIBLE,"Small-section rail mortised at a regular pitch to receive a spindle gallery above it, or capping that gallery.",length; mortise pitch for the spindles; whether the face carries a bead run,mortised for spindles; tenoned to posts,all load-bearing rail families,parameterized_recipe,AUDIT_REQUIRED - none,bedstead; would extend to settee and cabinet galleries,single-object family (three rails on one bed)
rail.moving_fly,rail,FC-04-1969_262,1,,VISIBLE,"A rail that PIVOTS, swinging out to carry a fly leg and support a leaf. Requires a hinge/knuckle interface absent from every other rail family.",swing length; depth; pivot offset from the rail end,knuckle joint or pivot pin at one end,"every fixed rail family - the moving interface is a construction difference, not a parameter",bespoke,AUDIT_REQUIRED - none,side table (game table); would extend to any drop-leaf,knuckle geometry not resolvable; alt7 shows it extended but not the joint
stile.continuous_leg_and_stile,rear leg/stile,FC-03-30_120_5; FC-05-69_146_3; FC-07-1999_79; FC-10-1971_281; FC-10-1984_161,5,FC-01-1999_488,PARTIALLY VISIBLE; VISIBLE,ONE stick doing both stile and leg: runs unbroken from crest or cornice height down through the seat/case frame to the floor. This is the baseline chair's defining grammar.,rake angle of the upper portion; section (square vs board-like); taper amount; whether it terminates in its own square foot or continues to a base moulding,mortised on two faces for rails at multiple heights,"FC-01-2012_216 - its rear support is explicitly a SHORT SEPARATE TURNED LEG, not continuous. FC-09-1954_151 - all four corners are the same turned leg master.",assembly_grammar,AUDIT_REQUIRED - candidate rough_hewn_timber_beam_v1 for continuous stock; NOT compared,"settee, desk, sideboard, chest x2","FC-01-1999_488 - the junction is masked by the seat rail and gilding, so continuity is PARTIALLY VISIBLE only and recorded at half weight"
stile.separate_rear_leg,rear leg/stile,FC-01-2012_216; FC-09-1954_151; FC-04-1969_262; FC-11-10_125_1,4,,VISIBLE,"The rear support is a SEPARATE member, not continuous with anything above. Often the same blank as the front leg with decoration suppressed (1969.262: identical blank, inlay omitted on the unseen face).",whether ornament is suppressed on the rear elevation; block schedule; turning profile shared with the front leg,tenon into seat/case rails only,stile.continuous_leg_and_stile - a genuine construction opposite,parameterized_recipe,AUDIT_REQUIRED - none,"armchair, bedstead, side table, long table",none material - this family is unusually well evidenced (rear elevations published)
stile.plain_back_board,rear leg/stile,FC-08-2019_59; FC-09-69_146_1,2,,VISIBLE,"Deliberately plain rear member, board-like, notched rather than moulded, because the rear is unseen. Its plainness is the design intent, not a loss of evidence.",board width; notch depth and shape; total length (300 cm floor-to-tester on 69.146.1),housed or nailed to the case; canopy support at the head,all show-face stile families,parameterized_recipe,AUDIT_REQUIRED - none,"wardrobe, bedstead",none material
brace.corner_glue_block,brace,FC-03-30_120_5; FC-04-1969_262; FC-08-2019_59,3,FC-02-67_230; FC-04-1972_47; FC-07-1999_79; FC-01-2012_216,PARTIALLY VISIBLE; VISIBLE,A triangular or quarter block glued into the inside corner of a rail frame. Two mating faces set by the angle of the members it joins.,"block depth; the two mating face angles (1969.262 mates to a CURVED apron, so the recipe needs a curved-face variant)","glued, sometimes screwed, to two rail faces","brace.structural_gusset (a show member); brace.lid_cleat (a board, not a block)",parameterized_recipe,AUDIT_REQUIRED - none,"stool, settee, side table, sideboard, wardrobe",CRITICAL - 4 of 7 members are INFERRED FROM TYPE and carry ZERO construction authority. Only 3 members are actually evidenced. No underside view exists on any inferred member.
brace.shaped_show_bracket,brace,FC-01-1999_488; FC-09-69_146_1; FC-09-1954_151,3,,VISIBLE,"A flat sawn board cut to a curve (arch-pierced gusset, cyma bracket, shaped console), left visible and finished to match. A 2D profile swept to constant thickness.","triangle or cyma proportions; piercing radius and count; span, rise and thickness all free",glued and pegged between two members; on 1954.151 drilled with weight-reduction holes,"brace.corner_glue_block (hidden, prismatic)",shared_profile,AUDIT_REQUIRED - none,"armchair, bedstead x2",none material
brace.lid_cleat,brace,FC-10-1971_281; FC-10-1984_161,2,,VISIBLE,A batten fixed across the underside of a lid to resist cupping and locate the lid on the carcase.,cleat width; fixing pattern (pegs vs screws); whether moulded to match the lid edge,pegged or screwed to the lid underside,all in-frame braces,parameterized_recipe,AUDIT_REQUIRED - none,chest x2,"1971.281's cleats are a LATER REPAIR in pale unpatinated wood with modern slotted screws - explicitly not original, and must not be treated as period evidence"
brace.metal_stay,brace,FC-05-69_146_3,1,FC-12-2002_298,VISIBLE,A metal arm controlling or supporting a moving element (quadrant stay for a fall front; an internal tie rod).,arc radius and chord (set by fall depth); strap width; sliding vs fixed upper end,pivots on the carcase stile; slides in a slot,all timber braces,bespoke,"AUDIT_REQUIRED - forged_iron_v1 is a MATERIAL, not a stay geometry donor",desk,FC-12-2002_298's internal rod is ASSERTED NOT SEEN and carries zero weight
frame.stile_rail_muntin_grid,panel frame,FC-06-69_146_2; FC-10-1971_281; FC-10-1984_161; FC-08-2019_59; FC-05-69_146_3; FC-08-69_140ab,6,,PARTIALLY VISIBLE; VISIBLE,"The joined grammar stile-muntin-...-stile crossed by upper and lower rails, all pegged, grooved throughout to receive floating panels. Bay count is the parameter; the JOINT SCHEDULE is the invariant.",bay count and proportion; stile/rail widths; muntin count; groove depth; whether the frame receives applied ornament or is left plain,"mortise-and-tenon, pegged; continuous groove","frame.applied_moulded_surround (an applied margin, no groove, carries no panel structurally)",assembly_grammar,AUDIT_REQUIRED - structural_oak_door_v1 is a MATERIAL asset. Do NOT treat the name as a frame-and-panel donor.,"chest x2, wardrobe x2, chest of drawers, desk",groove depth unmeasurable; back frames unphotographed on several members
frame.applied_moulded_surround,panel frame,FC-07-1999_79; FC-09-69_146_1; FC-04-1972_47; FC-01-2012_216,4,,VISIBLE,"Concentric stepped/reeded margins applied to a flat carcase face, shrinking inward to a flat field. Not a joined frame - a moulding layout on a board.",aperture width and height; number of steps in the ovolo/cove stack; corner treatment (plain mitre throughout on 69.146.1),glued/pinned to the carcase face; mitred at corners,"frame.stile_rail_muntin_grid - that is structural joinery, this is applied trim. Confusing them would produce a frame that cannot hold a panel.",parameterized_recipe,AUDIT_REQUIRED - none,"sideboard, bedstead, side table, armchair",none material
frame.assembled_from_members,panel frame,FC-09-1954_151; FC-03-2011_3; FC-01-1999_488,3,,VISIBLE,There is NO frame part. What reads as a frame is the ASSEMBLY of post + post + bottom rail + crest. Authoring a frame object here would duplicate members already modelled.,n/a - the parameters belong to the member recipes,the members' own joints,both real frame families,assembly_grammar,AUDIT_REQUIRED - none,"bedstead, settee, armchair","none - this family exists to PREVENT a modelling error, not to be built"
panel.floating_board_in_groove,floating panel,FC-06-69_146_2; FC-08-2019_59; FC-10-1971_281; FC-10-1984_161; FC-05-69_146_3; FC-08-69_140ab,6,,PARTIALLY VISIBLE; VISIBLE,"A board seated loose in the surrounding frame groove, free to move. Blank is separable from its face treatment: a plain, a carved and a marquetry panel are the SAME blank.",aspect ratio; thickness; flat vs raised/fielded; bevel depth; shouldered vs rectangular raised field; face treatment swapped independently of the blank,"loose in groove - no glue, no fixing. This is the defining interface.","panel.upholstered_field (textile, not a board); panel.applied_flat_field (glued flush)",parameterized_recipe,AUDIT_REQUIRED - none,"chest x2, wardrobe x2, chest of drawers, desk",groove engagement depth not visible on any member
panel.upholstered_field,floating panel,FC-01-1999_488; FC-01-2012_216; FC-03-2011_3,3,,VISIBLE,"A textile field set within a show-wood lip: foundation + padding + cover, crowned. Occupies the panel SLOT but shares no construction with a wooden panel.",field size; padding crown height; edge roll; whether both faces are upholstered (1999.488 is upholstered on BOTH faces of the back frame),tacked to the frame rebate; trimmed with gimp,"panel.floating_board_in_groove - a clean demonstration that the frame slot and the fill are separable, but they are NOT interchangeable recipes",parameterized_recipe,AUDIT_REQUIRED - none,"armchair x2, settee",webbing beneath is INFERRED on every member - zero construction authority
cornice.stacked_fillet_moulding,crest/cornice,FC-05-69_146_3; FC-06-69_146_2; FC-08-69_140ab; FC-08-2019_59; FC-09-69_146_1; FC-07-1999_79,6,,VISIBLE,A stack of fillet/cove/ogee members swept along a 3-sided return path at the top of a case. Profile stack depth and projection are the parameters.,projection depth; number of steps/fillets in the stack; profile section; whether it returns on the sides only or wraps; optional dentil course,applied to the carcase top; mitred at the front corners,"crest.shaped_sawn_board (a silhouette, not a swept profile)",shared_profile,AUDIT_REQUIRED - none,"desk, chest of drawers, wardrobe x2, bedstead, sideboard",none material - the best-evidenced family in the corpus
crest.shaped_sawn_board,crest/cornice,FC-03-30_120_5; FC-03-2011_3; FC-09-1954_151; FC-01-1999_488; FC-01-2012_216,5,,VISIBLE,"A board sawn to a decorative silhouette at the top of a back or head: serpentine camel-back, low pediment, arched cresting, rolled crest. Defined by a 2D outline curve.","silhouette curve (double-ogee, triangular pediment, arch, roll); whether carved on the front face only (2011.3: rear is plain); lamination for tight curves (1954.151 shows visible lamination lines)",tenoned between the two rear posts,cornice.stacked_fillet_moulding,shared_profile,AUDIT_REQUIRED - none,"settee x2, bedstead, armchair x2",none material
crest.metal_capital,crest/cornice,FC-12-2002_298,1,,,A cast/spun gilt-brass Corinthian-type bell with corner volutes and applied masks.,bell flute count; volute mass; mask selection,seated on the stone shaft,all timber families,bespoke,AUDIT_REQUIRED - none,console/pedestal,single-member family
moulding.profile_library,moulding run,FC-01-1999_488; FC-04-1972_47; FC-05-69_146_3; FC-06-69_146_2; FC-07-1999_79; FC-08-69_140ab; FC-08-2019_59; FC-10-1971_281; FC-10-1984_161; FC-11-10_125_1; FC-01-2012_216,11,,PARTIALLY VISIBLE; VISIBLE,"A constant section swept along a path. The SECTION is the authored asset; the path is free. Multiple objects state explicitly that one section serves several roles at different scales (69.146.2: one profile serves drawer surrounds, side-panel frames and the plinth).",section swap (chamfer / ovolo / cavetto / roll / astragal / thumbnail / multi-reed / stepped ogee); run length; mitre vs stopped ends; scale,applied and mitred,"moulding.repeating_cell_run - that instances a discrete carved unit along a path, which is a different generator",shared_profile,AUDIT_REQUIRED - none,ELEVEN of eighteen objects - the widest-reaching shared_profile family,none material
moulding.repeating_cell_run,moulding run,FC-03-2011_3; FC-09-69_146_1; FC-09-1954_151; FC-12-2002_298,4,,PARTIALLY VISIBLE; VISIBLE,"A discrete carved or cast CELL instanced at a regular pitch along a path (bead-and-reel, rosette chain, wave scroll, lappet register). Generator is instance-along-curve, not sweep.",cell pitch; cell selection; run length; register count; whether the run is straight or follows a curve,applied along an edge,moulding.profile_library,parameterized_recipe,AUDIT_REQUIRED - none,"settee, bedstead x2, console",individual cell boundaries not countable on 2002.298
ornament.instanced_relief_master,repeated ornament master,FC-01-1999_488; FC-02-67_230; FC-03-2011_3; FC-05-69_146_3; FC-07-1999_79; FC-09-69_146_1; FC-09-1954_151; FC-12-2002_298; FC-10-1984_161,9,,PARTIALLY VISIBLE; VISIBLE,ONE hand-authored relief master instanced many times with only placement transforms. The master itself is bespoke; the INSTANCING is the recipe.,"instance count; pitch; scale; rotation; mirror; scatter density (69.140ab states the placement is a GRADED FALL - dense at top, thinning down - not random)","applied, screwed (1954.151 shows a garland screwed to a plain sawn backing) or carved in","ornament.inlay_path_master (2D, flush, no relief)",assembly_grammar,AUDIT_REQUIRED - none,nine of eighteen objects,the masters themselves must be hand-modelled; only their distribution is generable
ornament.marquetry_motif_set,repeated ornament master,FC-05-69_146_3; FC-06-69_146_2; FC-08-69_140ab; FC-09-69_146_1,4,,VISIBLE,"A small set of flat cut-veneer masters (blossom, serrated leaf, stem) composed into a scrolling field. 69.146.3 states the field is built from roughly THREE masters.",scatter density; mirror axis; field aspect ratio; instance count (narrow drawers use the same masters at lower count),veneer laid flush into the ground,ornament.instanced_relief_master (3D relief),parameterized_recipe,AUDIT_REQUIRED - none,"desk, chest of drawers, wardrobe, bedstead - and it is the BASELINE's own botanical marquetry grammar",none material
ornament.figural_bespoke,repeated ornament master,FC-01-1999_488; FC-03-30_120_5; FC-12-2002_298,3,,VISIBLE,"A sculpted head, mask or figural cartouche. Mirror is the only honest transform.",scale and mirror ONLY,carved integral or applied,both instanced families - these cannot be generated,bespoke,AUDIT_REQUIRED - none,"armchair, settee, console",hand-modelling required; no parametric route
inlay.linear_stringing_path,inlay path,FC-04-1969_262; FC-05-69_146_3; FC-06-69_146_2; FC-08-69_140ab; FC-02-67_230; FC-08-2019_59; FC-07-1999_79,7,,VISIBLE,"A line of contrasting material inset at a fixed distance from a part edge, following a closed rectangular or cusped path. The PATH is the asset; the material is a parameter.",line width; contrast material (wood / brass / paint / gilt); corner radius; inset distance from the edge; plain rectangle vs cusped cartouche silhouette,"inlaid flush into the ground, or painted on (1999.79 - the same PATH grammar realised as paint rather than inlay, which is a material swap on one recipe)",inlay.node_and_cell_punctuation,parameterized_recipe,AUDIT_REQUIRED - none,"side table, desk, chest of drawers, wardrobe x2, stool, sideboard",none material
inlay.node_and_cell_punctuation,inlay path,FC-01-2012_216; FC-09-69_146_1; FC-04-1972_47,3,,VISIBLE,"A discrete cell (disc-in-bezel, framed rosette square) placed where a linear path turns a corner or terminates. 69.146.1 calls it explicitly 'the punctuation mark used wherever a linear path turns a corner'.",cell size; spacing along the run; whether the cell is a fixed-width cap with a STRETCHABLE band between (69.146.1's two-part layout generalises to any long band),inlaid flush,"inlay.linear_stringing_path - complementary, not interchangeable",parameterized_recipe,AUDIT_REQUIRED - none,"armchair, bedstead, side table",none material
inlay.absent_recorded,inlay path,FC-03-2011_3,1,,VISIBLE,RECORDED AS ABSENT. All ornament carved in the solid and water-gilt; no linear or circular inlay anywhere. Kept as a family so the absence is visible in the matrix rather than reading as missing data.,n/a,n/a,n/a,bespoke,n/a,none - this is a negative record,none
